AGEP,SEX,MSP,EDU,HOUSING_TYPE,OWN_RENT,PINCP,DENSITY
59,1,3,4,1,0,112134,970.25732421875
43,1,0,3,1,0,83802,983.483642578125
88,1,2,3,1,0,148867,501.6768493652344
93,1,1,5,2,1,161013,870.4324951171875
55,1,0,3,1,0,95827,870.8860473632812
58,1,3,2,1,0,115951,286.8807373046875
47,1,0,4,1,0,97578,658.9163208007812
16,1,2,1,1,0,61720,917.7120361328125
36,1,1,3,1,0,77151,923.3017578125
47,1,2,2,1,0,89765,907.835693359375
15,1,1,8,1,0,43756,355.20733642578125
52,1,3,2,1,0,93344,689.6227416992188
45,1,1,6,1,0,94631,707.8858642578125
24,1,2,3,2,1,58450,1661.1114501953125
26,1,4,2,1,0,111339,867.2213745117188
8,1,2,2,1,0,67227,939.2454223632812
62,1,3,4,1,0,109500,679.210205078125
46,1,1,1,1,0,62243,873.9359741210938
48,1,3,1,2,1,100484,1427.1390380859375
76,1,1,4,2,1,95484,844.99560546875
62,1,3,4,2,1,120211,926.1969604492188
61,1,3,2,2,1,102861,1052.53076171875
73,1,2,6,1,0,107469,642.1044921875
39,1,1,5,1,0,63146,982.466064453125
30,1,1,6,2,1,105747,223.62921142578125
93,1,0,6,2,1,163633,1263.084716796875
84,1,3,6,1,0,135985,360.9581298828125
69,1,3,2,1,0,113686,721.212890625
82,1,3,3,2,1,139063,759.2379760742188
11,1,0,8,1,0,62354,918.3829345703125
21,1,4,3,1,0,82553,893.6362915039062
91,1,2,2,1,0,138776,533.6133422851562
61,1,3,3,2,1,111204,1210.6842041015625
82,1,2,4,1,0,128736,765.2236328125
22,1,5,5,1,0,65440,896.0657348632812
33,1,4,2,1,0,86856,540.2913818359375
19,1,2,2,1,0,45258,910.794677734375
78,1,0,3,2,1,134958,812.016845703125
50,1,0,4,1,0,127495,601.79052734375
93,1,2,2,1,0,154445,694.283447265625
48,1,4,1,2,1,120444,1341.1302490234375
59,1,5,3,2,1,96371,948.3690795898438
73,1,5,3,1,0,104164,764.7236328125
84,1,2,3,1,0,132362,756.606201171875
73,1,1,3,1,0,100019,468.9716796875
16,1,2,5,1,0,61516,923.3135986328125
7,1,0,2,1,0,60426,830.71484375
93,1,1,4,1,0,154668,933.4632568359375
46,1,5,4,1,0,75618,751.3446044921875
52,1,4,3,1,0,117070,665.10791015625
17,1,2,0,1,0,95129,540.342041015625
48,1,2,3,1,0,98566,874.1150512695312
25,1,3,2,2,1,78479,1744.423583984375
15,1,1,3,2,1,54537,525.6097412109375
13,1,1,6,1,0,98360,480.10479736328125
9,1,2,4,1,0,67395,987.83056640625
85,1,2,9,1,0,128873,745.1823120117188
82,1,1,6,1,0,148008,736.5145263671875
20,1,3,5,2,1,73922,1014.702880859375
48,1,1,1,1,0,55587,598.164306640625
48,1,5,4,1,0,92569,621.6460571289062
61,1,1,5,1,0,99035,891.3545532226562
49,1,1,2,1,0,94811,765.6380615234375
95,1,2,5,1,0,153183,737.125
82,1,5,2,1,0,109679,764.508544921875
35,1,1,2,1,0,91964,546.6533813476562
65,1,0,4,1,0,114161,684.8182373046875
74,1,3,3,1,0,131059,778.0406494140625
53,1,5,3,1,0,104249,780.5411376953125
36,1,2,6,2,1,84013,1537.4012451171875
39,1,2,7,1,0,86578,944.3275756835938
49,1,2,11,1,0,115769,393.41204833984375
11,1,2,3,1,0,63140,353.07843017578125
11,1,0,3,2,1,70068,876.1414794921875
28,1,0,4,1,0,68148,791.734619140625
74,1,1,3,1,0,102223,361.41009521484375
9,1,0,3,2,1,53914,586.34912109375
34,1,4,3,1,0,68765,858.3345947265625
66,1,2,5,2,1,123605,715.1405029296875
24,1,3,5,1,0,86824,580.61376953125
70,1,1,5,1,0,114643,910.6178588867188
24,1,0,5,1,0,79346,716.8935546875
31,1,2,3,1,0,76053,775.4408569335938
75,1,1,6,1,0,151789,177.8311767578125
35,1,2,4,1,0,34106,750.8104248046875
83,1,2,6,1,0,128005,785.8074951171875
79,1,5,3,1,0,131460,562.4490966796875
19,1,3,3,1,0,69400,583.7896728515625
92,1,5,4,1,0,126595,834.597412109375
8,1,2,4,2,1,73489,1661.551513671875
46,1,4,6,1,0,98239,649.010986328125
70,1,2,3,1,0,87056,491.9486389160156
92,1,2,2,1,0,133335,985.3890991210938
74,1,3,4,1,0,125714,929.5857543945312
69,1,5,3,2,1,151414,969.9364013671875
93,1,1,9,1,0,144508,605.2109375
81,1,1,8,1,0,148062,608.959228515625
58,1,0,1,1,0,124302,977.9117431640625
40,1,0,1,1,0,100889,780.1190185546875
81,1,2,4,1,0,149067,945.577880859375
43,1,1,3,1,0,115748,954.4884033203125
87,1,1,2,1,0,128371,640.1500244140625
67,1,2,4,2,1,100954,1252.5018310546875
89,1,2,2,1,0,147149,515.99755859375
93,1,5,3,1,0,161224,523.2413330078125
16,1,2,8,1,0,62394,775.78955078125
66,1,3,3,2,1,121759,897.0733032226562
73,1,5,3,1,0,146067,679.875
54,1,3,1,1,0,109216,714.9569091796875
39,1,2,2,1,0,91215,982.6903076171875
81,1,3,5,1,0,113966,732.7965087890625
48,1,0,1,1,0,125323,705.046630859375
51,1,1,4,1,0,128625,931.3027954101562
69,1,1,7,1,0,163456,798.2957153320312
64,1,2,3,1,0,121990,874.0511474609375
94,1,3,3,2,1,125078,657.840087890625
93,1,3,2,2,1,142988,1151.9681396484375
18,1,5,4,2,1,59863,1169.853515625
55,1,3,9,1,0,111150,966.4398803710938
53,1,4,3,2,1,77734,558.5671997070312
20,1,5,9,1,0,77823,781.3841552734375
59,1,2,3,2,1,115088,1190.392333984375
65,1,0,8,1,0,139740,918.6610107421875
70,1,4,5,2,1,130147,958.8822631835938
6,1,2,4,1,0,55904,671.86767578125
29,1,5,6,1,0,81232,755.04296875
47,1,2,3,1,0,88254,527.0660400390625
94,1,2,4,2,1,149570,1455.4908447265625
81,1,4,4,2,1,137216,562.5325927734375
50,1,2,4,1,0,95188,652.7881469726562
82,1,4,4,1,0,140257,739.15625
45,1,4,4,1,0,79438,810.9830932617188
42,1,3,6,1,0,92226,972.9908447265625
66,1,3,3,1,0,116727,776.3179321289062
89,1,0,4,1,0,125574,866.1629638671875
21,1,2,2,1,0,59241,746.3154296875
61,1,3,3,1,0,97335,702.35791015625
36,1,1,3,1,0,81171,953.2105712890625
87,1,2,6,1,0,159844,930.6552124023438
73,1,1,3,2,1,131767,808.8134765625
70,1,2,4,2,1,103919,1267.50634765625
85,1,2,3,1,0,125561,633.28515625
28,1,2,1,1,0,92932,585.213623046875
91,1,1,3,1,0,170773,868.923828125
30,1,3,4,1,0,97338,292.32769775390625
95,1,1,3,1,0,124201,807.2881469726562
19,1,2,3,1,0,73299,925.690673828125
84,1,1,3,1,0,108117,993.0486450195312
91,1,2,2,1,0,147511,960.2077026367188
76,1,0,5,1,0,146130,965.8999633789062
44,1,2,7,1,0,77480,24.365234375
90,1,3,5,1,0,139789,904.9837036132812
55,1,1,4,2,1,117380,586.2750244140625
84,1,1,3,1,0,128636,796.9750366210938
47,1,3,7,2,1,89883,990.3088989257812
55,1,1,6,1,0,107290,924.9032592773438
46,1,4,4,1,0,83400,977.22998046875
34,1,3,3,1,0,81638,707.41845703125
55,1,5,3,2,1,89761,1066.575439453125
84,1,5,3,1,0,135571,827.420166015625
87,1,2,6,1,0,148931,546.0602416992188
78,1,3,3,2,1,124840,686.2452392578125
90,1,2,6,1,0,178328,940.4930419921875
49,1,3,5,1,0,99890,554.0250244140625
53,1,2,3,1,0,114171,731.0770263671875
47,1,3,1,1,0,96482,882.021728515625
69,1,2,6,2,1,90075,1131.0589599609375
37,1,2,3,1,0,70237,976.8554077148438
31,1,1,4,1,0,91329,631.1998291015625
6,1,2,5,1,0,54672,590.7625732421875
11,1,2,1,1,0,71270,762.8561401367188
36,1,3,3,1,0,91728,858.45361328125
77,1,2,2,1,0,124999,969.0157470703125
67,1,3,5,1,0,104440,998.0531005859375
61,1,5,5,1,0,112671,942.5068969726562
87,1,3,4,1,0,110660,866.3239135742188
50,1,3,4,1,0,102391,506.2757263183594
77,1,4,4,2,1,152440,1364.9473876953125
52,1,2,3,1,0,80129,863.974853515625
35,1,2,5,1,0,89651,410.138671875
89,1,2,1,1,0,137486,822.5145263671875
19,1,3,4,2,1,60495,1085.421630859375
70,1,4,3,1,0,122545,765.6478881835938
7,1,2,1,1,0,28519,736.4114379882812
47,1,4,1,2,1,112866,467.1083984375
83,1,3,5,1,0,151038,597.2659912109375
61,1,3,4,1,0,133919,898.0189208984375
82,1,5,7,1,0,117650,750.1002197265625
79,1,3,3,1,0,117726,836.1705322265625
71,1,0,5,1,0,85293,725.666748046875
53,1,2,5,2,1,107890,870.9632568359375
36,1,0,2,2,1,118199,1012.8992309570312
87,1,2,4,1,0,143380,955.8915405273438
58,1,4,3,1,0,117249,812.837646484375
86,1,1,5,1,0,139998,913.8392944335938
72,1,2,3,1,0,109798,981.2216186523438
5,1,2,5,1,0,48701,757.3154296875
86,1,3,2,1,0,136522,886.4080810546875
51,1,2,3,1,0,104845,366.26165771484375
75,1,1,11,2,1,113710,1048.3349609375
72,1,4,3,1,0,120872,545.1802978515625
59,1,1,8,1,0,106401,931.7061767578125
85,1,2,6,1,0,162059,808.0130615234375
24,1,2,7,1,0,79839,942.8606567382812
60,1,0,5,1,0,112739,903.0668334960938
66,1,1,1,1,0,119895,956.1280517578125
28,1,3,4,1,0,69059,971.1113891601562
25,1,2,2,1,0,51654,769.278564453125
88,1,0,4,2,1,128271,1231.6947021484375
64,1,1,4,1,0,108639,949.704345703125
67,1,2,2,1,0,109356,826.609375
54,1,3,7,2,1,129380,977.1895141601562
31,1,1,3,1,0,83990,953.3739013671875
19,1,5,4,2,1,92729,1376.6187744140625
50,1,0,3,2,1,80692,1031.6168212890625
55,1,1,4,1,0,113413,926.43603515625
29,1,3,2,1,0,71431,627.9856567382812
43,1,5,5,1,0,109228,909.0053100585938
14,1,0,1,2,1,48389,976.0720825195312
83,1,0,1,2,1,116705,1124.3153076171875
41,1,3,2,1,0,91020,880.9837036132812
70,1,0,9,1,0,145743,907.04052734375
62,1,2,3,1,0,103005,625.284423828125
28,1,5,4,1,0,111267,500.3425598144531
94,1,2,1,1,0,170798,991.9443969726562
50,1,2,4,2,1,111095,1327.11767578125
46,1,1,2,1,0,97128,962.7648315429688
60,1,1,1,1,0,114298,968.7499389648438
25,1,3,6,1,0,89191,889.0946044921875
67,1,4,2,1,0,99470,849.698974609375
12,1,2,4,1,0,66353,837.2500610351562
62,1,0,2,1,0,113002,792.8285522460938
47,1,3,6,1,0,103242,891.8131713867188
7,1,2,4,1,0,78989,688.074462890625
43,1,3,2,2,1,94731,1209.5665283203125
35,1,3,9,1,0,98836,760.99462890625
56,1,2,4,1,0,111228,642.4293212890625
55,1,4,8,1,0,87265,897.372802734375
57,1,1,4,1,0,114045,724.9378662109375
11,1,2,1,1,0,40765,944.6787109375
6,1,1,6,1,0,56962,341.344970703125
42,1,2,5,2,1,69231,600.316162109375
19,1,3,2,1,0,101706,796.2982177734375
79,1,1,3,2,1,123308,991.50830078125
64,1,1,4,1,0,94835,809.2883911132812
53,1,1,9,1,0,79242,817.2020263671875
60,1,3,1,1,0,69755,773.6273193359375
82,1,2,2,1,0,108945,879.199462890625
18,1,3,4,1,0,58359,630.8204345703125
94,1,1,9,1,0,144267,608.6834106445312
19,1,5,3,1,0,79420,623.58056640625
49,1,1,6,1,0,92414,950.8994140625
60,1,3,1,2,1,142930,975.1229858398438
94,1,2,3,1,0,137901,559.4241333007812
15,1,2,1,1,0,58020,971.9874877929688
51,1,0,2,1,0,122530,930.5975341796875
76,1,3,3,1,0,137842,913.7063598632812
17,1,2,1,1,0,61421,733.3377685546875
37,1,2,4,2,1,93410,914.7822875976562
66,1,4,2,1,0,99005,657.4992065429688
27,1,1,9,1,0,81438,948.4232788085938
26,1,1,5,1,0,78571,569.4329833984375
84,1,3,3,1,0,129357,978.79052734375
31,1,1,1,2,1,71378,1325.41943359375
57,1,3,3,1,0,105238,832.5699462890625
60,1,1,10,1,0,136356,628.6727294921875
41,1,4,6,1,0,84968,800.907470703125
76,1,3,4,1,0,118624,967.417724609375
93,1,2,4,1,0,140937,916.5921020507812
90,1,4,2,1,0,146063,853.8758544921875
60,1,5,6,1,0,101098,953.9415893554688
54,1,1,4,1,0,93448,722.907470703125
88,1,2,4,1,0,124568,561.21240234375
9,1,1,2,2,1,70871,1213.5076904296875
54,1,3,4,2,1,89135,527.5469360351562
40,1,4,5,1,0,91458,843.239990234375
89,1,3,3,2,1,116889,822.016845703125
13,1,2,5,1,0,46339,491.8114318847656
72,1,4,2,1,0,119526,779.2660522460938
53,1,2,1,1,0,116273,186.0062255859375
77,1,5,4,2,1,131569,712.8487548828125
93,1,4,2,1,0,137387,228.30108642578125
31,1,5,3,1,0,66200,490.6855163574219
18,1,2,1,1,0,58101,957.4749145507812
52,1,3,4,1,0,101291,984.3889770507812
58,1,2,1,1,0,96634,758.848388671875
32,1,2,8,1,0,83500,747.1304931640625
30,1,2,3,1,0,67519,758.0155029296875
42,1,2,2,1,0,108654,854.9241333007812
48,1,4,3,1,0,103690,985.0331420898438
63,1,4,3,1,0,95274,654.5407104492188
47,1,3,4,1,0,87498,678.7745361328125
15,1,1,3,1,0,55009,811.9207153320312
13,1,1,3,1,0,66761,959.9306030273438
92,1,1,3,2,1,154138,520.9879760742188
83,1,0,5,1,0,143735,984.6741333007812
21,1,2,1,1,0,69334,785.532470703125
13,1,2,6,2,1,61104,1083.849365234375
90,1,5,6,1,0,141836,499.628173828125
22,1,3,4,1,0,92058,650.516357421875
73,1,0,2,1,0,140502,851.3343505859375
72,1,3,4,1,0,106289,869.7137451171875
15,1,1,8,1,0,75956,761.1214599609375
54,1,3,3,1,0,134256,832.3419189453125
79,1,0,3,1,0,111562,997.6658935546875
73,1,1,3,1,0,93707,224.5606689453125
46,1,2,3,1,0,101495,961.9500732421875
50,1,0,9,2,1,78323,1326.236572265625
93,1,4,3,1,0,134503,789.7298583984375
58,1,2,4,1,0,104097,423.970458984375
13,1,1,6,2,1,60162,896.4315795898438
30,1,2,2,1,0,69320,779.0587768554688
11,1,2,3,2,1,72622,1042.302978515625
48,1,3,4,1,0,97225,960.8050537109375
36,1,3,5,2,1,88146,471.65777587890625
57,1,0,5,2,1,127470,934.6422119140625
80,1,2,8,1,0,128118,593.50048828125
38,1,0,2,2,1,82230,876.7100219726562
7,1,0,6,1,0,69559,709.32958984375
23,1,2,4,1,0,68772,757.402587890625
34,1,2,9,1,0,85422,523.859375
74,1,2,4,1,0,139592,710.2468872070312
35,1,0,3,1,0,83386,797.1243896484375
44,1,3,4,1,0,106094,815.2307739257812
81,1,1,5,1,0,140588,798.1502685546875
66,1,2,3,1,0,109827,744.4617309570312
77,1,2,2,2,1,97632,1119.491455078125
79,1,2,2,1,0,130640,945.6160888671875
86,1,4,1,1,0,140106,181.806884765625
20,1,1,1,1,0,69452,555.7457275390625
57,1,2,6,1,0,117823,536.11083984375
41,1,1,7,1,0,86066,590.1597290039062
91,1,2,3,1,0,139856,969.644775390625
13,1,2,4,1,0,66081,631.0480346679688
65,1,0,4,1,0,95579,851.8842163085938
49,1,5,1,1,0,103881,794.367919921875
84,1,2,2,2,1,151591,544.5096435546875
64,1,2,6,1,0,117665,951.5859375
7,1,2,4,1,0,53951,774.08154296875
55,1,3,5,1,0,94779,881.6624755859375
8,1,1,3,1,0,55908,479.71929931640625
12,1,1,1,2,1,29623,743.83984375
62,1,5,7,2,1,95564,980.9676513671875
36,1,5,4,2,1,69887,1126.482177734375
31,1,2,4,2,1,87318,1587.2236328125
83,1,2,4,2,1,113900,985.9381713867188
36,1,3,3,1,0,72222,468.41290283203125
81,1,2,3,1,0,135261,902.8893432617188
22,1,2,4,1,0,61168,582.5421142578125
65,1,3,8,2,1,120308,1037.6534423828125
50,1,1,2,1,0,113355,961.1447143554688
49,1,2,4,1,0,85260,998.3955078125
60,1,5,4,1,0,116454,833.29150390625
48,1,0,2,1,0,95100,947.2022094726562
93,1,0,2,1,0,168766,891.1570434570312
46,1,1,3,1,0,93854,998.6535034179688
26,1,3,2,1,0,66749,664.137451171875
16,1,2,9,1,0,60569,907.4644165039062
52,1,2,2,1,0,79787,539.0161743164062
19,1,2,4,1,0,84231,906.4501342773438
21,1,5,3,1,0,96898,634.7291870117188
62,1,3,4,1,0,89709,393.61700439453125
72,1,2,2,1,0,122228,757.5891723632812
47,1,2,2,1,0,102151,939.6200561523438
32,1,1,3,1,0,108314,770.63671875
7,1,2,1,1,0,45924,818.55078125
17,1,2,3,1,0,79523,768.0634765625
72,1,2,6,1,0,126696,939.935302734375
63,1,2,2,1,0,93237,554.40771484375
78,1,1,6,1,0,123038,984.2905883789062
60,1,2,2,1,0,94832,728.7532958984375
45,1,4,4,1,0,90599,520.6591796875
19,1,4,4,2,1,62036,1289.723876953125
69,1,2,1,1,0,152694,926.60400390625
50,1,5,6,1,0,83131,862.8717041015625
80,1,1,4,1,0,109824,492.1401062011719
27,1,1,2,1,0,77395,741.9945068359375
34,1,1,2,2,1,85809,762.8155517578125
81,1,2,8,2,1,113842,277.7763671875
21,1,2,4,2,1,86925,1018.1637573242188
54,1,2,8,1,0,98679,792.1021118164062
40,1,2,3,2,1,104356,348.9661865234375
26,1,0,3,1,0,55077,723.747314453125
19,1,3,9,1,0,67055,937.4654541015625
53,1,0,9,2,1,95514,499.9794006347656
31,1,2,2,2,1,94565,1448.4117431640625
83,1,3,3,1,0,137331,869.2235717773438
52,1,4,3,1,0,100123,861.869384765625
