AGEP,SEX,MSP,EDU,PINCP,OWN_RENT,HOUSING_TYPE,DENSITY
62.0,1,1,4,25494.0,1,3,3242.0
39.0,1,1,4,25131.0,0,1,970.0
49.0,2,1,4,25014.0,0,1,1005.0
42.0,1,3,4,30582.0,2,3,3107.0
79.0,1,4,3,27451.0,2,1,1065.0
85.0,2,2,4,25613.0,2,3,2933.0
65.0,2,2,3,30285.0,1,3,2959.0
57.0,2,3,4,32179.0,1,3,2934.0
44.0,1,4,3,25458.0,1,3,2984.0
21.0,1,4,3,25882.0,2,3,3122.0
56.0,1,3,3,27581.0,2,3,2867.0
62.0,1,2,2,25641.0,2,1,939.0
33.0,2,2,2,26280.0,2,3,3033.0
36.0,1,1,2,34993.0,2,1,948.0
56.0,1,2,3,37095.0,2,1,1021.0
62.0,2,4,2,25408.0,1,3,3078.0
93.0,1,3,4,32926.0,2,3,2982.0
63.0,1,3,2,26743.0,2,1,1059.0
78.0,2,1,4,30224.0,1,3,3130.0
70.0,1,1,1,26980.0,1,3,3093.0
18.0,2,4,3,26793.0,2,1,1070.0
41.0,2,2,3,30430.0,1,3,2968.0
50.0,1,2,3,27153.0,2,1,848.0
44.0,1,2,1,26773.0,2,3,2933.0
77.0,1,3,2,25901.0,2,3,2869.0
77.0,1,1,3,25622.0,2,1,1111.0
53.0,2,2,3,28568.0,2,3,2874.0
70.0,2,1,1,25071.0,1,3,2811.0
84.0,1,2,3,27787.0,1,3,2924.0
49.0,1,1,3,25105.0,1,3,3090.0
84.0,1,3,3,27720.0,2,3,3114.0
39.0,1,4,2,28741.0,2,3,3068.0
70.0,1,1,3,33594.0,1,3,2876.0
85.0,1,2,1,28017.0,0,1,1170.0
55.0,1,2,3,25832.0,1,3,3110.0
71.0,2,4,3,25714.0,1,3,3027.0
89.0,1,3,1,32102.0,1,3,3043.0
51.0,1,2,3,30512.0,1,3,2987.0
36.0,2,1,3,29913.0,1,3,3050.0
82.0,1,2,3,25522.0,1,3,3020.0
50.0,1,3,2,25567.0,0,1,980.0
53.0,1,2,1,29231.0,2,3,2949.0
33.0,1,4,1,27464.0,2,3,3076.0
93.0,2,3,2,25799.0,2,3,2920.0
85.0,1,2,4,26833.0,0,1,1135.0
35.0,2,3,4,27229.0,2,1,1052.0
31.0,1,1,3,29366.0,2,1,719.0
86.0,1,3,3,25986.0,0,1,1012.0
77.0,2,3,4,25044.0,2,1,939.0
55.0,2,1,4,25793.0,0,1,1146.0
46.0,2,2,3,35760.0,1,3,2977.0
77.0,1,1,3,26276.0,0,1,872.0
85.0,2,4,3,29469.0,2,3,3085.0
84.0,1,1,3,25269.0,0,1,1028.0
47.0,1,3,3,25752.0,1,3,3021.0
57.0,2,3,4,27588.0,2,1,994.0
67.0,1,3,3,28014.0,0,1,963.0
32.0,1,2,3,28522.0,2,3,2830.0
69.0,1,4,3,25031.0,0,1,1103.0
94.0,1,3,3,26422.0,2,1,1002.0
40.0,1,3,4,29628.0,0,1,1074.0
36.0,1,2,3,29210.0,0,1,933.0
49.0,2,3,2,28584.0,1,3,3105.0
46.0,2,1,4,28503.0,0,1,876.0
84.0,1,3,3,27207.0,0,1,1135.0
42.0,1,4,2,27533.0,2,3,3082.0
70.0,2,2,2,29118.0,0,1,1070.0
45.0,2,1,2,25624.0,2,1,883.0
69.0,1,2,4,34454.0,1,3,2943.0
53.0,2,2,3,25066.0,1,3,2925.0
81.0,1,3,4,25703.0,1,3,3129.0
60.0,1,1,3,25036.0,2,3,2837.0
78.0,1,3,4,27870.0,2,3,2854.0
50.0,1,3,2,26635.0,2,3,2918.0
77.0,1,3,3,26161.0,1,3,2988.0
44.0,1,4,4,26947.0,1,3,2988.0
40.0,1,2,2,25970.0,2,1,967.0
33.0,1,2,3,25239.0,2,3,2971.0
30.0,2,2,3,29319.0,0,1,842.0
92.0,1,1,3,25040.0,1,3,2932.0
57.0,1,3,1,25693.0,1,3,2838.0
38.0,1,1,2,25785.0,2,3,3015.0
84.0,2,1,2,29879.0,1,3,2891.0
65.0,1,2,2,25687.0,2,1,827.0
56.0,2,2,2,26242.0,1,3,3033.0
95.0,1,2,4,31754.0,0,1,997.0
19.0,1,4,1,26363.0,1,3,3072.0
68.0,1,3,2,25108.0,1,3,3196.0
21.0,2,4,3,28373.0,1,3,3060.0
41.0,2,2,3,25398.0,1,3,2943.0
43.0,2,1,4,26663.0,2,1,1119.0
68.0,2,1,3,26682.0,2,3,3178.0
69.0,2,1,2,26358.0,0,1,876.0
76.0,2,3,2,26039.0,2,1,1041.0
50.0,1,1,2,25120.0,1,3,3046.0
40.0,1,2,3,26040.0,2,3,2943.0
38.0,1,1,1,27484.0,0,1,825.0
81.0,2,3,2,28082.0,0,1,1055.0
64.0,2,1,3,29827.0,1,3,2823.0
83.0,2,3,2,28774.0,2,3,3115.0
63.0,1,2,4,29499.0,0,1,1010.0
44.0,2,2,3,26776.0,2,3,2896.0
85.0,1,1,3,29358.0,1,3,3190.0
49.0,1,2,2,25769.0,2,1,908.0
53.0,1,2,2,25793.0,0,1,957.0
50.0,1,3,1,29901.0,2,3,3015.0
51.0,1,2,4,25206.0,0,1,1233.0
64.0,2,4,4,26005.0,1,3,3036.0
82.0,1,2,4,26164.0,0,1,873.0
67.0,1,3,1,29239.0,0,1,989.0
58.0,2,3,2,25424.0,0,1,1082.0
83.0,1,2,2,30882.0,0,1,1038.0
86.0,2,1,1,26658.0,0,1,852.0
92.0,2,4,3,28175.0,2,1,910.0
73.0,2,3,4,31870.0,2,3,2941.0
49.0,2,1,1,26553.0,2,1,1076.0
49.0,1,2,4,31428.0,2,3,2998.0
48.0,2,1,4,26545.0,2,1,953.0
49.0,1,3,4,25928.0,2,3,2958.0
35.0,1,2,1,25132.0,2,3,2892.0
95.0,1,1,4,33190.0,2,1,998.0
31.0,2,2,3,29960.0,1,3,3057.0
49.0,2,1,3,29929.0,1,3,2966.0
37.0,2,1,4,26758.0,0,1,1020.0
48.0,1,3,2,27240.0,0,1,769.0
51.0,1,3,2,25971.0,1,3,3025.0
88.0,1,4,2,27366.0,2,1,1016.0
36.0,1,4,2,27507.0,0,1,880.0
58.0,1,3,3,26969.0,2,1,931.0
76.0,1,2,1,27396.0,0,1,793.0
65.0,1,1,4,28497.0,2,1,1084.0
71.0,1,3,3,26534.0,0,1,848.0
42.0,1,1,4,28096.0,0,1,913.0
31.0,2,1,2,26542.0,1,3,2899.0
50.0,2,1,3,26209.0,2,3,3138.0
46.0,2,2,2,25957.0,0,1,879.0
37.0,1,1,2,32977.0,2,3,3095.0
44.0,1,1,3,28263.0,2,1,903.0
70.0,1,2,1,29413.0,2,1,984.0
91.0,2,1,3,27350.0,1,3,3081.0
89.0,2,2,4,25660.0,2,3,2995.0
71.0,1,1,1,25755.0,0,1,989.0
93.0,2,3,3,25548.0,2,3,3014.0
48.0,1,1,4,26845.0,1,3,3155.0
42.0,1,2,3,28687.0,0,1,931.0
56.0,1,2,3,29961.0,0,1,988.0
78.0,2,1,2,25086.0,2,3,2924.0
57.0,1,1,3,26277.0,1,3,3190.0
59.0,1,4,1,26100.0,1,3,3056.0
89.0,2,1,2,29796.0,2,3,2857.0
87.0,2,1,3,30084.0,1,3,2935.0
60.0,2,3,3,25386.0,2,1,985.0
81.0,2,1,4,26271.0,1,3,2882.0
70.0,1,4,3,26707.0,0,1,991.0
71.0,1,1,4,29624.0,2,1,950.0
53.0,2,1,4,26563.0,2,3,3013.0
38.0,1,2,3,25800.0,1,3,2966.0
69.0,1,2,4,27651.0,0,1,947.0
89.0,1,3,3,25474.0,2,3,3117.0
75.0,2,3,3,25445.0,1,3,3013.0
50.0,1,1,2,26117.0,2,3,2988.0
86.0,2,1,2,26108.0,2,1,1058.0
32.0,2,2,4,29485.0,1,3,3051.0
91.0,2,1,3,26663.0,2,3,2915.0
77.0,2,1,2,27345.0,2,3,3042.0
40.0,1,1,1,29076.0,0,1,953.0
67.0,1,4,3,29412.0,1,3,2929.0
65.0,2,3,2,25143.0,0,1,1306.0
50.0,1,2,3,26283.0,0,1,879.0
76.0,2,3,1,29470.0,2,3,2997.0
33.0,2,1,4,29568.0,1,3,2994.0
79.0,2,1,3,30675.0,1,3,3106.0
58.0,2,3,2,29663.0,1,3,2836.0
49.0,2,4,3,30756.0,2,1,1151.0
70.0,1,2,3,29982.0,2,1,963.0
79.0,2,1,3,25311.0,2,1,938.0
38.0,2,1,2,27822.0,0,1,789.0
44.0,2,3,3,26201.0,1,3,2894.0
81.0,2,4,3,25656.0,0,1,1066.0
90.0,2,4,4,28762.0,1,3,3087.0
70.0,1,1,3,26930.0,1,3,2956.0
68.0,1,2,3,27957.0,2,1,987.0
85.0,1,4,2,25628.0,2,1,990.0
61.0,1,1,2,28712.0,2,1,966.0
50.0,1,4,2,29950.0,2,3,3103.0
63.0,1,3,2,26408.0,2,3,3009.0
59.0,1,2,4,29446.0,2,3,3072.0
74.0,1,1,3,25134.0,1,3,3061.0
35.0,1,1,2,32123.0,2,3,3133.0
84.0,1,1,4,25265.0,1,3,3063.0
55.0,1,1,4,26664.0,0,1,915.0
86.0,1,2,2,29982.0,0,1,951.0
33.0,1,1,2,25119.0,2,1,1094.0
49.0,1,2,2,25618.0,1,3,2905.0
41.0,1,2,1,26319.0,0,1,873.0
39.0,1,4,2,32027.0,2,3,2923.0
75.0,2,2,2,28256.0,1,3,3100.0
58.0,2,1,3,27460.0,0,1,957.0
94.0,1,1,2,25243.0,2,3,2925.0
39.0,2,1,3,28383.0,1,3,3041.0
63.0,1,1,2,28993.0,1,3,2948.0
38.0,2,2,2,25643.0,2,1,961.0
87.0,2,3,3,26482.0,2,3,2862.0
37.0,1,2,4,25253.0,0,1,969.0
57.0,2,1,3,25286.0,2,3,2988.0
75.0,2,1,4,28347.0,0,1,997.0
92.0,1,2,4,25800.0,2,3,3197.0
37.0,2,2,3,27303.0,1,3,3002.0
68.0,1,2,3,25257.0,2,3,2952.0
47.0,1,2,4,32720.0,2,3,3251.0
78.0,1,2,3,27244.0,2,1,1010.0
62.0,2,3,1,27078.0,2,1,1071.0
66.0,1,2,3,28208.0,0,1,989.0
50.0,2,3,1,27618.0,1,3,3079.0
86.0,1,4,3,28782.0,1,3,3013.0
79.0,1,2,2,28172.0,1,3,2946.0
75.0,2,3,3,26356.0,1,3,3019.0
43.0,2,3,3,30271.0,2,1,913.0
80.0,1,2,3,28265.0,2,3,3100.0
80.0,1,1,4,25301.0,1,3,3079.0
84.0,1,4,1,26614.0,2,3,2984.0
76.0,1,1,3,28723.0,2,1,982.0
36.0,1,2,3,34750.0,2,3,2893.0
49.0,1,4,3,30461.0,2,3,3070.0
35.0,2,2,4,27227.0,1,3,2999.0
63.0,2,1,4,31086.0,1,3,3150.0
37.0,2,1,1,25237.0,1,3,3004.0
75.0,1,3,3,26982.0,2,3,2923.0
42.0,1,1,4,25144.0,0,1,1257.0
81.0,1,2,2,29709.0,1,3,2962.0
33.0,1,1,2,25268.0,1,3,2975.0
74.0,1,1,2,26796.0,0,1,1083.0
70.0,2,4,3,25060.0,1,3,2742.0
81.0,1,2,3,28647.0,1,3,3053.0
31.0,1,2,3,27213.0,2,1,1002.0
42.0,1,3,4,25905.0,2,3,3104.0
89.0,1,1,2,25256.0,1,3,2982.0
33.0,2,1,3,26248.0,1,3,3164.0
63.0,2,1,4,26276.0,2,1,1012.0
71.0,2,2,4,26964.0,2,3,2915.0
65.0,2,2,4,29973.0,2,3,3070.0
87.0,1,3,2,27425.0,2,1,1014.0
80.0,1,2,4,29922.0,2,1,1037.0
56.0,2,4,1,25709.0,1,3,3146.0
87.0,1,1,4,27674.0,0,1,1017.0
53.0,1,1,2,26563.0,0,1,990.0
60.0,2,3,3,27417.0,2,3,2880.0
80.0,1,3,3,28437.0,1,3,2917.0
62.0,1,2,1,25863.0,1,3,2864.0
92.0,2,2,3,26335.0,2,1,933.0
62.0,2,1,4,26731.0,0,1,1026.0
62.0,2,3,3,32501.0,1,3,2986.0
52.0,2,3,2,25581.0,1,3,3157.0
72.0,1,2,3,25502.0,2,1,913.0
44.0,2,4,2,26224.0,2,3,2942.0
77.0,2,3,4,25009.0,2,3,3122.0
45.0,1,2,2,27051.0,1,3,2953.0
44.0,1,1,3,28722.0,2,1,912.0
84.0,2,2,3,26432.0,0,1,1017.0
64.0,2,3,2,26200.0,2,1,1069.0
41.0,2,1,2,25809.0,2,3,2996.0
62.0,1,1,2,26904.0,2,1,843.0
69.0,2,3,3,25269.0,2,3,2795.0
92.0,1,3,1,30191.0,1,3,3202.0
29.0,2,4,1,26415.0,0,1,1077.0
43.0,1,4,3,28848.0,2,1,1122.0
59.0,2,2,3,28121.0,2,3,2891.0
86.0,2,4,2,25689.0,0,1,838.0
76.0,1,1,4,26019.0,1,3,2920.0
48.0,1,3,1,26553.0,0,1,1070.0
58.0,1,1,2,31641.0,2,1,1054.0
34.0,1,1,4,27409.0,2,3,2991.0
54.0,2,1,4,34700.0,2,3,2887.0
50.0,2,1,2,28953.0,0,1,1050.0
38.0,2,2,3,26014.0,0,1,858.0
62.0,2,1,3,25543.0,0,1,965.0
38.0,1,2,3,25551.0,1,3,3003.0
90.0,1,3,1,36613.0,2,3,3056.0
52.0,1,1,3,25462.0,1,3,2823.0
39.0,2,2,4,25681.0,2,1,1003.0
76.0,2,4,4,25184.0,0,1,1049.0
41.0,2,1,2,27257.0,1,3,3042.0
85.0,2,4,4,26906.0,0,1,1018.0
66.0,1,2,3,32419.0,1,3,3011.0
70.0,2,1,1,28592.0,0,1,973.0
40.0,1,1,3,26578.0,2,1,1024.0
57.0,1,2,4,27196.0,0,1,1076.0
33.0,2,4,2,28508.0,2,3,3048.0
45.0,2,2,4,26543.0,1,3,2978.0
62.0,2,2,3,25059.0,2,1,880.0
81.0,1,1,4,27979.0,2,3,3121.0
81.0,2,2,3,27500.0,1,3,3026.0
45.0,2,1,3,27519.0,2,1,966.0
32.0,1,4,4,25158.0,2,1,878.0
58.0,1,4,1,26187.0,2,3,3077.0
38.0,1,2,1,25216.0,2,3,3075.0
73.0,2,2,2,26579.0,1,3,3157.0
35.0,1,1,4,25604.0,2,1,1139.0
81.0,1,1,4,32612.0,2,3,3111.0
31.0,1,2,2,25432.0,2,1,983.0
41.0,1,1,2,28556.0,1,3,2961.0
33.0,1,4,4,30302.0,1,3,2917.0
84.0,2,1,3,27988.0,0,1,1103.0
37.0,1,2,3,26124.0,2,1,886.0
68.0,2,1,1,27712.0,2,1,1070.0
47.0,2,2,3,25473.0,2,1,814.0
93.0,2,1,4,29122.0,0,1,1046.0
33.0,1,2,2,31277.0,0,1,985.0
42.0,2,1,3,25010.0,0,1,1026.0
58.0,2,3,3,27405.0,2,3,2992.0
79.0,2,1,4,26693.0,2,1,1163.0
80.0,2,2,2,28273.0,1,3,3061.0
37.0,1,1,1,27077.0,0,1,1009.0
42.0,1,1,4,30302.0,0,1,938.0
43.0,2,3,3,29967.0,1,3,3090.0
88.0,2,2,4,34094.0,1,3,2956.0
60.0,1,3,2,26647.0,1,3,2988.0
62.0,2,2,1,25913.0,2,1,1058.0
33.0,1,2,3,34569.0,1,3,3165.0
57.0,1,3,4,25219.0,2,3,3012.0
63.0,1,2,3,25922.0,0,1,1080.0
43.0,2,1,2,29895.0,2,3,3154.0
82.0,1,3,1,28398.0,1,3,3021.0
70.0,1,4,4,29774.0,0,1,867.0
64.0,2,2,1,30083.0,1,3,2981.0
39.0,1,4,2,27856.0,0,1,972.0
22.0,2,4,1,26074.0,0,1,1038.0
60.0,2,2,4,26529.0,1,3,2808.0
58.0,1,1,4,28134.0,2,3,2989.0
75.0,1,2,3,25515.0,0,1,1195.0
35.0,1,1,4,27645.0,1,3,2894.0
94.0,1,1,2,27966.0,2,1,969.0
38.0,1,2,4,32044.0,0,1,879.0
77.0,1,2,3,30280.0,2,1,981.0
83.0,1,3,3,27272.0,2,3,3115.0
48.0,2,4,3,25236.0,1,3,3048.0
40.0,1,1,3,25364.0,1,3,3022.0
92.0,2,2,3,25677.0,0,1,1124.0
83.0,2,4,3,25896.0,2,1,1106.0
31.0,1,1,4,27863.0,0,1,1104.0
36.0,2,3,2,29167.0,2,3,3076.0
68.0,2,1,2,29157.0,2,3,2879.0
89.0,2,1,3,25761.0,2,1,985.0
59.0,2,1,3,33718.0,1,3,3081.0
35.0,2,1,3,28765.0,1,3,3129.0
73.0,1,3,1,27947.0,1,3,2834.0
92.0,1,1,3,32041.0,1,3,2823.0
79.0,2,1,3,26788.0,0,1,911.0
30.0,1,3,4,28430.0,2,1,1082.0
68.0,2,3,4,29144.0,2,3,2920.0
88.0,1,3,3,25516.0,2,1,952.0
93.0,2,3,2,30841.0,0,1,911.0
79.0,1,1,2,26142.0,2,1,948.0
66.0,2,4,3,26122.0,2,1,996.0
63.0,2,2,3,26193.0,2,1,937.0
91.0,2,4,3,32562.0,0,1,916.0
82.0,1,2,2,26848.0,1,3,3155.0
36.0,2,1,4,26306.0,2,1,1000.0
70.0,1,2,4,25711.0,1,3,3097.0
44.0,1,1,3,25127.0,2,3,3056.0
76.0,2,1,3,25454.0,2,3,2937.0
66.0,1,1,1,27110.0,2,3,2986.0
71.0,2,3,3,25751.0,2,1,1017.0
41.0,1,1,3,26451.0,2,3,3081.0
48.0,1,1,2,30763.0,2,1,960.0
70.0,2,4,3,28947.0,2,3,3078.0
31.0,2,2,4,26473.0,2,1,987.0
43.0,1,3,3,25934.0,1,3,3067.0
39.0,1,1,4,27116.0,1,3,2836.0
30.0,1,2,3,27489.0,0,1,1098.0
46.0,2,2,3,27447.0,1,3,3229.0
58.0,2,2,4,29408.0,1,3,2932.0
65.0,2,1,2,29011.0,1,3,3090.0
53.0,1,3,4,25447.0,2,3,3088.0
83.0,2,2,3,25948.0,1,3,2953.0
30.0,2,2,2,32433.0,2,3,3031.0
61.0,1,2,3,27383.0,2,1,974.0
62.0,1,1,4,28233.0,0,1,1131.0
76.0,2,3,2,25717.0,0,1,999.0
71.0,2,1,3,28857.0,1,3,3024.0
73.0,1,4,3,26319.0,1,3,2972.0
92.0,2,1,3,27597.0,2,3,2934.0
31.0,1,1,3,25032.0,1,3,2746.0
71.0,1,2,4,25665.0,2,3,2986.0
92.0,2,1,3,25322.0,2,3,3006.0
76.0,2,3,3,33987.0,1,3,2922.0
49.0,2,4,2,37068.0,0,1,1040.0
32.0,2,4,2,28305.0,2,1,985.0
93.0,2,1,1,32713.0,1,3,3099.0
70.0,1,1,4,27249.0,2,3,3266.0
76.0,1,1,1,26258.0,2,1,970.0
56.0,1,2,1,31053.0,0,1,966.0
32.0,1,3,4,25047.0,0,1,970.0
60.0,1,2,3,25606.0,0,1,955.0
73.0,1,2,2,25665.0,1,3,2943.0
73.0,1,1,3,29211.0,2,1,1064.0
67.0,2,1,3,25942.0,0,1,1074.0
88.0,2,4,2,25186.0,0,1,1109.0
61.0,2,1,2,29862.0,1,3,3133.0
63.0,2,3,2,31498.0,0,1,915.0
54.0,1,2,1,29515.0,1,3,3042.0
64.0,2,4,1,25574.0,2,3,2913.0
71.0,2,2,4,28928.0,2,3,2913.0
84.0,1,4,2,26196.0,1,3,3064.0
47.0,1,1,4,29619.0,0,1,924.0
27.0,2,4,4,26902.0,2,3,2869.0
87.0,2,2,2,28521.0,2,3,3036.0
84.0,1,1,3,27840.0,0,1,959.0
87.0,2,3,3,27067.0,1,3,2774.0
95.0,1,2,2,26490.0,1,3,3012.0
51.0,2,2,2,26882.0,2,1,1002.0
76.0,1,1,1,29439.0,2,3,3144.0
85.0,1,2,2,25910.0,0,1,839.0
85.0,1,4,3,28765.0,1,3,3099.0
76.0,1,2,3,25389.0,2,3,3030.0
55.0,1,4,3,26283.0,0,1,981.0
