AGEP,SEX,EDU,PINCP,HOUSING_TYPE,OWN_RENT,DENSITY
0,2,1,30909,2,2,422.1864318847656
2,2,4,79934,2,1,934.728759765625
1,1,3,54765,1,1,678.9952392578125
1,2,2,41034,1,1,506.2452697753906
0,1,4,91348,1,1,1020.1932373046875
4,1,4,83866,1,2,932.638671875
4,2,1,42192,1,1,526.148681640625
3,2,4,88316,1,2,996.3009643554688
3,1,4,92971,1,1,1063.380615234375
0,1,2,43027,1,2,522.86474609375
2,1,2,40239,1,2,501.8304443359375
2,1,2,57038,1,1,652.4464721679688
2,2,3,70556,2,1,813.1367797851562
4,2,4,85490,2,2,968.8776245117188
1,2,4,76581,1,2,867.9285888671875
3,2,1,28359,1,2,372.1904296875
3,1,1,52326,1,1,601.546142578125
4,2,3,64519,1,2,743.7373657226562
2,1,3,74656,1,2,862.1830444335938
0,1,1,46478,1,1,547.6310424804688
4,1,3,71135,2,2,796.8513793945312
0,1,2,25524,2,1,359.4919128417969
1,1,2,66039,2,1,746.8248291015625
3,2,2,49373,2,2,596.6785278320312
0,2,2,50298,2,2,650.086669921875
3,2,4,93888,2,2,1013.5759887695312
2,1,4,76455,2,2,853.6553955078125
2,2,2,56846,2,2,663.6924438476562
3,2,4,67138,2,1,801.4810180664062
0,2,1,66914,2,2,745.8687744140625
3,2,1,30763,1,2,394.59588623046875
4,1,4,84004,2,2,944.8804321289062
3,2,3,61727,2,1,769.306396484375
3,2,1,47392,2,1,572.6314086914062
2,2,1,42368,1,2,522.0126953125
4,1,2,65819,2,1,810.0176391601562
3,1,4,87557,1,2,972.2445678710938
4,1,3,67800,2,2,794.9420776367188
1,2,3,70481,1,1,812.4373779296875
4,1,1,25983,1,1,392.46697998046875
2,1,2,46140,2,2,553.9057006835938
3,1,2,58802,2,1,693.3926391601562
3,2,3,72320,1,1,832.8920288085938
1,1,3,74347,1,2,867.1879272460938
1,2,4,86447,1,1,965.7874145507812
1,1,3,74166,1,1,850.4759521484375
3,1,3,77018,2,2,859.9012451171875
3,1,1,42443,2,1,520.3109130859375
3,2,4,100458,2,2,1130.049560546875
2,1,1,22386,1,2,339.34088134765625
0,2,1,43035,1,1,512.9344482421875
3,1,3,66448,1,2,733.484130859375
1,1,2,61986,2,2,713.2471923828125
3,2,3,74187,2,1,851.0780029296875
4,2,3,88616,1,1,990.9281005859375
1,1,3,61206,1,2,702.8482055664062
1,2,4,80261,1,2,904.1435546875
0,1,3,70308,1,2,788.240966796875
2,1,3,78191,1,1,863.3948364257812
1,2,3,73590,2,2,812.728515625
4,1,3,43801,1,1,555.555419921875
0,2,2,47901,2,2,591.9102172851562
3,2,1,44644,2,1,518.2893676757812
2,2,3,68589,1,2,805.92333984375
3,1,4,85312,1,2,929.6083984375
1,2,2,51673,1,2,608.7083740234375
1,2,1,37692,2,2,467.7854309082031
1,2,3,68120,2,2,732.0612182617188
2,2,2,31035,1,2,414.83551025390625
3,1,2,49745,2,2,593.8463134765625
2,1,1,39066,1,2,492.3802795410156
1,1,2,55095,2,1,671.4381713867188
4,1,4,76214,1,1,900.0873413085938
4,2,2,59395,1,1,705.2969360351562
4,2,2,34831,2,2,449.0823669433594
2,2,2,53478,1,1,610.4193725585938
4,1,3,70803,2,2,839.107421875
0,1,1,25965,1,1,351.4486999511719
3,1,1,49001,1,2,592.246826171875
4,1,1,30435,2,1,398.4956359863281
1,2,4,85888,1,2,954.2042846679688
1,1,1,26634,2,2,348.42388916015625
4,1,4,79413,2,2,917.8148803710938
1,1,2,60207,1,2,708.86328125
3,2,4,88146,1,2,938.4691162109375
2,2,4,81193,1,1,916.7391967773438
2,1,3,64887,1,2,705.816162109375
4,1,2,65504,1,2,746.5886840820312
3,2,2,48995,2,2,608.2007446289062
0,1,2,65044,1,2,738.30517578125
4,1,1,26544,2,2,364.53515625
4,2,1,34634,2,1,409.7576904296875
0,1,4,91805,2,2,1023.1796264648438
2,1,3,74599,1,1,833.3746337890625
3,1,1,39494,1,1,502.47137451171875
3,2,1,46006,2,1,560.248779296875
4,2,3,63505,2,2,691.89208984375
2,2,4,80210,1,2,878.8392333984375
2,2,1,49597,1,1,567.4029541015625
1,2,2,49529,2,2,569.369873046875
2,2,1,47257,1,2,548.0379028320312
4,1,3,55516,2,1,668.9462890625
4,2,3,70129,1,2,817.0108032226562
1,2,1,28593,2,2,370.9730224609375
2,2,3,61985,2,2,696.5304565429688
3,2,2,55840,2,1,663.352783203125
2,2,4,79695,2,1,881.2671508789062
1,2,4,71903,2,2,783.44287109375
2,2,2,61256,2,1,673.8180541992188
3,2,2,47554,1,2,533.64208984375
1,2,2,36981,1,2,461.0252990722656
2,1,4,74296,2,2,826.8507080078125
2,2,4,86418,2,2,981.9487915039062
4,1,4,84451,1,2,930.0736083984375
2,2,3,61549,1,1,725.13916015625
0,1,3,79670,2,2,882.0958862304688
4,2,3,63916,1,1,781.7352905273438
2,1,2,52948,1,1,647.754150390625
2,2,4,96704,1,2,1072.98095703125
2,2,2,51066,2,1,639.458740234375
2,2,4,68941,2,1,784.2289428710938
1,2,2,39386,2,1,490.6501159667969
3,1,4,91798,2,2,1006.6715087890625
3,1,2,63514,2,2,714.364501953125
1,1,2,64537,2,1,775.1106567382812
1,2,1,48215,2,1,585.5001220703125
3,2,1,38040,2,1,487.058837890625
4,1,2,29723,2,2,400.49981689453125
2,1,3,84212,2,1,975.7804565429688
3,1,3,78804,1,2,894.4368286132812
2,1,2,62376,2,1,737.6124877929688
4,1,4,85253,1,2,956.8807373046875
3,2,1,22517,1,2,296.5938415527344
4,1,3,74192,1,1,851.2792358398438
0,2,1,33311,2,2,382.5762023925781
0,1,3,54622,2,2,635.2169189453125
0,1,4,96584,2,2,1033.493408203125
1,1,2,51830,2,1,643.8851318359375
2,2,3,74977,2,1,839.3291015625
2,2,1,64660,1,1,770.9558715820312
1,2,1,35363,2,1,470.5431823730469
1,2,1,26892,1,1,364.07574462890625
1,1,3,57766,2,2,707.264892578125
4,1,4,68531,2,2,752.4837646484375
2,1,1,44975,1,2,553.2334594726562
2,1,1,39168,1,2,499.9700012207031
3,2,1,31126,1,1,427.9841003417969
4,2,4,94068,1,1,1014.8787841796875
4,2,3,79769,2,2,915.6408081054688
3,2,1,23512,2,2,340.5169372558594
2,1,3,65910,2,1,753.2451782226562
3,1,3,55435,1,2,679.802490234375
1,2,2,38682,2,2,479.2121887207031
1,2,3,59309,1,2,665.54931640625
0,1,4,82251,2,1,920.2457275390625
1,2,3,60983,2,1,704.8314819335938
2,2,3,55949,1,2,633.6580810546875
4,2,4,68186,1,2,757.8272705078125
4,2,2,51267,1,2,603.0861206054688
3,1,1,36649,2,2,431.91973876953125
1,1,3,65654,1,1,785.9086303710938
3,2,4,86037,2,2,950.6304321289062
4,2,2,54461,2,1,639.916259765625
4,2,3,83867,2,1,939.2184448242188
3,2,3,91562,1,2,995.3519287109375
2,1,3,68146,2,2,775.8954467773438
3,2,2,54675,1,1,631.9851684570312
2,2,3,60532,1,1,727.6660766601562
2,2,3,63962,2,2,757.4581909179688
2,2,1,41606,1,1,480.8238525390625
4,2,4,68727,2,2,795.494384765625
4,2,4,72065,1,1,819.8549194335938
3,1,3,47549,1,2,579.1355590820312
3,2,4,89873,1,1,959.1000366210938
2,1,1,41718,2,2,474.29730224609375
3,1,1,39729,1,2,466.24090576171875
4,1,4,70454,1,2,794.4973754882812
3,1,4,108939,2,2,1176.3929443359375
3,1,1,33859,1,2,459.728515625
1,1,2,46046,1,1,544.9649047851562
4,2,1,32914,2,1,445.86260986328125
4,2,1,24968,2,1,324.1395263671875
1,1,3,82218,1,2,903.8786010742188
1,1,3,64738,2,1,761.5213012695312
3,1,3,76999,2,2,876.23828125
1,1,2,37542,2,1,502.91668701171875
4,1,3,72270,1,1,794.2522583007812
4,2,2,70298,2,2,766.2464599609375
2,1,3,72141,2,1,825.0459594726562
2,1,1,55444,1,1,697.541259765625
4,1,1,38505,1,1,497.9847412109375
2,2,2,63854,2,2,720.88330078125
2,1,3,69428,2,2,772.2925415039062
2,1,3,78705,2,2,861.87255859375
4,2,4,76520,2,2,863.4608764648438
0,2,1,33999,2,2,431.4548034667969
2,1,2,47413,2,2,562.3348999023438
0,2,3,51644,1,2,634.5732421875
1,1,1,43634,1,1,536.6727905273438
3,2,3,81314,1,2,901.499267578125
2,2,4,65215,1,1,769.9994506835938
1,1,3,55826,2,2,639.5839233398438
1,1,1,26101,2,1,359.9634704589844
2,1,1,32559,2,2,448.2078857421875
1,2,1,22449,1,1,336.33642578125
4,2,2,55609,2,1,658.6185302734375
4,1,4,87623,1,1,958.3836059570312
0,2,3,64510,2,2,716.6441040039062
4,1,2,32544,1,2,422.0708923339844
2,2,3,60637,1,2,688.9039916992188
4,2,2,39398,2,1,503.92279052734375
3,1,3,76447,1,1,885.5555419921875
2,1,3,55908,2,1,704.19677734375
1,1,1,25187,2,1,351.4451904296875
2,2,1,31914,2,1,427.92999267578125
1,1,2,60454,1,2,673.4303588867188
1,1,3,67511,2,2,739.3255004882812
4,2,2,52522,1,2,626.8692626953125
0,1,1,37258,2,1,436.0790100097656
2,2,1,38430,1,1,498.45611572265625
2,2,2,56638,2,2,640.6251831054688
4,2,4,81140,1,2,897.3438720703125
2,2,2,50011,1,2,568.6898193359375
0,2,3,63514,2,2,728.0667724609375
3,1,1,28693,1,1,362.1227722167969
1,1,3,61224,1,1,690.2709350585938
2,1,3,62618,2,1,739.6007080078125
4,2,2,38834,1,1,520.9922485351562
3,1,2,70963,1,1,825.7138061523438
4,1,3,68798,2,1,768.4402465820312
4,1,1,30027,1,2,412.32208251953125
4,1,3,70337,2,1,804.94677734375
0,1,3,72525,1,2,814.9702758789062
2,1,1,37735,2,1,474.4683532714844
3,2,2,53551,1,1,642.2611083984375
0,1,2,23319,2,2,317.2129211425781
2,1,2,49316,2,2,597.4077758789062
1,1,4,78980,2,2,855.7081298828125
2,1,2,33800,2,1,482.900390625
2,2,2,59508,2,2,686.1019287109375
2,1,3,71931,1,2,821.0991821289062
1,1,3,58451,1,1,662.605712890625
2,2,2,50796,1,2,572.573486328125
4,2,1,45778,2,2,580.6180419921875
3,1,4,84585,1,2,933.6485595703125
4,2,3,65998,1,2,749.7315063476562
4,2,4,76937,1,1,878.700439453125
4,1,2,56026,1,2,656.061279296875
2,1,1,34781,1,1,439.9788513183594
1,1,4,87785,2,2,985.5531005859375
4,2,2,38735,2,1,499.8580627441406
4,1,3,68007,1,1,821.6209106445312
2,1,1,36436,1,1,456.2720947265625
3,1,4,85115,1,1,952.3802490234375
3,2,2,54034,2,2,617.9163208007812
1,2,1,44186,1,1,556.7271728515625
3,1,1,22942,2,1,394.40081787109375
3,2,1,50600,2,2,626.1646118164062
2,2,4,71056,1,2,795.3802490234375
1,1,4,88122,2,2,977.4646606445312
2,1,4,64752,1,2,713.86572265625
3,1,1,35831,1,1,455.0914306640625
2,2,3,58192,1,1,677.3175048828125
4,1,3,64388,2,1,763.6246948242188
3,2,2,62430,1,2,703.0260620117188
1,1,1,57821,1,2,663.228515625
1,1,2,46430,2,2,514.5079345703125
4,1,3,68499,2,1,792.1741943359375
4,1,3,56128,2,1,681.5904541015625
3,1,1,22937,1,2,343.1270751953125
2,2,2,45180,2,2,541.9302978515625
1,2,2,42915,1,1,571.3887329101562
3,2,3,76984,2,2,839.7086791992188
0,2,2,29997,2,2,388.8332214355469
2,2,3,82669,2,1,921.80615234375
4,2,3,58395,2,2,685.6005859375
1,2,2,48723,2,2,554.5806884765625
1,1,2,45145,2,2,555.4268188476562
2,1,4,80920,2,1,948.6346435546875
2,1,2,48807,2,2,565.291748046875
3,1,2,46309,2,2,586.08935546875
2,1,1,48241,1,1,597.3573608398438
4,1,1,10139,2,1,226.7462921142578
3,2,1,48808,2,1,581.4478149414062
1,1,3,73185,2,1,844.1090698242188
3,1,1,24828,2,1,338.7383728027344
1,1,3,70316,2,1,811.3599243164062
4,1,3,89327,1,2,1006.7817993164062
2,1,1,47493,1,1,564.5231323242188
2,1,4,63315,1,1,719.6317749023438
1,1,3,71327,1,1,787.8858642578125
4,1,1,33975,2,1,435.13214111328125
0,2,3,64529,2,2,745.8370971679688
0,1,1,34841,1,2,405.54351806640625
2,2,1,44088,1,1,511.3657531738281
4,2,2,41390,2,2,521.7112426757812
1,2,2,52020,2,2,633.2852172851562
2,1,1,40030,1,2,463.9173889160156
4,1,4,83259,1,1,971.7759399414062
1,2,4,80347,2,2,887.2134399414062
1,1,2,36817,1,1,504.7449645996094
4,1,4,82160,1,1,918.8242797851562
1,2,2,51395,1,2,586.0858764648438
1,1,4,88327,2,2,959.2823486328125
1,1,3,60760,2,2,669.6303100585938
3,2,2,71434,1,2,777.5088500976562
2,1,2,23703,1,1,348.2178649902344
2,1,2,62441,2,1,736.1011962890625
2,1,1,49329,1,2,601.6870727539062
1,2,3,69026,1,2,799.9315795898438
3,2,3,69620,1,2,779.1317749023438
3,1,4,67999,2,2,755.7986450195312
4,1,1,42608,2,2,537.3055419921875
3,1,1,47872,1,1,579.606689453125
2,1,1,36450,2,2,477.7106018066406
1,2,2,50335,2,1,619.9944458007812
0,2,3,60861,2,1,713.7334594726562
4,2,1,29123,2,2,383.00311279296875
2,1,3,46235,1,2,553.6748046875
2,2,1,39747,1,1,488.93719482421875
4,2,1,41478,1,1,509.38079833984375
4,1,4,71818,2,1,810.3528442382812
1,1,4,72139,1,1,797.075439453125
4,2,4,94562,2,1,1054.726318359375
0,2,3,81204,1,1,904.3505859375
2,1,2,45573,1,1,554.0685424804688
4,2,2,43447,1,1,530.7105712890625
3,1,1,51848,2,2,634.0521240234375
3,1,4,66329,1,1,770.4358520507812
1,1,4,77606,2,2,863.6527709960938
4,2,3,66633,2,2,763.8575439453125
