,RAC1P,SEX,EDU,PINCP_DECILE,MSP,OWN_RENT,HOUSING_TYPE
2667,7,2,7,6,6,0,2
2668,1,2,7,1,6,0,2
2669,8,1,4,6,1,2,1
2670,1,2,7,0,1,1,1
2671,1,2,3,7,1,1,1
2672,2,1,3,1,4,2,1
2673,1,2,9,6,4,1,1
2674,1,1,3,5,1,0,3
2675,1,2,4,1,4,2,1
2676,1,1,10,0,1,0,3
2677,1,1,3,3,4,0,3
2678,1,2,8,6,1,2,1
2679,1,2,3,6,6,0,2
2680,8,1,10,4,5,2,3
2681,2,1,12,9,1,1,1
2682,1,2,4,2,2,2,1
2683,1,1,8,4,5,0,2
2684,6,2,9,2,1,0,3
2685,1,1,3,2,3,2,1
2686,2,2,7,0,2,2,1
2687,1,2,7,2,4,1,1
2688,1,1,4,2,6,0,1
2689,1,2,12,1,5,1,2
2690,1,2,9,0,3,0,2
2691,2,2,5,1,4,1,3
2692,1,2,9,5,1,1,1
2693,2,2,6,4,5,1,3
2694,1,2,4,2,1,1,1
2695,1,1,11,1,1,0,3
2696,1,2,7,3,4,1,1
2697,1,2,3,4,4,1,3
2698,1,2,9,6,1,1,1
2699,2,1,9,0,4,0,2
2700,1,2,5,4,6,2,1
2701,4,2,2,2,6,2,1
2702,1,1,5,2,2,0,2
2703,1,2,6,1,5,1,1
2704,1,1,5,4,4,2,1
2705,1,2,9,2,1,0,3
2706,1,2,8,4,5,1,1
2707,1,2,3,5,6,1,2
2708,1,1,5,1,6,0,2
2709,1,2,10,4,1,0,1
2710,1,1,5,0,6,2,1
2711,1,1,6,6,5,1,1
2712,2,1,5,1,2,1,1
2713,2,1,6,6,1,1,1
2714,1,2,5,1,1,0,3
2715,1,2,8,9,6,0,1
2716,1,1,5,1,6,0,1
2717,2,1,5,6,6,2,1
2718,1,1,8,5,4,0,2
2719,1,1,6,6,3,1,1
2720,1,1,2,9,1,1,1
2721,1,2,8,7,3,0,1
2722,9,2,10,2,1,0,3
2723,1,1,5,3,1,0,3
2724,1,1,7,4,6,0,1
2725,9,2,10,2,1,1,1
2726,1,2,5,4,6,2,1
2727,1,1,9,5,1,0,1
2728,2,1,3,9,4,2,1
2729,9,1,3,7,5,2,2
2730,1,2,7,5,1,0,2
2731,2,2,5,8,4,1,1
2732,2,1,10,5,2,0,3
2733,1,1,4,5,5,2,1
2734,8,2,6,6,5,1,1
2735,2,1,9,1,1,0,3
2736,1,1,6,1,4,0,1
2737,1,1,9,9,1,1,1
2738,1,1,1,6,1,0,3
2739,1,2,4,6,5,0,1
2740,1,2,6,0,6,0,3
2741,1,2,7,5,2,0,2
2742,1,2,5,5,5,0,3
2743,2,2,4,9,1,0,2
2744,2,2,4,3,3,0,2
2745,1,1,5,2,1,1,3
2746,1,1,3,4,6,1,1
2747,2,2,5,9,1,2,1
2748,2,2,10,6,3,0,2
2749,1,1,11,7,3,0,1
2750,4,1,3,3,5,1,1
2751,1,2,5,7,5,0,1
2752,1,1,9,0,1,0,3
2753,1,2,4,2,1,1,1
2754,4,2,8,3,4,2,1
2755,2,2,8,3,4,1,1
2756,9,1,12,6,1,1,1
2757,1,2,4,0,1,1,1
2758,1,1,7,9,1,0,1
2759,9,2,3,2,6,0,3
2760,1,1,9,8,1,0,1
2761,2,1,10,8,2,0,1
2762,1,1,5,0,5,1,1
2763,2,1,8,6,2,1,2
2764,1,1,4,2,1,2,1
2765,1,2,5,4,1,1,1
2766,1,2,10,9,1,0,3
2767,1,2,3,1,6,2,3
2768,1,2,8,9,1,0,1
2769,1,2,5,3,5,0,2
2770,1,1,9,2,1,1,1
2771,1,1,5,5,1,1,1
2772,1,2,5,7,2,2,1
2773,2,2,9,2,1,0,3
2774,1,2,9,2,1,0,3
2775,1,2,6,6,1,0,1
2776,2,2,7,5,2,0,1
2777,5,1,11,8,6,1,1
2778,1,2,9,1,1,0,3
2779,1,2,7,6,6,0,1
2780,1,2,9,1,1,0,3
2781,2,1,4,3,6,1,1
2782,1,1,7,2,2,2,1
2783,1,1,1,3,5,0,2
2784,1,2,3,5,1,1,1
2785,6,1,8,4,2,0,2
2786,8,1,7,0,1,1,1
2787,1,2,6,9,6,0,1
2788,1,2,2,5,6,0,2
2789,1,1,5,1,5,0,2
2790,8,1,6,3,4,0,3
2791,6,1,9,0,1,0,3
2792,1,2,5,0,2,0,2
2793,8,1,7,9,3,0,2
2794,1,1,4,0,5,0,1
2795,9,2,9,1,1,0,3
2796,2,2,9,1,1,0,3
2797,3,1,4,4,4,0,1
2798,1,1,10,1,2,0,1
2799,1,1,5,3,5,0,1
2800,1,1,7,7,1,1,1
2801,1,2,9,0,1,0,3
2802,1,1,3,7,1,2,1
2803,1,1,9,4,1,0,1
2804,1,1,4,8,5,1,1
2805,1,1,10,3,2,2,3
2806,8,1,3,9,5,1,1
2807,9,1,6,5,6,0,2
2808,1,1,4,4,3,1,1
2809,8,1,12,5,6,2,1
2810,1,2,6,0,1,0,3
2811,1,1,3,7,4,0,3
2812,1,1,6,4,5,2,1
2813,1,2,4,8,3,1,1
2814,1,1,6,1,4,0,3
2815,1,1,6,4,1,1,1
2816,6,1,1,6,1,1,1
2817,9,1,4,4,6,1,1
2818,1,2,9,0,1,0,3
2819,1,2,10,0,1,0,1
2820,1,2,4,1,1,2,1
2821,1,2,9,4,5,0,1
2822,1,1,1,6,2,2,1
2823,1,1,5,1,1,1,3
2824,9,2,9,5,3,0,2
2825,1,2,5,9,6,1,1
2826,1,2,9,6,1,0,1
2827,1,1,3,5,1,2,3
2828,6,1,1,4,4,2,1
2829,7,2,5,0,1,0,1
2830,1,1,10,4,4,1,1
2831,5,1,2,3,2,2,2
2832,1,2,9,1,1,0,3
2833,1,1,7,2,4,2,1
2834,9,2,1,7,6,1,1
2835,1,2,9,2,5,2,3
2836,1,1,7,4,5,0,2
2837,1,2,3,1,6,0,1
2838,1,1,7,5,5,0,1
2839,9,2,10,5,2,1,1
2840,1,1,8,6,1,1,1
2841,1,1,4,2,1,2,1
2842,8,2,12,7,3,0,1
2843,8,1,3,6,3,2,1
2844,2,2,4,0,1,1,1
2845,1,1,9,2,1,0,3
2846,1,1,2,3,5,2,1
2847,2,2,1,0,3,0,3
2848,2,1,4,3,5,2,1
2849,5,2,11,7,2,0,1
2850,9,2,2,0,1,0,1
2851,2,1,8,3,6,0,1
2852,1,2,2,9,4,1,1
2853,1,1,8,2,4,2,1
2854,1,1,7,4,3,2,1
2855,1,2,9,6,5,0,3
2856,9,2,8,6,5,0,1
2857,9,1,6,2,6,0,1
2858,1,1,8,2,6,0,3
2859,7,2,5,2,5,0,2
2860,2,2,3,2,1,0,3
2861,1,2,6,5,2,0,1
2862,1,2,4,7,4,1,1
2863,1,2,6,4,3,1,1
2864,6,1,7,0,2,1,1
2865,1,1,4,7,6,0,1
2866,1,2,9,0,1,0,3
2867,1,1,6,4,5,2,1
2868,1,2,2,6,3,0,3
2869,4,2,9,2,1,0,1
2870,1,2,4,2,4,0,1
2871,1,1,8,5,3,1,1
2872,1,2,7,0,4,0,1
2873,1,2,9,0,1,0,3
2874,1,2,4,1,4,0,1
2875,1,1,11,5,1,0,1
2876,1,2,6,0,5,0,1
2877,1,2,5,4,2,1,1
2878,1,2,4,9,1,0,1
2879,1,2,5,5,1,1,1
2880,1,2,7,4,2,0,1
2881,1,1,10,3,1,2,1
2882,1,1,4,5,3,0,1
2883,1,1,6,2,4,2,1
2884,2,1,7,1,1,1,1
2885,9,1,6,5,6,0,1
2886,2,1,5,4,1,1,1
2887,1,2,10,9,1,1,1
2888,2,1,1,9,1,0,3
2889,1,2,5,0,3,0,1
2890,1,1,9,5,3,0,1
2891,1,2,4,9,6,1,1
2892,9,1,4,6,5,2,1
2893,1,2,5,6,6,2,1
2894,1,2,2,1,3,2,1
2895,1,1,1,0,6,2,1
2896,2,1,4,8,4,1,1
2897,1,1,5,1,1,0,1
2898,1,2,4,3,5,0,1
2899,1,1,5,0,1,2,1
2900,2,1,11,1,1,0,3
2901,8,2,5,9,6,2,1
2902,9,2,4,0,1,1,1
2903,2,1,9,5,4,0,2
2904,1,1,10,7,4,0,2
2905,1,1,9,2,1,0,3
2906,1,1,7,2,6,0,1
2907,1,1,9,2,1,0,1
2908,4,2,3,5,3,2,1
2909,2,2,1,5,2,1,2
2910,1,2,3,8,2,1,1
2911,1,1,6,9,2,0,1
2912,2,2,9,2,1,0,3
2913,1,2,8,1,6,0,1
2914,1,1,6,6,2,1,1
2915,2,1,9,2,1,0,3
2916,1,1,3,4,2,0,1
2917,9,2,5,2,6,1,1
2918,4,2,8,4,6,1,1
2919,9,1,7,1,1,1,3
2920,1,1,10,0,6,0,1
2921,4,2,3,1,6,0,1
2922,9,2,8,2,6,2,1
2923,2,2,5,3,4,2,1
2924,2,2,9,0,1,0,3
2925,1,2,5,3,4,0,2
2926,1,1,4,5,4,1,1
2927,1,2,7,4,4,2,3
2928,9,1,8,0,6,0,1
2929,9,2,2,7,4,2,1
2930,2,2,4,3,1,2,1
2931,1,2,5,3,1,0,1
2932,4,2,8,2,5,1,1
2933,8,2,7,7,2,1,3
2934,5,2,9,0,1,0,3
2935,1,1,8,2,6,1,1
2936,9,2,7,4,5,1,1
2937,1,2,6,9,1,1,1
2938,4,2,4,1,6,2,1
2939,1,2,6,1,3,0,1
2940,8,1,10,5,6,2,1
2941,2,1,1,0,2,0,1
2942,8,2,12,3,4,0,1
2943,8,1,7,4,5,1,1
2944,1,1,7,1,5,0,1
2945,1,1,9,2,1,0,1
2946,1,1,5,1,4,2,1
2947,1,2,5,4,4,2,1
2948,1,1,6,3,6,0,1
2949,1,2,4,0,1,0,2
2950,1,1,7,1,1,0,1
2951,8,2,12,8,1,1,1
2952,1,2,3,0,5,0,1
2953,1,2,7,1,1,2,1
2954,1,1,6,2,2,1,1
2955,1,2,7,1,2,2,1
2956,1,1,5,9,1,2,1
2957,7,1,5,2,4,1,1
2958,9,2,10,0,1,0,3
2959,1,2,9,8,1,1,1
2960,2,2,9,1,1,0,3
2961,1,1,9,0,1,0,3
2962,2,1,5,3,1,2,1
2963,1,2,3,3,3,0,1
2964,1,2,9,3,3,2,1
2965,2,1,6,0,1,0,1
2966,1,2,4,3,2,2,1
2967,1,2,7,2,6,0,2
2968,1,2,10,0,5,1,1
2969,1,1,11,2,1,0,3
2970,8,1,9,2,1,0,3
2971,1,1,7,4,1,1,1
2972,2,2,5,4,6,1,1
2973,1,2,1,7,5,2,1
2974,1,2,3,5,3,1,1
2975,1,2,5,0,3,1,1
2976,1,2,1,0,3,0,1
2977,1,2,8,3,2,0,1
2978,3,1,4,2,2,0,1
2979,6,2,9,1,1,0,3
2980,9,1,6,6,6,0,2
2981,1,1,4,1,2,2,1
2982,1,1,10,3,5,0,1
2983,9,2,8,3,5,1,1
2984,1,1,7,5,6,0,1
2985,1,1,7,3,4,1,1
2986,2,2,8,1,6,0,3
2987,1,1,1,6,1,2,1
2988,1,1,5,0,4,1,2
2989,1,1,9,0,1,0,3
2990,1,2,9,2,1,0,3
2991,2,1,6,3,5,0,1
2992,9,1,4,9,1,2,1
2993,1,1,7,2,5,1,1
2994,8,2,4,1,1,1,1
2995,9,2,2,4,2,1,3
2996,2,1,12,9,1,0,1
2997,1,1,3,2,1,0,3
2998,4,2,5,4,3,0,1
2999,1,1,9,1,1,0,3
3000,2,2,4,4,2,1,1
3001,1,1,2,6,1,2,1
3002,1,1,5,4,4,1,1
3003,9,1,1,0,5,0,1
3004,1,1,2,1,1,1,1
3005,1,1,7,5,1,1,1
3006,1,1,9,2,1,0,3
3007,1,2,9,0,1,0,3
3008,1,2,5,3,1,1,1
3009,1,2,4,0,3,1,1
3010,1,1,5,5,2,0,3
3011,1,2,6,7,1,0,3
3012,1,2,4,2,6,0,1
3013,2,1,7,7,5,1,1
3014,1,1,7,2,1,0,1
3015,1,1,9,2,1,0,3
3016,1,2,9,3,5,1,1
3017,4,2,9,2,4,0,1
3018,1,1,7,0,4,0,1
3019,2,1,9,2,1,0,1
3020,1,1,7,0,1,0,1
3021,1,1,7,5,1,2,1
3022,1,1,10,3,5,2,1
3023,1,2,10,0,1,0,3
3024,1,1,7,0,1,1,1
3025,1,2,9,6,1,0,1
3026,6,1,2,2,1,0,1
3027,1,1,5,1,2,0,1
3028,2,2,3,6,3,0,2
3029,1,1,7,4,2,2,1
3030,2,1,10,1,1,0,3
3031,1,2,8,8,4,0,2
3032,1,2,6,4,4,2,3
3033,1,2,12,3,1,1,1
3034,1,1,10,0,1,0,3
3035,6,2,9,2,1,2,1
3036,5,1,8,4,1,0,3
3037,9,1,4,0,1,0,3
3038,1,2,10,2,6,0,1
3039,1,2,11,1,1,0,3
3040,8,1,5,9,2,1,3
3041,1,2,4,6,2,2,3
3042,1,2,10,1,1,0,3
3043,1,1,1,8,5,1,1
3044,4,1,8,3,4,2,1
3045,2,2,1,0,1,1,1
3046,1,2,7,4,1,1,1
3047,1,2,7,3,3,2,1
3048,1,2,9,4,3,0,2
3049,8,1,12,5,1,1,1
3050,1,2,3,2,5,0,2
3051,1,2,3,4,2,0,1
3052,9,1,6,0,5,0,2
3053,1,1,7,3,1,0,2
3054,2,2,5,2,6,2,1
3055,1,2,8,5,1,2,1
3056,1,1,6,8,6,2,1
3057,1,2,9,0,1,0,3
3058,1,2,5,5,4,2,1
3059,9,1,7,7,1,0,1
3060,1,1,5,1,4,1,3
3061,2,2,8,4,1,1,1
3062,9,2,6,6,6,0,1
3063,1,1,5,2,5,0,1
3064,1,1,8,5,2,0,1
3065,2,1,1,1,2,1,1
3066,5,1,12,7,1,0,1
3067,1,2,5,8,4,2,1
3068,6,2,10,2,1,0,3
3069,2,1,9,0,1,0,3
3070,2,1,8,4,4,2,1
3071,7,1,9,4,1,1,1
3072,1,1,5,4,4,2,1
3073,1,1,4,0,5,0,1
3074,1,1,5,0,3,0,1
3075,1,2,1,7,1,0,3
3076,7,1,9,4,4,1,1
3077,2,1,6,5,1,0,1
3078,1,2,7,2,5,0,1
3079,1,2,7,5,1,1,1
3080,8,2,4,9,1,1,1
3081,4,1,7,4,6,2,1
3082,2,1,9,2,1,0,3
3083,2,1,2,6,2,1,1
3084,1,2,6,2,4,0,1
3085,1,2,5,4,1,1,1
3086,4,1,9,3,1,2,1
3087,1,1,5,4,4,2,1
3088,1,1,9,6,1,1,1
3089,1,1,1,6,1,1,1
3090,1,2,5,0,6,0,1
3091,1,1,7,0,5,0,2
3092,1,2,1,9,1,0,1
3093,7,2,7,5,6,0,3
3094,1,1,7,1,6,0,1
3095,2,1,3,5,6,1,1
3096,7,1,6,6,4,0,1
3097,1,2,4,3,1,1,1
3098,5,1,11,2,3,0,2
3099,1,1,5,5,5,0,2
3100,1,2,1,1,1,0,2
3101,9,2,4,8,2,1,1
3102,1,1,7,4,5,2,1
3103,6,2,9,2,1,0,3
3104,4,1,5,5,4,1,1
3105,9,1,8,3,2,0,1
3106,1,2,11,2,1,0,3
3107,1,2,12,3,6,1,1
3108,2,1,5,4,5,0,1
3109,2,1,3,5,6,1,2
3110,1,1,3,3,1,1,3
3111,1,1,9,8,1,1,1
3112,1,2,3,1,4,0,2
3113,9,2,5,4,1,1,1
3114,1,1,3,0,1,0,1
3115,1,2,5,0,1,1,1
3116,7,1,5,6,1,1,1
3117,6,1,2,5,3,1,1
3118,1,1,10,7,5,2,1
3119,4,2,4,1,4,0,1
3120,1,2,6,0,6,2,1
3121,6,1,11,1,2,1,3
3122,9,2,1,0,2,2,1
3123,1,1,7,9,2,0,1
3124,1,2,11,1,1,0,3
3125,1,2,1,5,1,0,3
3126,1,2,7,2,1,2,3
3127,1,1,7,3,6,0,1
3128,1,2,3,6,1,0,3
3129,2,1,4,1,1,1,1
3130,2,1,5,6,3,1,1
3131,1,2,9,1,5,0,3
3132,9,2,8,1,4,1,1
3133,1,1,5,0,1,0,1
3134,1,1,5,4,1,1,1
3135,1,2,5,6,5,1,1
3136,1,1,9,6,1,2,1
3137,8,2,7,6,5,1,1
3138,9,2,7,7,3,0,1
3139,1,2,6,4,3,0,1
3140,1,2,3,6,6,0,1
3141,9,1,4,2,3,0,1
3142,1,2,4,4,1,0,1
3143,9,1,12,7,1,0,1
3144,1,1,5,6,1,0,1
3145,2,1,7,9,1,0,1
3146,1,2,9,2,1,0,3
3147,9,1,4,7,6,1,1
3148,1,1,10,2,1,0,3
3149,1,1,1,5,6,2,1
3150,1,1,4,1,1,2,1
3151,2,2,11,1,1,0,3
3152,7,2,9,4,4,0,1
3153,1,1,7,1,5,2,1
3154,1,1,5,8,1,1,1
3155,6,1,9,8,1,1,1
3156,1,1,8,3,2,0,1
3157,1,1,3,7,5,0,2
3158,1,2,8,3,3,0,1
3159,1,1,4,4,5,2,1
3160,1,2,5,5,1,2,1
3161,7,2,6,2,3,0,1
3162,8,1,9,2,1,0,3
3163,1,2,5,7,3,1,1
3164,9,2,8,6,2,2,1
3165,1,2,4,4,4,0,3
3166,2,2,5,3,5,0,2
3167,8,2,5,2,1,1,1
3168,9,2,8,4,3,0,2
3169,1,2,3,4,2,2,1
3170,2,2,8,3,1,1,1
3171,1,1,9,2,1,0,3
3172,1,2,1,2,1,0,1
3173,2,2,9,4,1,2,1
3174,1,1,6,5,2,2,1
3175,1,2,8,8,4,0,1
3176,9,2,3,7,2,1,1
3177,1,1,9,1,1,0,3
3178,2,1,5,0,1,0,1
3179,7,2,12,7,4,0,1
3180,2,2,12,1,1,0,3
3181,2,2,6,9,6,0,1
3182,1,2,6,3,2,0,1
3183,6,2,7,1,1,0,1
3184,1,2,7,6,2,1,1
3185,2,1,3,9,3,0,1
3186,1,2,7,8,6,0,1
3187,8,2,10,2,5,0,2
3188,9,1,6,2,3,1,1
3189,1,1,7,6,4,0,1
3190,1,1,5,0,4,1,1
3191,1,2,6,0,3,1,1
3192,1,2,3,2,1,2,3
3193,2,1,1,5,1,2,1
3194,1,1,2,1,3,2,1
3195,9,1,11,6,3,1,1
3196,1,2,10,9,4,0,3
3197,1,2,7,0,6,0,1
3198,1,1,8,7,1,0,1
3199,9,1,7,0,1,0,1
3200,2,2,5,2,3,1,1
3201,9,1,12,5,6,0,1
3202,1,1,8,4,6,0,1
3203,8,2,6,2,1,0,3
3204,1,2,6,9,1,1,1
3205,6,2,12,5,5,1,1
3206,1,1,7,0,3,1,1
3207,9,2,9,3,2,1,2
3208,2,1,5,3,3,0,1
3209,1,1,2,0,3,1,1
3210,1,2,10,2,1,0,3
3211,1,2,1,3,3,0,1
3212,1,2,5,2,3,2,1
3213,1,2,3,9,6,0,3
3214,2,1,7,0,1,0,1
3215,7,1,5,3,6,2,1
3216,2,1,5,2,4,1,1
3217,1,2,5,7,5,1,1
3218,1,2,7,4,4,0,1
3219,1,1,5,5,4,2,1
3220,1,2,6,6,1,2,1
3221,1,1,2,3,2,0,3
3222,1,2,4,2,5,1,1
3223,1,1,3,4,6,2,1
3224,9,1,9,2,1,0,3
3225,2,1,5,4,5,1,2
3226,1,2,1,1,4,2,1
3227,9,1,10,6,6,0,2
3228,2,1,6,0,4,0,1
3229,2,1,6,6,2,1,1
3230,2,2,4,3,1,2,1
3231,1,1,12,8,6,0,1
3232,7,1,11,1,5,0,1
3233,6,1,10,2,1,0,3
3234,1,2,7,5,4,1,1
3235,2,2,5,3,1,0,1
3236,1,1,8,2,4,2,1
3237,5,1,11,8,6,0,1
3238,1,2,4,1,2,0,3
3239,2,1,10,1,1,0,1
3240,1,2,3,0,6,1,3
3241,5,1,7,0,2,0,1
3242,1,2,5,9,5,2,1
3243,1,1,4,2,5,2,1
3244,2,1,9,2,1,0,1
3245,1,1,5,3,1,0,1
3246,1,1,5,3,1,0,1
3247,1,2,1,8,5,0,1
3248,1,2,9,7,5,0,3
3249,1,1,5,1,2,2,1
3250,3,1,7,4,4,2,1
3251,1,2,9,9,3,0,1
3252,1,1,4,5,3,0,2
3253,2,2,9,3,4,0,2
3254,5,2,10,0,1,0,3
3255,1,2,9,5,1,0,2
3256,1,2,3,9,4,1,1
3257,2,2,8,3,5,0,1
3258,1,2,12,0,6,2,1
3259,1,2,9,2,2,2,1
3260,1,1,7,6,1,0,3
3261,1,2,6,5,4,1,1
3262,2,2,6,4,2,0,1
3263,1,2,10,2,2,0,1
3264,8,1,10,9,4,1,1
3265,1,1,7,7,2,0,1
3266,9,1,3,1,5,0,1
3267,1,1,5,8,4,0,1
3268,3,1,1,9,6,0,1
3269,9,2,9,4,4,0,3
3270,1,1,3,8,1,1,1
3271,1,1,5,0,6,0,1
3272,7,1,6,1,1,0,1
3273,6,2,4,1,1,0,1
3274,2,1,11,5,1,2,1
3275,1,1,9,4,4,0,1
3276,1,1,3,9,1,1,1
3277,2,1,6,7,3,0,1
3278,1,1,7,3,5,1,1
3279,1,2,4,0,1,1,3
3280,1,1,7,5,1,2,3
3281,2,2,9,0,1,0,3
3282,1,2,7,1,5,2,1
3283,1,2,6,0,6,2,1
3284,2,2,10,0,1,0,3
3285,1,1,12,1,1,0,3
3286,1,1,2,1,6,0,1
3287,1,2,5,1,5,0,1
3288,1,2,5,1,6,0,1
3289,1,1,6,2,4,0,1
3290,9,2,3,1,2,0,1
3291,1,2,9,2,1,0,3
3292,1,2,8,4,1,0,1
3293,1,1,2,2,1,0,1
3294,1,1,7,5,1,2,1
3295,1,1,9,5,4,0,1
3296,1,1,5,3,3,1,1
3297,3,1,12,9,2,0,1
3298,2,2,1,1,5,2,1
3299,1,2,5,7,3,0,3
3300,1,2,1,4,6,0,1
3301,1,2,3,0,6,0,1
3302,1,2,4,5,1,1,1
3303,2,1,11,1,1,0,3
3304,1,1,10,2,1,0,3
3305,3,1,11,0,1,0,3
3306,1,1,8,6,6,1,1
3307,1,1,5,0,6,2,1
3308,1,2,7,6,3,2,1
3309,1,1,4,1,1,0,1
3310,2,1,10,7,3,0,2
3311,1,1,7,6,4,1,1
3312,1,2,5,4,2,1,1
3313,1,1,4,8,2,1,1
3314,9,2,9,0,1,0,3
3315,1,2,4,7,1,1,3
3316,1,2,8,8,3,2,1
3317,1,1,6,6,6,1,1
3318,9,1,11,1,1,0,3
3319,1,1,6,2,6,1,1
3320,1,1,9,2,1,0,3
3321,1,1,9,2,1,0,3
3322,1,2,5,1,2,0,2
3323,1,1,5,2,1,1,1
3324,2,2,4,0,3,1,1
3325,5,2,9,1,1,0,3
3326,1,1,10,5,6,0,2
3327,1,1,9,5,5,1,1
3328,1,1,9,2,1,0,3
3329,1,1,5,3,4,2,1
3330,1,2,4,0,1,1,3
3331,1,2,1,6,1,0,3
3332,2,2,8,7,5,2,3
3333,1,2,10,5,2,1,2
3334,2,1,4,5,1,1,1
3335,1,2,10,1,1,0,3
3336,1,1,4,0,1,0,1
3337,9,2,12,2,6,0,1
3338,8,1,6,2,1,2,1
3339,1,1,9,5,1,2,1
3340,1,2,10,5,1,0,1
3341,1,2,1,5,6,1,2
3342,8,2,2,3,5,2,1
3343,2,1,12,4,1,2,1
3344,2,1,3,6,6,1,3
3345,1,2,4,3,6,1,1
3346,9,1,5,3,5,2,1
3347,1,2,6,4,6,2,1
3348,1,2,9,3,1,0,1
3349,1,1,5,4,4,2,1
3350,9,1,6,0,6,2,1
3351,6,1,11,3,4,1,1
3352,2,2,5,4,1,1,1
3353,1,1,9,2,1,0,3
3354,1,2,4,6,3,1,1
3355,1,2,3,4,5,0,1
3356,5,2,10,3,1,1,1
3357,7,1,4,0,6,0,1
3358,1,2,7,3,3,0,1
3359,1,2,4,8,1,2,1
3360,1,2,4,2,3,1,1
3361,1,1,5,1,1,1,1
3362,1,1,5,3,4,1,1
3363,1,1,11,2,1,0,2
3364,1,1,3,2,1,0,1
3365,1,1,9,8,4,0,1
3366,2,1,9,0,1,0,3
3367,1,1,6,0,1,0,1
3368,1,1,8,9,1,2,1
3369,6,2,5,7,2,0,1
3370,1,1,5,6,1,0,1
3371,1,2,10,2,1,0,3
3372,1,2,3,2,6,0,2
3373,1,2,4,1,5,2,1
3374,9,1,6,3,3,2,3
3375,9,2,5,3,4,1,1
3376,2,1,7,2,6,0,1
3377,1,2,12,0,1,0,3
3378,1,1,3,1,1,2,3
3379,2,2,3,2,5,1,1
3380,1,1,4,0,5,2,1
3381,2,2,3,1,5,2,1
3382,2,1,10,4,3,2,1
3383,8,2,12,7,2,0,3
3384,7,1,1,4,6,0,1
3385,1,2,2,7,6,0,2
3386,1,2,4,8,1,0,1
3387,6,1,6,0,2,0,1
3388,1,2,9,1,1,0,3
3389,1,1,10,1,6,1,1
3390,9,1,5,1,3,2,3
3391,2,2,5,2,1,2,1
3392,1,2,4,2,1,1,3
3393,2,1,1,6,6,0,3
3394,7,1,1,3,1,1,1
3395,1,1,5,5,1,2,1
3396,1,2,5,7,3,0,1
3397,1,1,8,9,1,0,1
3398,1,2,5,5,2,1,1
3399,1,1,5,9,4,0,1
3400,1,2,12,6,2,1,1
3401,1,1,9,1,1,0,3
3402,9,1,5,3,5,0,2
3403,1,2,1,5,4,0,2
3404,1,2,5,5,2,1,1
3405,1,2,3,1,5,1,1
3406,7,1,2,3,1,1,1
3407,1,2,7,4,6,2,1
3408,1,2,2,3,6,0,3
3409,2,1,10,8,3,1,1
3410,2,2,1,0,6,1,1
3411,1,1,7,1,1,2,1
3412,1,1,5,4,6,0,2
3413,1,1,10,2,1,0,3
3414,9,1,4,2,1,0,2
3415,1,2,6,3,3,1,1
3416,3,1,7,1,1,0,1
3417,9,1,10,6,6,1,1
3418,2,2,4,2,5,2,1
3419,1,1,5,5,6,1,1
3420,2,2,5,2,2,0,2
3421,1,2,6,5,1,1,1
3422,1,2,9,1,1,0,3
3423,1,2,8,4,4,0,3
3424,9,2,11,3,4,0,2
3425,2,1,4,1,4,2,1
3426,1,1,4,1,4,0,3
3427,3,2,6,8,2,1,1
3428,2,1,10,2,4,0,3
3429,9,1,9,2,1,0,3
3430,1,2,9,5,1,1,1
3431,1,2,11,3,1,1,1
3432,2,2,10,6,1,1,1
3433,6,2,4,2,4,2,3
3434,2,2,5,5,5,1,1
3435,1,1,7,3,4,1,1
3436,1,1,10,0,1,0,3
3437,1,2,6,4,1,1,3
3438,1,1,5,6,3,0,2
3439,2,1,11,8,3,0,1
3440,1,2,5,1,4,0,1
3441,9,2,3,7,5,1,1
3442,9,2,1,5,4,0,3
3443,9,2,11,2,1,0,3
3444,4,2,5,2,4,2,1
3445,1,2,7,1,6,1,1
3446,1,2,4,2,4,1,1
3447,1,2,7,1,1,0,2
3448,1,1,9,7,4,0,1
3449,1,1,7,2,3,2,1
3450,1,1,7,5,1,1,1
3451,1,1,8,2,3,1,1
3452,2,1,5,3,3,0,3
3453,1,1,1,5,1,1,1
3454,1,1,7,3,1,0,1
3455,1,2,10,1,1,1,1
3456,1,1,7,5,6,0,2
3457,6,1,7,6,3,2,1
3458,9,2,9,1,1,0,3
3459,1,1,3,8,4,2,1
3460,1,1,1,7,5,0,1
3461,1,1,2,0,6,0,1
3462,1,2,11,1,6,0,3
3463,1,1,1,5,1,1,1
3464,1,1,2,4,1,1,1
3465,1,1,7,5,1,1,1
3466,6,1,4,6,1,2,3
3467,2,1,8,5,6,1,1
3468,9,1,2,2,3,0,3
3469,2,2,4,6,6,0,1
3470,9,1,7,3,5,2,2
3471,1,1,3,4,6,1,1
3472,1,1,8,6,4,2,1
3473,1,2,3,0,1,0,1
3474,8,2,7,2,2,2,1
3475,8,1,5,8,6,0,1
3476,1,1,6,1,1,0,2
3477,1,1,7,1,3,1,2
3478,1,1,7,7,4,1,1
3479,1,1,10,7,1,0,1
3480,1,2,3,8,4,2,1
3481,1,2,12,5,2,2,3
3482,1,1,2,5,6,0,1
3483,9,2,8,4,1,2,1
3484,1,2,9,1,1,0,3
3485,1,1,4,4,6,0,3
3486,1,2,6,8,5,0,3
