,SEX,RAC1P,EDU,PINCP_DECILE,MSP,OWN_RENT,HOUSING_TYPE
3796,2,2,5,5,6,1,1
3797,2,1,5,5,2,1,3
3798,1,2,2,3,2,1,1
3799,2,6,3,2,2,0,1
3800,2,8,4,0,6,2,1
3801,2,9,3,6,2,1,1
3802,1,2,5,4,6,2,1
3803,2,1,8,6,1,1,1
3804,1,8,1,5,6,2,1
3805,2,1,2,4,2,1,1
3806,1,1,9,5,6,2,1
3807,2,1,9,7,1,1,1
3808,2,1,3,4,3,2,1
3809,2,1,8,4,1,1,1
3810,2,1,5,5,1,2,1
3811,1,1,4,5,1,1,1
3812,1,1,7,5,4,2,1
3813,2,1,6,8,1,2,1
3814,1,6,1,4,2,2,1
3815,2,1,4,5,2,2,2
3816,2,8,6,5,6,1,1
3817,1,8,2,6,4,2,1
3818,2,8,7,5,4,1,3
3819,1,8,5,2,6,0,2
3820,1,2,8,4,6,1,2
3821,1,1,5,2,6,2,1
3822,1,1,6,2,1,1,1
3823,1,1,9,5,6,2,1
3824,1,1,3,4,3,0,1
3825,1,1,10,7,5,2,1
3826,2,5,9,5,1,1,1
3827,1,1,4,4,6,2,1
3828,1,1,1,5,2,1,1
3829,1,1,8,3,1,1,1
3830,2,1,11,8,1,2,1
3831,2,4,3,7,1,1,1
3832,1,1,5,1,4,0,2
3833,2,1,4,5,2,1,2
3834,2,1,9,2,1,2,1
3835,1,2,4,4,6,2,2
3836,1,1,5,5,4,0,2
3837,2,1,10,7,1,1,1
3838,2,2,4,8,6,2,1
3839,1,2,5,5,4,2,2
3840,2,6,4,1,1,1,1
3841,2,9,4,4,1,1,1
3842,2,1,3,6,6,1,1
3843,2,2,2,5,6,2,1
3844,1,1,2,2,4,1,3
3845,2,1,7,6,1,1,1
3846,1,9,1,8,4,2,1
3847,2,1,5,5,1,2,1
3848,1,1,5,0,6,0,1
3849,2,1,5,1,1,1,1
3850,2,1,4,4,6,1,1
3851,2,9,10,6,1,1,1
3852,1,1,8,9,2,2,1
3853,1,2,5,6,1,1,1
3854,2,1,5,5,4,1,2
3855,2,1,5,4,5,0,1
3856,1,1,3,3,5,2,1
3857,1,8,4,6,1,2,3
3858,2,9,3,5,3,0,1
3859,1,9,4,4,1,0,1
3860,1,2,8,6,4,1,1
3861,2,1,5,5,4,2,2
3862,1,1,5,8,4,2,1
3863,1,7,7,5,3,1,1
3864,1,1,8,4,1,1,1
3865,2,1,9,1,4,1,2
3866,1,6,2,5,5,1,1
3867,1,7,5,2,2,0,1
3868,2,2,7,2,4,2,3
3869,2,1,7,6,1,2,1
3870,1,1,6,5,5,2,1
3871,2,1,5,2,1,1,1
3872,2,2,12,8,6,1,1
3873,2,2,5,5,6,2,2
3874,1,7,10,0,4,1,1
3875,1,2,6,4,1,2,1
3876,1,9,5,8,4,2,1
3877,2,2,1,5,1,1,1
3878,1,1,8,3,6,0,1
3879,2,1,7,4,4,2,1
3880,2,1,11,7,1,2,1
3881,2,1,3,4,6,2,1
3882,1,1,7,0,6,2,1
3883,1,1,3,6,1,1,1
3884,1,9,5,3,6,0,1
3885,2,2,4,2,4,1,1
3886,1,5,7,0,4,0,3
3887,1,9,5,3,1,2,1
3888,1,1,2,7,1,2,1
3889,2,1,4,0,1,0,1
3890,2,1,5,0,1,1,1
3891,2,1,5,3,1,1,1
3892,1,9,2,2,4,0,2
3893,1,2,5,0,6,2,1
3894,1,1,7,2,1,1,1
3895,2,1,4,4,4,1,1
3896,2,1,3,4,4,1,1
3897,1,1,1,2,1,2,1
3898,2,1,5,5,6,1,1
3899,1,1,5,6,6,2,1
3900,2,1,7,5,6,0,1
3901,1,1,6,0,3,0,1
3902,1,2,6,6,1,1,1
3903,1,1,7,4,1,1,1
3904,1,1,7,2,1,1,1
3905,2,1,6,0,1,2,1
3906,1,1,4,5,4,2,1
3907,1,1,4,1,6,0,3
3908,2,1,1,4,6,1,1
3909,2,1,5,6,1,1,1
3910,2,1,8,6,6,2,1
3911,1,9,2,2,1,0,1
3912,2,9,3,8,1,0,3
3913,1,1,7,3,4,1,1
3914,1,1,9,4,4,2,2
3915,1,1,7,9,2,1,1
3916,1,1,3,3,6,1,1
3917,1,1,5,0,1,1,1
3918,2,1,8,2,4,2,1
3919,2,1,10,5,1,1,1
3920,1,1,3,2,1,2,1
3921,2,1,2,3,6,0,3
3922,2,2,6,4,1,2,1
3923,1,1,5,5,6,0,1
3924,1,1,2,2,6,2,2
3925,2,9,3,5,5,1,1
3926,2,1,3,3,6,1,3
3927,1,1,5,4,3,1,3
3928,1,1,5,5,6,1,1
3929,1,7,2,5,5,0,1
3930,1,2,2,3,1,2,1
3931,2,1,10,6,1,2,1
3932,2,1,5,5,4,2,2
3933,2,2,5,2,1,1,1
3934,1,1,7,5,1,1,1
3935,1,8,9,0,6,2,1
3936,1,1,5,0,6,2,1
3937,1,1,3,7,1,1,1
3938,1,1,4,2,4,1,1
3939,1,1,1,5,3,1,1
3940,2,1,5,0,6,0,1
3941,1,9,5,0,1,2,1
3942,1,9,6,4,2,2,1
3943,2,1,5,3,6,0,1
3944,2,1,5,5,1,2,1
3945,1,1,9,3,5,0,2
3946,1,6,6,5,1,2,1
3947,1,2,5,8,6,2,1
3948,1,1,9,7,6,2,1
3949,2,1,5,6,1,2,1
3950,1,8,7,3,1,2,1
3951,1,7,7,3,3,2,1
3952,2,1,3,0,1,2,1
3953,1,1,3,7,6,2,1
3954,2,1,5,1,1,2,1
3955,2,1,5,4,6,1,3
3956,2,9,3,3,4,1,1
3957,2,2,6,8,3,1,1
3958,2,1,5,8,1,2,1
3959,1,1,8,6,4,1,1
3960,2,1,5,6,1,2,1
3961,2,1,8,3,1,2,1
3962,1,2,6,8,1,1,1
3963,1,6,5,3,4,1,3
3964,1,1,9,2,5,2,1
3965,1,1,5,4,2,1,1
3966,2,1,5,2,6,1,1
3967,2,1,7,5,2,2,3
3968,1,1,2,0,6,1,3
3969,2,6,9,5,2,2,1
3970,1,1,5,4,3,0,1
3971,2,1,7,2,1,2,1
3972,1,7,5,4,3,1,1
3973,2,9,4,2,2,1,1
3974,2,1,5,8,1,2,1
3975,1,9,1,8,6,2,1
3976,1,1,2,4,6,2,1
3977,2,1,1,0,4,2,1
3978,1,1,4,0,6,2,1
3979,2,1,4,4,1,1,1
3980,1,1,5,2,1,1,1
3981,2,2,4,0,1,1,1
3982,1,1,7,4,1,1,1
3983,1,1,5,2,4,2,1
3984,1,1,5,3,6,2,1
3985,1,9,3,2,5,1,2
3986,2,1,1,2,3,0,1
3987,1,1,3,3,4,1,2
3988,2,1,1,3,6,2,1
3989,1,5,1,2,4,0,2
3990,2,6,3,1,1,2,1
3991,1,2,4,3,2,2,2
3992,2,1,2,5,1,2,2
3993,2,1,7,9,1,1,1
3994,2,1,5,2,1,1,2
3995,1,1,4,0,4,1,1
3996,2,9,7,4,1,2,1
3997,1,1,2,2,1,1,2
3998,1,8,4,1,1,2,1
3999,2,1,2,2,4,2,1
4000,2,1,2,8,4,2,1
4001,1,1,5,3,5,2,2
4002,2,2,3,0,1,2,1
4003,1,1,1,5,1,1,2
4004,1,1,3,3,6,2,1
4005,2,1,2,3,2,1,1
4006,2,1,4,2,3,1,3
4007,1,9,1,0,2,0,1
4008,1,1,3,4,6,2,3
4009,1,1,5,2,1,1,1
4010,1,9,9,6,4,2,1
4011,2,9,2,2,6,2,1
4012,1,2,3,2,3,0,3
4013,1,1,6,4,3,2,1
4014,2,2,4,2,1,2,3
4015,1,1,5,6,1,0,1
4016,1,1,9,2,3,2,1
4017,2,1,2,0,1,1,1
4018,2,1,4,6,5,0,3
4019,1,1,4,5,3,1,1
4020,1,1,4,7,4,2,1
4021,1,1,2,5,1,2,1
4022,2,1,5,0,4,2,3
4023,1,1,7,4,5,2,1
4024,2,1,1,3,6,1,1
4025,1,1,7,5,1,2,1
4026,2,2,9,8,1,1,1
4027,2,1,5,5,2,0,3
4028,2,3,4,3,6,0,3
4029,1,5,5,5,2,1,2
4030,1,1,9,1,5,2,1
4031,1,1,9,9,1,2,1
4032,1,1,4,0,3,1,1
4033,1,1,7,1,4,1,1
4034,2,2,8,1,6,2,1
4035,1,1,4,3,4,2,2
4036,1,1,5,5,1,1,1
4037,1,1,5,7,2,2,1
4038,1,1,4,6,3,2,1
4039,1,1,6,7,1,1,1
4040,1,2,3,4,4,2,1
4041,2,6,5,6,4,1,1
4042,2,1,7,5,6,1,1
4043,2,1,5,5,5,2,1
4044,2,1,4,3,5,1,2
4045,2,2,6,1,5,1,1
4046,2,2,8,4,4,1,3
4047,2,1,3,3,2,2,2
4048,1,9,2,1,1,1,3
4049,1,8,5,1,1,1,1
4050,1,1,5,3,4,0,3
4051,2,1,1,3,6,0,1
4052,1,1,5,6,5,2,1
4053,2,5,8,5,2,2,1
4054,1,1,3,5,2,2,1
4055,2,4,1,4,2,2,1
4056,2,1,4,5,4,2,1
4057,2,1,7,6,6,0,1
4058,2,1,5,2,1,0,1
4059,1,9,7,0,1,2,1
4060,2,1,3,3,2,1,1
4061,2,8,6,6,4,1,1
4062,1,2,7,6,1,2,1
4063,1,1,4,8,1,1,1
4064,1,2,5,2,1,2,1
4065,1,9,1,3,1,2,3
4066,1,1,7,6,1,1,1
4067,1,2,3,2,2,2,1
4068,1,1,4,2,1,1,1
4069,2,8,2,0,6,2,2
4070,2,1,4,0,5,1,1
4071,2,4,8,3,1,2,1
4072,2,3,5,6,3,2,2
4073,2,1,6,5,1,1,1
4074,1,1,5,5,5,1,1
4075,1,1,8,4,6,0,1
4076,1,1,3,4,6,1,3
4077,2,1,3,3,1,1,3
4078,2,9,1,5,6,2,3
4079,1,1,4,2,1,1,1
4080,1,1,7,8,4,2,1
4081,2,1,7,5,1,2,1
4082,2,2,6,5,6,1,1
4083,2,1,6,0,1,2,1
4084,1,1,5,5,3,2,3
4085,2,6,5,4,1,1,1
4086,2,1,3,0,4,1,2
4087,1,1,4,2,1,1,1
4088,2,9,10,2,1,2,1
4089,2,2,4,2,3,2,1
4090,1,1,4,4,2,1,2
4091,1,9,10,7,4,2,1
4092,1,1,5,4,1,1,1
4093,2,1,7,7,3,2,1
4094,1,1,3,3,1,0,1
4095,1,1,3,2,1,2,1
4096,1,6,1,1,5,0,1
4097,2,8,5,6,6,2,1
4098,2,1,2,5,6,1,1
4099,2,2,1,3,1,1,1
4100,1,9,4,8,4,0,1
4101,1,9,2,4,5,2,3
4102,1,1,3,1,2,1,3
4103,1,1,5,2,4,2,1
4104,2,1,6,6,4,2,1
4105,1,1,6,3,3,2,1
4106,2,9,3,7,4,1,1
4107,1,1,11,7,1,1,1
4108,2,1,2,4,1,0,1
4109,2,3,4,0,1,2,1
4110,1,1,4,3,6,2,3
4111,2,1,5,4,6,2,1
4112,1,1,10,3,1,2,1
4113,1,1,2,2,6,0,1
4114,1,1,5,8,4,2,1
4115,1,1,5,6,5,2,1
4116,1,9,1,6,6,2,1
4117,2,1,5,0,1,1,3
4118,1,1,6,9,6,2,1
4119,2,1,8,6,6,2,1
4120,1,9,9,5,1,2,1
4121,1,1,6,6,1,1,1
4122,1,1,6,6,4,2,1
4123,2,1,5,0,6,1,1
4124,2,1,7,3,2,2,1
4125,1,1,5,8,2,2,1
4126,2,1,7,2,1,2,3
4127,1,1,3,4,6,0,1
4128,1,6,3,6,6,2,1
4129,1,1,5,3,1,2,1
4130,1,1,3,4,1,2,1
4131,1,1,5,5,2,2,1
4132,1,1,12,2,1,1,1
4133,2,1,8,7,1,2,1
4134,2,1,5,6,1,1,1
4135,2,1,2,3,2,2,3
4136,2,1,1,5,4,1,1
4137,1,1,9,5,6,2,2
4138,2,1,1,6,6,2,1
4139,1,9,4,5,1,1,1
4140,1,9,4,7,4,2,1
4141,1,3,5,8,5,2,1
4142,2,1,5,1,5,2,3
4143,1,1,9,5,2,2,1
4144,1,1,9,4,1,1,1
4145,2,1,5,6,1,2,1
4146,1,1,5,2,4,0,1
4147,2,2,4,1,6,0,1
4148,1,2,3,3,1,2,1
4149,2,1,7,7,4,2,1
4150,1,1,9,4,6,1,1
4151,1,1,4,4,4,1,1
4152,1,1,7,5,1,2,1
4153,2,2,11,7,6,2,1
4154,2,8,11,0,3,1,1
4155,2,9,4,3,5,1,2
4156,2,1,3,2,1,2,1
4157,1,9,5,4,6,0,1
4158,2,1,11,4,6,2,1
4159,1,9,4,5,3,2,1
4160,1,1,4,3,3,2,1
4161,1,1,3,2,1,2,1
4162,2,6,10,9,3,2,1
4163,1,1,4,6,4,0,1
4164,2,1,5,5,1,1,1
4165,1,1,5,2,6,2,1
4166,2,1,2,3,6,1,2
4167,1,1,6,6,5,1,1
4168,1,1,3,2,2,0,2
4169,2,9,7,2,2,2,1
4170,1,1,5,5,3,2,1
4171,2,2,6,3,4,2,1
4172,1,1,1,6,4,2,1
4173,2,1,5,5,6,2,1
4174,1,1,2,2,1,1,3
4175,1,1,3,2,2,1,3
4176,1,1,4,5,4,2,2
4177,2,1,5,8,1,0,1
4178,2,6,7,4,6,2,1
4179,2,6,7,6,1,2,1
4180,2,5,3,1,1,0,1
4181,2,9,7,2,5,2,1
4182,1,1,4,3,3,2,1
4183,1,2,3,0,1,2,1
4184,2,1,9,4,2,1,1
4185,1,9,4,1,6,1,1
4186,2,2,12,4,1,2,1
4187,1,1,9,4,4,1,1
4188,1,1,5,4,1,1,1
4189,1,1,5,4,6,2,1
4190,2,9,7,9,1,1,1
4191,2,2,7,2,1,1,1
4192,2,1,3,2,4,1,2
4193,1,1,3,1,3,1,2
4194,1,9,7,8,3,1,1
4195,2,1,5,3,1,1,1
4196,1,4,4,4,5,2,1
4197,2,1,3,2,1,0,1
4198,1,1,3,5,4,1,3
4199,1,6,3,1,1,2,1
4200,2,2,8,3,1,1,1
4201,2,5,3,6,1,2,1
4202,2,1,4,3,2,1,1
4203,2,6,7,4,4,2,1
4204,2,6,5,6,4,2,1
4205,1,1,5,4,5,2,1
4206,1,2,7,6,6,2,1
4207,2,1,5,1,1,1,1
4208,1,1,5,5,4,2,3
4209,2,1,4,5,4,0,1
4210,1,1,5,4,1,1,1
4211,2,1,5,5,1,1,1
4212,2,1,6,1,4,0,3
4213,2,8,5,3,4,1,1
4214,1,9,11,9,3,2,1
4215,1,1,1,0,1,1,1
4216,2,1,5,3,1,1,1
4217,2,1,4,4,3,1,1
4218,2,8,5,5,5,1,2
4219,1,9,8,7,2,2,1
4220,1,1,5,8,4,2,1
4221,2,9,2,6,4,2,1
4222,2,4,5,3,4,2,1
4223,2,9,3,1,6,2,1
4224,2,1,6,9,6,2,1
4225,2,8,3,3,4,1,2
4226,2,5,4,3,5,2,3
4227,1,1,3,7,4,2,1
4228,2,1,5,1,1,2,1
4229,2,6,3,4,5,2,3
4230,1,1,3,0,5,0,2
4231,1,9,6,1,2,2,1
4232,1,6,9,8,6,2,1
4233,2,9,4,3,1,1,1
4234,1,2,3,0,1,2,3
4235,2,9,6,8,2,2,1
4236,1,6,5,2,1,1,1
4237,1,1,4,0,5,0,1
4238,1,1,5,8,1,1,1
4239,1,9,4,3,6,0,1
4240,1,5,5,2,4,2,1
4241,2,1,10,7,4,1,1
4242,2,1,7,4,1,1,1
4243,1,1,7,6,1,1,1
4244,2,1,3,5,4,2,1
4245,2,9,1,9,6,2,1
4246,2,1,6,3,1,2,1
4247,2,2,5,4,6,0,3
4248,2,9,3,2,2,1,1
4249,2,8,9,2,6,2,3
4250,2,1,4,6,1,1,1
4251,1,1,3,5,2,2,1
4252,1,9,4,3,3,1,3
4253,2,7,5,2,1,2,1
4254,1,2,10,3,6,2,1
4255,1,1,8,4,1,1,1
4256,2,7,9,9,1,1,1
4257,1,1,6,7,6,2,1
4258,2,9,5,5,2,1,1
4259,1,2,12,5,4,2,1
4260,1,1,3,5,2,0,2
4261,2,1,7,3,4,1,1
4262,2,1,5,5,4,1,1
4263,2,2,5,7,6,2,1
4264,2,1,5,4,6,1,3
4265,2,6,1,5,6,2,1
4266,2,1,7,6,4,2,1
4267,1,1,5,5,2,2,1
4268,2,8,3,5,1,2,1
4269,2,7,5,5,5,1,3
4270,1,4,5,3,1,1,1
4271,2,1,1,3,4,2,1
4272,1,1,4,8,6,1,1
4273,1,1,4,6,1,2,1
4274,2,2,11,9,4,2,1
4275,1,9,6,3,1,0,3
4276,1,1,5,5,2,2,2
4277,2,9,9,8,1,1,1
4278,1,1,4,5,1,1,1
4279,2,1,4,5,6,1,1
4280,1,2,5,4,4,0,1
4281,1,6,6,7,6,2,1
4282,1,1,2,4,4,1,1
4283,2,1,8,2,4,2,1
4284,2,1,6,2,6,1,1
4285,1,1,3,4,4,2,1
4286,1,1,9,8,6,1,1
4287,1,1,4,0,6,2,2
4288,1,1,8,3,4,2,1
4289,1,1,3,0,2,1,1
4290,2,9,5,7,2,1,1
4291,1,1,5,4,4,2,3
4292,2,2,4,3,6,2,1
4293,2,1,4,3,1,2,1
4294,1,1,3,5,2,0,1
4295,1,2,9,3,1,2,1
4296,2,6,1,5,1,1,1
4297,1,1,5,0,1,2,1
4298,1,1,10,3,3,2,1
4299,1,1,1,4,4,0,1
4300,2,1,8,7,3,0,3
4301,1,1,5,4,1,2,1
4302,2,1,11,6,3,0,1
4303,1,1,2,2,4,1,1
4304,2,1,2,1,2,1,1
4305,1,6,1,3,1,2,1
4306,2,1,4,1,5,2,1
4307,1,1,8,3,1,2,1
4308,2,1,4,4,6,0,1
4309,2,2,9,3,6,2,1
4310,1,2,11,5,4,2,1
4311,1,9,5,5,2,0,1
4312,2,1,1,3,6,0,3
4313,1,1,3,6,1,1,1
4314,2,6,7,2,6,0,1
4315,2,1,5,7,1,1,1
4316,2,9,2,7,6,2,1
4317,2,1,10,3,2,2,1
4318,1,6,4,6,1,2,1
4319,2,8,1,3,6,2,1
4320,2,1,11,7,4,2,1
4321,1,3,5,4,4,2,1
4322,2,1,5,2,6,0,1
4323,1,1,5,4,4,1,1
4324,1,6,2,4,2,1,1
4325,1,1,1,3,1,1,2
4326,2,8,5,7,6,0,1
4327,1,1,3,7,6,1,1
4328,2,1,3,7,5,1,1
4329,1,1,5,3,3,2,3
4330,1,1,6,3,1,1,1
4331,1,2,5,3,2,0,1
4332,1,1,5,5,2,2,1
4333,1,1,3,3,6,0,1
4334,1,8,4,7,1,1,1
4335,1,1,6,5,4,2,1
4336,1,8,3,9,6,1,1
4337,2,1,5,4,6,2,2
4338,1,2,8,9,6,1,1
4339,1,1,1,3,5,1,3
4340,1,1,4,2,6,1,3
4341,2,1,10,9,4,1,1
4342,2,1,1,3,1,2,1
4343,1,9,2,4,1,2,2
4344,2,1,9,4,1,1,1
4345,1,1,5,4,1,2,3
4346,1,1,3,0,1,1,1
4347,2,8,5,5,4,2,1
4348,1,1,4,2,6,1,1
4349,2,1,5,4,6,1,1
4350,2,2,3,5,6,2,1
4351,1,1,5,1,6,1,1
4352,2,6,5,8,1,1,1
4353,2,1,2,4,4,2,1
4354,1,1,5,8,5,2,1
4355,2,1,4,2,3,0,1
4356,2,2,4,7,6,1,1
4357,2,1,7,4,5,1,1
4358,1,2,7,6,1,2,1
4359,1,1,5,2,6,1,2
4360,2,9,4,1,2,1,1
4361,2,1,3,1,1,1,1
4362,1,1,3,5,1,0,1
4363,1,1,3,0,1,1,1
4364,1,1,6,4,6,2,1
4365,1,1,3,5,3,1,2
4366,2,1,8,1,3,2,1
4367,1,6,3,5,2,2,1
4368,2,1,3,2,3,1,3
4369,1,4,5,7,4,1,1
4370,2,1,5,2,1,2,1
4371,2,1,5,7,1,2,1
4372,1,3,5,4,5,1,1
4373,1,1,4,3,3,1,1
4374,1,1,9,3,1,2,1
4375,1,1,4,3,4,0,1
4376,1,6,1,1,3,2,3
4377,1,1,4,3,5,1,1
4378,2,9,5,1,5,2,1
4379,1,6,7,4,4,2,1
4380,1,6,7,2,1,2,1
4381,1,6,2,3,6,2,3
4382,2,1,4,6,1,2,1
4383,2,1,8,7,6,2,1
4384,1,3,3,3,2,1,1
4385,2,1,8,5,2,2,1
4386,1,6,5,1,1,0,1
4387,1,1,5,4,1,1,1
4388,1,1,6,7,6,2,1
4389,2,1,7,7,1,0,1
4390,2,1,4,5,1,1,1
4391,1,1,3,1,1,2,1
4392,2,6,4,3,1,1,1
4393,2,9,8,9,4,1,1
4394,1,1,6,0,6,2,1
4395,2,1,3,5,5,1,1
4396,2,2,10,7,2,2,1
4397,2,1,4,2,2,1,3
4398,2,8,5,5,1,1,1
4399,1,2,6,4,5,1,1
4400,2,1,8,3,6,1,1
4401,1,9,7,5,6,2,1
4402,1,6,9,6,5,2,1
4403,1,1,2,4,4,2,1
4404,1,1,2,5,4,2,1
4405,2,1,5,4,1,2,1
4406,2,8,5,4,6,2,1
4407,1,2,6,2,6,0,2
4408,1,1,1,4,1,1,1
4409,2,1,9,9,3,1,1
4410,1,3,5,0,1,2,1
4411,2,1,5,3,2,2,3
4412,1,1,8,8,6,2,1
4413,1,1,4,6,4,0,1
4414,2,1,2,5,2,2,2
4415,2,1,5,3,6,1,2
4416,1,9,9,2,4,2,3
4417,2,6,7,7,4,2,1
4418,2,1,11,8,1,2,1
4419,2,1,5,1,6,0,1
4420,2,1,5,1,6,1,2
4421,2,1,9,3,1,1,1
4422,2,2,4,2,2,1,1
4423,2,1,1,4,4,2,1
4424,2,1,5,3,2,0,1
4425,1,8,8,4,2,1,1
4426,2,9,9,3,1,1,1
4427,1,1,5,5,3,2,1
4428,2,1,9,6,6,2,1
4429,2,1,1,4,4,0,3
4430,2,1,7,4,2,2,3
4431,1,1,3,2,1,1,1
4432,1,1,4,8,1,1,1
4433,2,8,2,5,6,2,1
4434,2,5,9,3,6,2,1
4435,1,1,9,8,3,2,1
4436,1,1,5,8,1,2,1
4437,1,1,10,5,1,1,1
4438,2,2,3,5,2,0,2
4439,2,1,4,3,6,2,1
4440,1,4,9,8,3,2,1
4441,2,9,4,2,6,1,1
4442,2,1,4,8,6,2,1
4443,1,1,3,0,6,0,1
4444,1,9,9,4,3,2,1
4445,1,1,5,1,1,1,3
4446,1,9,1,5,1,2,1
4447,1,9,5,3,5,2,1
4448,1,1,2,4,4,1,2
4449,2,1,2,5,2,1,1
4450,1,8,5,1,1,1,1
4451,1,1,4,3,3,2,1
4452,2,1,10,8,1,1,1
4453,1,1,5,5,2,2,1
4454,1,1,2,8,1,2,1
4455,2,2,9,2,3,2,1
4456,2,1,5,0,6,2,1
4457,2,1,10,7,1,2,1
4458,2,2,5,1,4,0,2
4459,2,1,3,2,1,2,1
4460,1,2,3,5,1,1,1
4461,2,6,7,5,1,1,1
4462,1,9,5,5,3,1,3
4463,1,1,3,7,4,2,1
4464,2,6,5,5,4,2,1
4465,2,1,11,9,4,2,1
4466,2,1,7,3,2,0,1
4467,1,1,5,4,3,1,2
4468,1,2,4,5,6,2,1
4469,1,9,9,3,1,2,1
4470,2,1,7,3,1,2,1
4471,1,6,5,7,5,2,1
4472,2,1,2,3,6,0,3
4473,1,1,5,4,4,2,1
4474,2,1,7,4,1,0,1
4475,2,9,2,3,1,1,1
4476,2,1,5,3,1,2,1
4477,2,1,7,7,1,2,1
4478,1,7,9,4,2,2,1
4479,2,1,5,6,6,2,1
4480,1,1,4,3,5,1,1
4481,1,1,5,0,1,1,1
4482,2,3,4,2,5,0,1
4483,2,1,3,3,6,1,1
4484,2,1,6,5,1,2,1
4485,2,1,5,7,2,1,1
4486,1,9,8,5,4,1,1
4487,2,2,1,5,1,0,2
4488,1,1,10,5,1,1,1
4489,2,9,10,8,4,2,1
4490,2,1,5,3,5,2,3
4491,2,1,9,6,5,2,1
4492,2,1,1,5,1,1,1
4493,1,9,1,0,6,2,2
4494,2,9,5,0,4,2,1
4495,2,6,8,6,1,1,1
4496,2,8,9,4,6,2,2
4497,2,1,4,6,5,2,1
4498,2,1,7,5,3,2,3
4499,1,6,2,5,2,1,2
4500,1,1,3,6,2,2,1
4501,1,1,3,6,4,1,1
4502,2,2,5,6,1,1,1
4503,1,1,6,3,1,1,1
4504,1,1,5,7,2,2,1
4505,2,6,5,1,1,2,1
4506,2,1,8,4,3,2,1
4507,2,9,11,6,6,2,1
4508,2,2,10,8,1,2,1
4509,2,1,6,2,1,1,1
4510,2,2,10,4,1,2,1
4511,1,9,5,5,1,1,1
4512,1,1,5,4,1,2,1
4513,2,1,3,1,5,1,1
4514,1,1,4,2,6,2,1
4515,2,1,10,9,1,2,1
4516,1,1,3,9,4,2,1
4517,2,1,8,1,6,2,2
4518,2,2,3,3,5,1,3
4519,2,1,4,0,1,2,3
4520,1,1,6,0,1,1,1
4521,2,1,4,1,1,1,1
4522,1,1,5,3,1,2,1
4523,2,9,3,4,4,1,3
4524,2,9,9,5,4,2,1
4525,2,2,3,8,1,1,1
4526,2,6,8,8,6,2,1
4527,1,1,5,5,3,1,2
4528,1,1,7,1,6,2,1
4529,1,1,4,2,1,2,1
4530,2,9,5,5,4,1,3
4531,2,1,7,7,4,2,1
4532,1,1,5,3,4,1,1
4533,1,1,4,6,1,1,1
4534,2,1,5,2,1,2,1
4535,1,6,5,1,1,1,1
4536,1,6,5,8,1,1,1
4537,1,1,8,6,4,2,1
4538,2,5,2,5,2,2,1
4539,2,1,12,3,5,2,1
4540,2,1,2,3,6,2,1
4541,2,1,10,8,4,2,1
4542,1,1,3,8,1,0,1
4543,2,9,3,8,6,2,1
4544,2,2,5,5,4,2,1
4545,1,2,3,4,4,2,1
4546,1,2,1,5,2,2,3
4547,2,9,5,5,3,1,3
4548,1,1,1,2,6,1,2
4549,1,9,5,5,4,1,3
4550,2,1,11,9,1,1,1
4551,2,1,7,3,1,2,1
4552,1,1,6,1,1,1,3
4553,1,1,4,3,1,1,1
4554,1,1,8,2,4,1,1
4555,2,9,7,7,1,1,1
4556,2,1,5,4,4,0,1
4557,1,1,7,1,1,1,1
4558,2,1,5,6,1,1,1
4559,1,1,5,5,1,1,1
4560,1,1,4,4,2,1,1
4561,2,9,3,3,1,0,3
4562,1,2,1,1,1,0,1
4563,1,1,7,4,3,1,2
4564,1,6,6,1,5,1,1
4565,2,8,3,3,5,1,1
4566,2,9,1,2,5,2,1
4567,2,1,3,4,1,0,1
4568,2,1,2,8,5,2,3
4569,1,6,3,2,4,1,1
4570,1,1,2,5,2,0,2
4571,2,1,3,3,5,2,1
4572,1,2,5,5,3,1,1
4573,2,1,6,4,5,2,1
4574,1,1,4,5,3,1,3
4575,1,1,6,6,2,1,1
4576,1,2,2,7,1,1,1
4577,1,1,5,1,4,1,1
4578,1,1,5,7,4,2,2
4579,2,6,5,4,1,1,1
4580,1,2,4,2,6,2,1
4581,1,9,8,5,4,2,1
4582,2,1,2,1,2,0,2
4583,2,1,4,3,1,0,1
4584,1,9,5,3,1,0,1
4585,1,2,5,2,3,2,3
4586,1,1,3,5,6,2,1
4587,1,1,8,2,3,2,1
4588,1,1,5,4,4,2,1
4589,2,1,3,7,4,1,3
4590,1,1,9,7,2,0,1
4591,2,1,5,3,6,2,1
4592,1,1,6,6,2,2,1
4593,2,9,3,1,1,1,3
4594,2,2,4,1,4,0,1
4595,2,1,5,2,1,2,1
4596,2,1,4,3,4,1,3
4597,2,1,5,2,1,2,1
4598,2,1,1,4,3,1,1
4599,2,1,4,3,4,1,1
4600,2,2,10,3,1,2,1
4601,2,2,8,1,1,2,1
4602,2,1,4,3,6,0,1
4603,2,1,3,1,4,0,2
4604,2,1,2,5,2,1,1
4605,2,2,4,0,2,0,1
4606,1,1,5,5,3,0,3
4607,2,1,2,2,3,2,1
4608,1,4,6,3,3,2,3
4609,1,1,5,8,4,1,1
4610,1,1,3,3,5,1,1
4611,2,1,5,3,1,2,1
4612,1,1,8,9,3,1,1
4613,1,6,3,3,2,1,1
4614,1,2,5,5,4,2,1
4615,1,1,1,5,2,2,2
