AGEP,SEX,MSP,EDU,PINCP,HOUSING_TYPE,DENSITY,OWN_RENT
2,1,1,2,31577,2,3572.1640625,2
4,1,2,5,26740,1,3996.57275390625,0
5,2,0,4,32271,2,879.0286254882812,1
4,2,2,4,39864,1,5259.275390625,1
3,1,4,8,28876,1,7006.0947265625,1
5,1,1,8,14032,1,4874.07861328125,2
4,1,1,0,31807,2,16.0,1
2,2,3,4,20411,2,1179.933837890625,1
2,1,1,2,25846,1,8167.59765625,2
4,1,2,6,17718,1,4871.08984375,2
4,1,3,1,11937,2,628.0533447265625,1
3,1,2,5,16853,1,8250.453125,1
2,1,2,5,44381,1,5428.83740234375,1
1,1,1,5,13642,1,3896.813232421875,0
3,1,0,1,36604,1,2868.702392578125,1
1,2,4,2,22010,1,4125.18359375,0
5,1,1,5,34509,2,16.0,1
5,1,3,4,31905,1,3797.9892578125,2
4,1,0,4,24020,1,4724.9697265625,1
2,1,0,4,23787,1,3842.626220703125,1
3,2,1,3,47943,1,3800.24560546875,2
3,2,0,5,9716,1,1974.645263671875,0
1,1,3,4,20927,2,268.4490966796875,1
4,2,5,5,48000,1,5045.6845703125,1
4,1,3,3,8643,1,6182.86181640625,1
1,2,2,0,16524,2,642.8941040039062,1
0,1,5,3,1863,1,4854.9267578125,2
3,1,3,5,28517,1,2600.06494140625,1
3,2,3,10,17204,2,85.317138671875,0
5,2,2,2,21650,2,3862.834228515625,1
0,1,2,2,37331,1,2334.41552734375,1
3,1,1,1,18913,1,3827.45166015625,0
5,2,2,3,28539,1,6277.0322265625,2
4,2,2,6,24200,2,3879.087158203125,1
5,2,2,1,20136,1,5095.2109375,0
5,2,1,3,35719,1,16.0,2
5,2,1,4,14146,1,5935.5615234375,1
1,2,0,4,-9000,2,770.6134643554688,0
4,2,1,9,24845,1,6262.16455078125,1
5,1,0,4,32115,1,7389.9287109375,1
3,1,1,2,31886,1,4824.68798828125,1
2,2,1,4,20778,1,2334.89794921875,1
3,1,3,1,45347,1,3847.9111328125,2
0,2,1,0,5844,1,6673.37109375,2
0,2,5,1,-2367,1,3247.73974609375,1
4,2,3,4,19981,1,5035.18212890625,1
1,2,1,4,26512,1,5001.9306640625,1
2,2,1,4,19248,1,6121.07666015625,2
5,2,5,3,28155,2,1226.9908447265625,1
4,2,3,3,20667,1,3712.98486328125,0
1,2,3,4,23206,1,6881.5634765625,2
4,1,1,4,31459,1,4175.93701171875,0
5,2,2,3,5892,2,16.0,1
4,2,2,1,25278,2,3239.337158203125,0
3,2,3,2,16893,1,5292.66650390625,2
1,2,3,0,36411,2,1087.694091796875,1
3,1,1,3,21677,1,6515.21484375,1
5,2,2,3,47960,1,6128.65234375,0
4,1,1,3,16956,2,6182.46484375,1
1,2,1,5,37608,1,3986.253662109375,2
4,1,2,3,41539,1,6064.2734375,0
5,2,2,3,22859,2,197.16387939453125,1
2,2,5,5,44250,1,5894.97998046875,2
5,1,1,3,28707,1,6389.99560546875,2
3,1,3,4,25271,1,4984.20751953125,1
2,2,3,3,40818,1,4369.2392578125,0
3,2,1,0,7824,1,5261.9521484375,1
2,1,4,2,4578,1,6599.04638671875,2
2,2,2,10,32460,2,2524.97265625,0
1,1,0,5,33425,1,5681.08740234375,1
5,1,1,6,36184,1,6081.724609375,1
0,2,4,10,21306,1,3656.49365234375,2
1,1,3,3,-3199,2,1029.5489501953125,0
2,1,2,1,18409,1,4900.748046875,1
1,1,5,3,20462,1,4414.89697265625,2
1,2,3,2,36311,1,3173.4208984375,2
2,2,5,2,15861,1,4160.09033203125,0
3,1,4,1,35834,1,7849.25390625,0
4,1,3,3,11991,1,3512.60009765625,1
2,1,2,3,33680,1,8527.783203125,2
3,1,0,3,24801,2,3491.610595703125,1
2,1,1,7,21125,1,3617.240234375,1
1,2,1,3,16321,2,1161.4246826171875,0
1,1,1,4,45040,1,1046.456787109375,0
2,2,1,6,21135,1,8108.2109375,2
3,1,1,1,43999,1,6562.36572265625,2
2,2,1,6,32050,1,5147.60546875,2
2,2,0,3,25194,1,11025.71484375,1
0,2,2,5,21287,1,6338.75537109375,1
1,1,4,4,22202,1,4110.2119140625,1
2,1,2,4,32488,2,16.0,1
1,1,0,4,5477,2,620.6442260742188,2
2,1,2,4,27424,1,1524.763671875,1
5,1,3,2,32418,1,3811.67431640625,1
5,2,3,4,9478,1,6497.24755859375,0
5,2,2,3,38534,1,4821.44580078125,2
3,2,1,3,10296,1,7400.3828125,1
3,2,1,4,28528,1,4018.084716796875,1
2,1,2,3,-9000,1,3703.53369140625,1
5,1,2,0,34880,1,4430.99267578125,1
1,1,3,2,6277,1,8285.1826171875,1
2,2,1,4,1005,1,5665.9658203125,1
0,1,2,9,33224,1,2249.48291015625,2
4,2,4,3,18809,2,25.80377197265625,1
1,1,4,1,10401,1,5548.53857421875,1
2,1,3,3,14045,1,5878.75537109375,1
2,2,4,3,17122,1,218.5615234375,0
5,2,3,5,25810,1,8500.2861328125,0
0,1,1,2,12356,1,8976.3974609375,1
4,1,1,1,5704,1,5583.17138671875,2
5,1,5,5,41944,1,3446.80517578125,1
4,1,2,5,48674,1,3308.460693359375,2
1,1,1,5,24291,2,1936.64599609375,1
1,2,1,2,6933,1,5604.142578125,1
4,2,2,2,26663,1,7821.23876953125,0
3,2,4,2,32801,1,3211.62841796875,2
5,2,3,6,12736,1,6402.26953125,2
2,1,2,3,-6680,1,5265.08203125,2
1,1,3,4,10816,1,5245.7451171875,1
5,1,3,1,27060,1,5710.9736328125,2
1,1,2,5,17838,2,2799.90185546875,1
4,2,1,11,39109,1,5417.33056640625,1
2,2,1,6,14070,1,5577.671875,2
3,1,3,4,15064,1,2971.33984375,2
2,2,0,3,12724,1,5713.19873046875,0
1,2,2,2,25042,1,4063.34521484375,2
2,2,1,3,13822,2,2641.894775390625,1
1,2,5,2,18513,1,4350.0380859375,2
3,1,2,4,20359,1,7209.5361328125,2
4,2,3,6,21338,1,7202.75390625,2
3,1,1,3,14831,1,3583.99560546875,0
3,2,3,5,12632,1,3396.405517578125,1
3,1,2,3,23057,2,1408.15234375,1
3,2,1,3,28854,1,2810.246826171875,2
3,1,0,5,16133,1,5422.25244140625,2
2,2,1,4,11134,1,7272.6455078125,1
5,1,2,4,20335,1,2469.083251953125,0
0,2,1,5,37041,1,3326.458984375,1
2,2,3,7,44337,1,5405.7392578125,1
1,1,2,4,29160,1,8606.880859375,2
2,2,3,0,16988,1,16.0,1
5,2,1,4,-6677,2,5228.31005859375,1
4,1,2,1,35295,1,6856.07080078125,2
5,1,3,2,197,1,4720.52490234375,2
2,2,1,1,23875,1,6180.048828125,2
4,1,1,3,7755,1,5566.9619140625,1
2,2,3,2,-9000,1,8177.90869140625,0
5,2,2,2,24735,1,6550.5634765625,2
4,2,1,4,27172,1,5633.53564453125,1
0,2,0,2,30111,1,4030.87060546875,0
3,2,3,5,17982,1,6253.8076171875,2
5,2,1,3,14892,1,9589.4833984375,1
3,1,3,9,22294,1,7589.259765625,2
5,1,1,3,11583,1,3305.75244140625,1
4,1,1,3,23923,1,6175.78076171875,1
1,1,0,3,23013,2,187.82867431640625,1
5,1,2,4,32537,1,3218.1865234375,1
1,2,1,3,4267,1,5135.994140625,1
2,2,1,3,32762,1,5941.01318359375,1
2,2,4,4,22513,1,2419.55908203125,1
3,2,1,3,30312,2,16.0,2
3,2,4,5,15187,1,4679.7119140625,2
5,1,3,8,27182,1,3895.51318359375,2
5,1,5,4,34449,1,8651.8125,1
3,1,3,5,-9000,2,3420.77001953125,1
2,1,5,5,8460,2,16.0,1
4,1,2,2,39318,1,6301.56396484375,2
4,1,0,2,7674,1,3735.4658203125,1
2,1,2,0,27247,1,3011.5302734375,2
5,2,2,1,13299,2,3138.453857421875,1
5,2,4,3,27503,1,2080.281494140625,0
1,1,3,5,-3620,2,5161.72900390625,2
3,2,2,1,25998,1,5725.33447265625,1
4,2,1,9,10753,1,3007.896484375,2
4,2,5,2,14779,2,855.4180908203125,1
4,1,2,3,23808,2,1952.325927734375,0
3,2,4,3,16758,1,4518.31103515625,2
1,1,1,5,24177,1,6824.29833984375,2
4,2,3,4,16519,1,8077.2431640625,0
3,1,3,3,9563,1,6668.447265625,0
3,2,1,1,36377,1,2945.162353515625,1
2,2,2,5,29588,2,16.0,2
5,2,0,5,-3243,2,2125.0400390625,2
5,1,0,3,9977,1,4424.7099609375,1
3,2,4,2,15440,1,7612.28564453125,2
1,2,4,2,38224,1,5933.68798828125,0
5,2,3,4,24599,1,3280.30126953125,1
3,2,3,3,25646,1,3481.990966796875,1
3,2,2,4,10121,1,6336.75537109375,2
2,2,2,3,24058,1,1372.284423828125,1
2,1,3,1,25197,1,5692.1416015625,2
3,1,1,4,44275,1,7478.26953125,1
1,2,4,6,16821,1,6070.080078125,1
4,2,1,5,34499,1,4160.9365234375,2
2,1,5,3,-9000,1,2781.732666015625,2
0,1,1,2,20114,1,7087.97265625,1
1,2,5,4,12434,1,893.04541015625,1
1,2,0,3,8680,1,2763.80810546875,2
4,1,0,3,4408,1,5038.06201171875,2
1,2,1,2,-4693,2,1389.8983154296875,1
5,2,5,1,39102,1,8868.357421875,1
4,1,2,5,33650,1,5299.369140625,2
2,2,4,1,41464,1,3407.984619140625,2
5,2,4,4,25707,2,16.0,1
4,1,0,3,15164,1,5815.9501953125,0
4,2,2,0,28836,2,3076.11328125,1
5,2,1,2,25665,1,4503.4384765625,0
4,2,1,5,6291,2,2061.09228515625,2
5,1,1,5,29772,2,519.8978271484375,2
2,1,4,0,24991,1,6273.21240234375,2
2,2,5,6,26897,1,6093.61376953125,2
1,1,3,1,2010,1,9159.5576171875,0
2,1,3,4,9165,1,2596.618896484375,0
0,2,3,2,48449,1,6668.47705078125,2
3,1,0,5,44873,2,1277.333251953125,1
1,1,1,8,40547,1,5954.11767578125,0
2,1,1,4,8471,2,2656.0947265625,1
3,1,2,3,9035,1,6547.42041015625,1
3,2,5,11,37319,1,3378.1103515625,1
3,1,4,4,33259,2,4250.7734375,1
2,2,1,3,28587,2,3599.076416015625,0
5,1,2,3,11807,1,2923.455810546875,0
5,2,1,3,13219,2,2475.65673828125,0
4,1,3,2,28953,1,1695.500732421875,0
2,1,4,2,7825,1,5096.384765625,1
2,2,3,3,31395,1,6743.40625,1
5,1,3,3,7983,1,6339.4765625,2
0,1,0,6,13423,1,4033.059326171875,2
5,2,2,4,33499,1,4606.50146484375,1
0,1,1,7,43219,2,873.7272338867188,1
1,2,1,2,3176,1,7251.673828125,1
1,1,1,5,-7934,1,5543.521484375,1
5,2,2,3,23975,1,4479.2880859375,2
2,1,1,5,19148,1,4373.6279296875,2
3,2,5,1,32615,2,4526.9091796875,1
2,2,0,4,15088,2,2863.52783203125,1
2,1,2,3,10768,2,6885.76904296875,2
2,2,2,4,6681,1,3733.95458984375,1
3,1,4,4,46040,1,3017.2978515625,2
1,2,3,4,36711,2,16.0,0
3,2,3,4,15323,1,2178.44287109375,2
1,1,0,1,9808,1,6483.08935546875,1
0,1,3,2,13437,1,7776.89404296875,0
3,2,3,5,31150,1,6292.48046875,2
1,2,3,4,27072,2,2840.59228515625,2
4,1,5,4,-4750,1,3287.5234375,1
3,2,5,4,13306,2,6246.607421875,2
3,2,3,3,-386,2,1087.8646240234375,2
4,2,1,4,26814,1,4448.2431640625,2
4,2,2,9,-926,1,5841.357421875,2
2,2,3,7,10258,1,2622.907470703125,0
3,1,5,9,31592,1,3131.55859375,2
1,1,1,4,11526,1,4288.388671875,2
4,2,4,3,21320,1,5291.712890625,0
0,1,1,2,31210,1,3484.323974609375,2
5,2,3,4,26266,2,2633.25732421875,1
5,2,5,4,1817,1,4015.464111328125,1
2,2,3,2,31802,1,5751.78369140625,2
2,2,2,1,-7087,2,16.0,1
0,2,1,0,21323,1,1979.454345703125,2
4,1,0,4,-6623,1,5112.810546875,2
2,2,2,2,14527,1,6875.12109375,2
4,2,3,8,27523,2,862.23046875,2
4,1,2,4,38458,2,988.31591796875,1
2,1,2,6,33746,2,238.5902099609375,0
0,2,4,4,10634,2,16.0,1
5,2,2,2,22085,2,16.0,2
1,1,3,3,49836,1,4965.765625,0
4,2,0,3,906,1,5083.42138671875,2
1,1,2,3,45141,1,5615.46435546875,0
3,2,1,2,18391,1,1550.046142578125,1
3,1,0,0,5588,1,2992.720703125,1
2,1,4,2,1687,2,777.546875,1
1,2,0,5,3096,1,6630.63232421875,0
3,1,4,2,21003,1,2380.792236328125,0
4,2,2,4,20157,1,4553.017578125,0
1,1,3,1,13956,1,5290.32177734375,2
1,1,4,4,4394,1,5842.1083984375,2
5,2,2,2,-6048,2,3097.252197265625,0
4,1,1,2,34096,1,4323.146484375,1
1,2,2,2,13689,2,3447.046875,1
5,1,2,4,9877,2,619.2330932617188,0
3,1,4,5,4161,1,6040.6298828125,2
3,1,1,2,8316,1,5827.01611328125,1
5,1,3,1,33870,1,4890.8974609375,2
0,1,2,4,33957,2,16.0,2
5,2,5,3,43428,2,16.0,1
5,1,3,2,47636,1,3613.112060546875,2
4,1,1,4,43016,1,4849.373046875,2
2,2,3,8,22962,1,7527.72509765625,2
2,1,0,4,11708,1,4632.28955078125,1
4,1,4,4,15063,2,3131.497802734375,0
4,1,1,6,27564,2,4323.1279296875,2
2,1,1,5,27098,2,2170.466796875,2
3,2,0,6,4696,1,5607.58642578125,2
2,1,4,5,33151,1,6227.7861328125,1
3,2,0,2,23958,1,4625.93701171875,1
2,1,1,4,27634,1,6701.67333984375,1
0,1,5,2,31020,1,1732.4560546875,1
2,2,1,5,34093,1,4388.60302734375,1
3,1,1,4,25802,1,4194.23828125,1
4,2,1,0,18786,1,9210.9736328125,1
1,2,1,6,42277,1,7760.9189453125,1
1,1,3,4,27068,1,4899.42919921875,1
3,1,1,6,6034,2,16.0,0
3,1,3,3,39935,1,4634.24267578125,0
0,2,4,1,17747,2,16.0,2
1,1,2,4,27410,1,4310.8837890625,1
5,2,3,8,26473,1,7068.396484375,2
1,1,4,1,41067,1,5515.58203125,1
2,2,5,2,18172,1,9778.125,2
2,2,5,4,6972,1,6171.0771484375,1
4,1,1,3,35360,1,6380.57958984375,2
1,2,3,5,-1101,1,4350.677734375,2
0,1,5,2,27802,1,3583.873779296875,1
3,2,1,2,29678,2,351.8074951171875,0
1,2,2,1,12192,2,16.0,2
1,2,5,4,5392,1,1922.38671875,2
2,1,1,1,20868,1,2076.927978515625,1
0,1,3,3,18234,2,1909.157470703125,1
3,2,2,4,7684,1,4571.509765625,1
2,2,1,4,5092,2,2153.04931640625,1
3,1,0,3,3111,1,6319.2880859375,1
2,1,0,2,8275,2,16.0,1
1,2,5,4,8433,2,16.0,1
5,2,3,3,31807,1,1932.57958984375,1
4,2,3,2,16022,1,7274.076171875,1
3,2,2,2,-9000,1,3171.7626953125,2
5,1,2,4,14858,1,1485.444091796875,1
4,2,3,6,24935,1,9246.7451171875,1
4,1,5,2,26229,1,5973.41162109375,1
1,2,5,7,21121,2,4461.640625,1
5,1,2,4,23713,1,1366.865234375,2
4,2,2,1,23914,1,5441.2451171875,2
2,2,3,4,47679,1,4430.71435546875,2
1,2,4,4,-9000,1,6128.3134765625,2
4,1,0,4,30177,1,5274.77001953125,0
4,2,5,2,27986,1,4771.080078125,1
3,1,2,6,36966,1,5481.32421875,0
1,2,5,4,-1135,1,8908.5322265625,1
2,1,1,5,18621,2,3350.012939453125,1
0,1,4,0,23856,1,3594.80810546875,1
3,2,1,4,25836,1,4134.337890625,2
4,1,3,0,29010,1,7932.81982421875,2
4,1,5,3,31366,1,4966.1220703125,1
5,1,3,3,8771,1,7247.8349609375,1
4,2,1,1,24524,2,16.0,2
1,1,3,4,18478,1,4387.53515625,1
5,1,3,5,24541,1,5055.33544921875,2
3,1,1,4,34226,1,4725.13525390625,2
5,2,0,0,30034,1,1812.367431640625,1
2,2,3,4,27709,2,1865.472412109375,1
3,2,0,6,29705,1,4754.7626953125,1
4,2,3,6,18589,1,5811.7763671875,2
5,1,2,5,33044,1,3758.41259765625,2
5,2,3,0,14395,1,1886.108642578125,2
2,2,4,4,759,1,5507.60498046875,0
0,1,5,1,42615,1,6482.9765625,2
2,2,1,10,7003,1,6182.6123046875,0
4,1,2,4,-4789,1,6248.51416015625,2
2,1,5,0,3468,1,4900.61767578125,1
0,2,2,3,14032,1,5443.01953125,0
3,2,0,5,28142,1,4392.6318359375,2
0,2,1,9,4052,1,2446.96435546875,1
3,2,5,8,44235,1,5034.453125,2
4,2,3,8,48415,1,1744.50830078125,2
2,2,5,4,35309,2,2805.52197265625,0
5,2,3,3,24758,1,6195.052734375,1
2,1,2,3,26133,1,16.0,1
1,2,1,7,9168,1,6811.2763671875,2
1,2,2,5,15210,1,1430.2490234375,1
1,1,2,1,-6404,1,5698.0732421875,1
3,2,4,5,26419,1,5595.80517578125,0
1,2,0,3,28189,1,4299.6162109375,1
1,2,2,3,7400,1,6961.76171875,0
2,2,1,4,10075,1,6445.34765625,2
4,1,3,2,32179,1,5213.42138671875,1
4,2,3,0,30889,1,5008.470703125,0
1,2,4,4,34500,1,5548.8544921875,0
4,1,1,2,21033,2,16.0,1
5,1,1,6,8252,1,4506.08740234375,2
1,1,3,2,38284,1,8269.8623046875,0
2,1,2,3,9810,1,5832.5888671875,1
5,1,1,5,30421,2,796.6309814453125,1
