AGEP,SEX,MSP,EDU,PINCP,HOUSING_TYPE,OWN_RENT,DENSITY
81,2,3,2,35588,2,0,1432.363037109375
26,1,0,0,17392,1,1,986.80322265625
53,2,1,2,33637,1,1,802.7154541015625
52,1,1,9,64917,1,2,812.9588623046875
12,2,5,3,33701,1,0,866.908447265625
62,2,4,8,60913,2,0,1276.86083984375
78,2,5,9,65787,1,1,935.3587646484375
85,2,4,5,50828,2,0,1570.1492919921875
8,1,3,1,21490,0,1,358.781494140625
74,1,0,4,46417,1,1,964.5061645507812
80,1,4,3,45026,2,0,1918.433349609375
54,1,2,3,40382,2,0,2040.249267578125
79,1,0,0,27198,2,2,1662.398193359375
92,1,4,4,52701,1,0,947.1168212890625
39,1,1,5,42824,1,1,868.96044921875
4,1,2,0,15595,2,0,1890.1630859375
86,1,1,7,60993,2,1,1415.745361328125
60,1,1,2,40630,2,2,1056.27734375
17,1,0,7,49265,2,2,1553.2327880859375
17,2,3,6,46621,2,2,1506.610595703125
11,1,1,1,15359,1,0,685.302490234375
3,2,0,0,12521,1,1,1202.157958984375
19,1,0,0,10022,1,2,975.307861328125
73,2,1,1,34456,2,1,1519.421875
22,2,4,9,65387,1,2,922.2755737304688
62,1,2,6,59321,2,1,1119.0389404296875
14,1,4,4,35477,1,1,934.8172607421875
94,2,5,1,31249,2,0,1731.4178466796875
16,2,1,2,20194,2,2,1098.360595703125
26,1,2,4,40654,1,2,813.1578369140625
47,1,3,5,53304,2,0,1249.8309326171875
64,2,4,9,62224,1,2,835.4224243164062
20,2,0,1,23469,2,2,1475.2789306640625
71,2,4,4,34368,2,2,1416.8785400390625
39,2,3,3,28095,2,0,1199.825439453125
55,2,0,4,34482,2,2,1094.60546875
39,2,2,9,66859,2,2,937.9696655273438
44,1,4,1,35709,2,1,1385.2183837890625
84,2,3,2,45141,2,2,1478.989013671875
60,2,2,5,48348,2,2,1410.646728515625
95,2,1,5,57939,2,1,1667.6461181640625
85,2,4,8,68493,2,1,1504.95849609375
12,1,0,3,28097,0,2,309.03240966796875
1,1,0,0,11795,1,0,595.1712646484375
19,1,4,2,26621,2,0,2056.57080078125
47,2,4,4,37498,2,2,1310.874755859375
38,1,1,4,33361,1,1,1092.236572265625
55,2,4,1,17485,2,0,861.3992919921875
35,1,0,3,31336,1,2,930.4195556640625
58,1,1,9,68934,2,1,2173.902099609375
45,1,5,6,51348,2,2,1345.8963623046875
74,1,0,6,57424,1,1,1132.324462890625
84,2,3,3,48469,2,2,1467.821044921875
11,1,1,1,17453,1,1,967.6533813476562
40,1,3,5,41204,2,0,1514.0157470703125
41,2,5,7,48300,2,1,1826.6552734375
26,1,3,0,18113,2,2,1076.6243896484375
90,2,2,5,46549,1,1,1117.154541015625
35,2,5,1,16628,1,1,1058.3001708984375
46,1,1,8,56877,2,1,1729.7686767578125
84,1,3,1,27830,1,0,929.0751953125
30,2,4,8,52071,1,2,467.12066650390625
63,1,4,1,19644,1,0,491.959716796875
55,2,1,6,43414,2,0,1118.169677734375
66,1,5,1,35533,1,1,876.334716796875
66,1,5,9,65170,1,2,663.3499755859375
58,1,4,3,44751,1,1,951.2526245117188
88,1,4,3,43543,1,1,1205.7193603515625
65,1,2,6,49060,2,1,1114.150634765625
19,2,2,7,45656,2,2,843.2865600585938
44,1,2,8,53556,2,0,1355.7301025390625
31,2,0,8,55156,1,2,914.007080078125
82,2,5,5,52207,2,2,1757.947509765625
81,2,5,1,31643,1,0,970.6618041992188
34,1,0,0,20685,2,0,1244.5159912109375
13,2,3,2,10189,0,1,474.9207458496094
51,1,2,7,49517,2,0,1398.5338134765625
69,2,2,7,52941,1,1,759.6321411132812
30,1,5,9,56387,2,1,1447.4066162109375
34,1,3,4,41513,2,0,1714.843505859375
2,2,1,0,5261,1,1,1027.2081298828125
70,1,4,6,59411,2,1,1133.75244140625
67,1,0,4,40698,1,2,738.3645629882812
53,2,4,1,24954,2,1,1359.6197509765625
41,2,2,3,38458,1,2,759.3033447265625
24,1,1,7,58723,2,2,1131.6912841796875
17,2,2,1,14449,1,2,974.956787109375
60,2,1,7,62119,2,2,1633.35400390625
59,2,5,1,26899,2,0,1222.1063232421875
47,2,3,2,25198,2,1,1572.6610107421875
74,1,5,6,48952,1,0,937.282958984375
85,2,5,3,41826,2,0,1314.44482421875
9,2,2,1,9089,1,1,706.962646484375
36,2,5,0,14790,2,1,1804.1072998046875
3,1,5,0,15496,1,1,931.6832275390625
78,2,4,2,31066,2,0,1306.9310302734375
73,1,5,1,27205,1,1,870.26220703125
6,2,5,1,8527,1,2,1145.7333984375
86,1,5,1,27662,2,1,1517.52197265625
21,2,4,2,29503,1,2,828.4623413085938
48,2,3,7,47895,2,2,1382.375732421875
67,2,1,9,72315,2,2,1414.0694580078125
80,2,5,2,34035,2,1,1468.4537353515625
81,2,5,7,69371,1,1,1440.1348876953125
79,2,4,4,46050,1,2,705.85302734375
54,2,4,8,69158,2,1,1767.404296875
5,1,0,0,11117,1,1,764.2760009765625
85,2,2,9,71796,1,2,994.6648559570312
15,1,2,4,38786,2,1,1329.5809326171875
81,2,1,2,40376,2,2,1420.7489013671875
23,2,5,6,45291,1,1,1026.4942626953125
9,1,2,1,13653,1,2,595.0206909179688
28,2,4,5,37383,1,0,777.4414672851562
2,1,2,0,11990,1,1,1105.5223388671875
70,1,4,2,39886,2,2,1300.314208984375
70,1,3,1,31594,1,2,835.7345581054688
36,2,5,4,37166,2,0,1688.79345703125
82,2,5,0,22935,2,2,1823.6873779296875
93,1,3,1,42117,2,1,1431.43359375
88,2,0,6,54385,2,1,1321.06005859375
10,2,4,1,17718,1,2,904.7277221679688
5,1,0,0,9413,1,1,1175.33447265625
46,1,4,7,52754,2,1,1086.0283203125
94,1,4,0,32732,1,2,996.1927490234375
69,1,3,6,56581,1,1,967.6878662109375
4,2,5,0,9907,1,1,1048.475830078125
3,1,4,0,14311,2,2,1435.247802734375
74,2,3,6,50856,2,0,1633.6737060546875
7,1,1,0,13078,1,0,970.65625
95,1,2,3,40959,2,2,1823.9693603515625
89,1,3,1,32081,1,0,876.0585327148438
87,2,0,1,31769,2,1,1390.989013671875
60,2,0,8,59086,1,2,869.9956665039062
68,1,2,4,41222,2,0,1531.5848388671875
57,1,1,5,49490,1,1,1038.0865478515625
66,2,0,1,36600,2,1,1642.2452392578125
3,2,0,0,12276,1,1,1363.032470703125
34,1,2,6,57018,2,1,1582.456787109375
86,2,4,6,64557,2,1,1192.1876220703125
37,2,0,7,45468,2,2,811.525146484375
83,2,4,9,72338,2,0,1972.8929443359375
63,1,0,3,42254,2,0,2252.023681640625
75,2,0,0,27052,1,2,873.9109497070312
88,1,4,3,39068,2,1,1057.2462158203125
17,2,3,8,53299,1,0,913.3369140625
83,1,0,7,72376,1,1,994.4134521484375
77,1,3,0,21429,1,0,974.2313842773438
55,2,5,8,64779,1,1,1068.89599609375
26,1,1,6,45106,1,1,1063.373291015625
63,2,4,1,26013,2,1,1349.8134765625
47,1,2,9,62536,1,1,916.4447021484375
24,1,2,4,44515,1,0,636.174072265625
8,2,0,0,17487,1,1,702.9033813476562
38,2,5,7,52346,1,2,788.41845703125
33,2,5,8,53872,2,0,1623.0882568359375
32,2,4,4,35624,2,1,1699.178955078125
95,2,1,2,31004,2,2,1561.4322509765625
31,1,5,7,54856,1,1,1126.447998046875
12,2,0,2,21422,0,0,453.72247314453125
74,2,0,6,49338,1,1,1088.391845703125
86,2,0,4,40107,1,1,1152.92919921875
53,1,0,4,37593,1,2,937.3388671875
48,1,5,1,31310,2,2,850.2200317382812
87,1,2,9,73008,2,0,1260.98095703125
64,2,4,3,31943,1,1,1126.2666015625
66,1,1,9,67538,2,2,1686.9696044921875
21,2,5,9,58377,2,0,1406.61669921875
75,2,0,1,35123,2,2,1764.9200439453125
44,1,0,9,59439,2,2,1307.57373046875
28,1,1,9,66805,2,2,1802.163818359375
52,2,5,9,63949,2,0,2161.076416015625
48,1,2,0,16279,1,1,1011.5343627929688
67,1,3,4,51522,2,2,1266.377685546875
3,1,3,0,2861,1,1,1045.4556884765625
36,2,5,6,50800,2,1,1732.62451171875
88,2,0,0,24150,2,1,1259.8193359375
12,2,1,2,23123,1,0,1173.7996826171875
27,1,3,0,14216,2,2,852.8508911132812
22,1,3,4,30655,1,0,800.6876831054688
9,2,1,0,7916,1,1,957.4379272460938
52,2,3,6,47733,1,1,1031.3172607421875
44,2,2,2,34759,1,0,874.1758422851562
53,1,1,2,36801,1,2,832.6460571289062
63,2,2,5,54268,1,2,859.9172973632812
41,2,2,7,53585,2,1,1233.015380859375
17,2,1,8,49998,1,1,762.3695678710938
49,1,2,6,56847,1,1,494.8214111328125
16,2,0,4,30630,1,0,824.4130249023438
19,1,0,4,35675,2,2,1338.730224609375
22,2,5,6,39225,2,1,1875.4180908203125
45,2,4,5,52103,2,2,1929.6220703125
6,2,2,0,23717,1,2,896.9456176757812
58,2,4,7,56151,2,1,1801.83740234375
5,2,2,0,8459,1,2,744.341064453125
82,1,3,9,82118,2,2,2095.2646484375
36,2,0,7,48220,2,2,1612.0286865234375
12,2,0,2,29931,1,0,1064.04150390625
73,1,4,7,66855,2,0,1225.2979736328125
1,2,5,0,4514,1,2,951.760498046875
61,1,1,4,49919,2,0,1897.590087890625
58,2,1,8,59889,1,0,717.0853271484375
32,1,3,7,56002,1,2,856.9124145507812
25,1,0,1,19767,1,2,982.5121459960938
57,1,3,0,19382,2,1,1559.14599609375
21,2,4,0,15181,1,1,915.1593017578125
47,1,5,6,49182,2,1,1692.56103515625
79,2,4,0,27360,2,0,1549.652099609375
43,2,5,1,14107,1,1,1313.302978515625
17,1,0,1,19153,2,1,1626.917724609375
18,2,0,0,15813,1,2,977.019287109375
52,1,0,4,45857,2,2,1309.781005859375
17,2,5,9,50975,1,1,1098.0772705078125
22,1,0,7,48532,1,1,1065.203369140625
31,1,1,8,50904,1,0,996.282958984375
85,2,5,1,32014,1,0,838.9999389648438
72,1,2,1,27349,2,2,1589.205322265625
19,2,4,4,22988,1,1,1062.837890625
7,2,4,1,9748,1,0,992.4600830078125
2,2,3,0,10811,2,1,1890.0477294921875
54,1,4,9,74960,2,1,1896.7122802734375
54,1,3,3,37087,1,1,946.8131713867188
63,1,1,1,25692,2,1,1338.2154541015625
65,2,1,3,40080,2,2,1986.849365234375
80,1,0,3,52311,1,1,793.1527709960938
81,1,3,1,37227,1,2,746.8709716796875
41,2,1,5,43793,1,1,688.8019409179688
4,2,4,0,11896,1,1,1156.92431640625
72,1,3,5,48705,1,1,1016.4072875976562
12,1,0,1,21654,0,0,640.3017578125
49,1,0,7,48596,2,2,1054.32080078125
9,2,4,0,10367,1,0,948.5551147460938
93,1,5,9,69468,1,2,871.4834594726562
23,2,4,0,12631,2,1,1087.2752685546875
43,2,4,7,48712,1,1,1008.6119995117188
28,2,5,0,9757,1,1,951.9317016601562
68,1,5,8,58845,1,1,1231.5433349609375
21,2,3,6,42623,1,1,1083.279052734375
61,2,2,2,29266,1,1,1165.8292236328125
88,1,0,8,72524,2,0,1551.517822265625
80,1,1,6,59097,2,2,1704.2481689453125
91,2,3,7,62248,2,2,1378.12841796875
73,2,3,9,55916,2,1,1645.742431640625
68,1,3,4,45072,2,1,1157.222412109375
12,2,4,3,30602,1,0,913.7099609375
75,2,2,8,63944,1,1,955.7789916992188
16,2,3,8,52192,2,1,1125.767578125
87,1,5,4,39854,2,2,2178.6171875
54,1,0,0,18338,2,2,1560.2745361328125
66,1,4,3,37492,1,1,1241.7767333984375
49,1,3,0,14083,1,1,1093.4705810546875
93,2,2,3,37509,1,1,1269.1490478515625
67,2,1,1,27578,1,1,958.1490478515625
78,2,2,2,37332,2,2,1295.7578125
92,1,5,2,29881,1,1,865.4461059570312
56,1,5,0,21133,2,1,1358.503662109375
72,1,2,2,35716,2,2,1403.887451171875
51,2,4,7,61828,2,1,1534.8243408203125
57,2,2,9,71326,1,0,983.4652709960938
59,1,5,6,54920,2,1,1175.5318603515625
91,2,5,3,39314,1,1,946.2080078125
61,1,5,8,55341,2,1,1371.9075927734375
91,2,1,5,54624,2,1,1429.0545654296875
39,1,2,5,50436,2,0,1385.190185546875
84,2,0,1,31433,1,1,766.43603515625
49,1,0,6,48117,2,1,1024.3148193359375
13,2,0,2,23213,1,1,1198.079345703125
3,2,0,0,11454,2,2,1438.166748046875
35,1,2,4,38616,1,0,690.168701171875
53,1,0,6,53645,1,2,848.76416015625
87,2,5,3,41165,1,1,945.7061767578125
77,1,2,1,29422,2,1,1746.3082275390625
52,1,5,1,30559,2,1,1602.7904052734375
70,2,4,8,70414,2,1,1376.690185546875
56,2,4,5,46777,1,2,922.4342041015625
86,2,5,6,51430,2,1,1128.0537109375
25,1,5,0,14094,1,2,843.2216186523438
10,1,1,1,15445,0,0,432.4379577636719
1,2,4,0,12612,2,0,1339.17822265625
31,2,2,7,45454,1,1,886.5647583007812
92,1,0,9,77289,2,2,1815.697509765625
67,2,2,4,46062,2,0,1966.41796875
38,2,1,2,24284,1,1,1119.00439453125
26,2,1,0,7643,1,0,661.630126953125
61,2,5,3,32241,2,2,1935.09033203125
61,2,1,3,37725,2,2,1745.3892822265625
40,2,0,6,45799,1,1,757.9161987304688
26,2,5,1,21059,2,2,1302.09912109375
73,1,4,1,33167,1,0,622.2437744140625
31,2,5,4,35816,1,1,1245.634765625
75,1,3,3,36636,2,2,1396.9632568359375
48,1,3,3,36315,1,0,783.5508422851562
76,1,2,9,67516,2,2,1059.353271484375
18,1,4,9,55547,2,1,1644.9288330078125
71,2,0,9,72962,2,0,1264.0357666015625
69,2,1,9,67772,1,1,947.2125244140625
21,1,4,2,26675,1,1,998.7708740234375
32,2,2,0,17311,1,0,938.6683959960938
23,2,5,2,19485,1,2,642.4553833007812
59,2,0,3,26423,2,0,1567.3751220703125
40,1,2,9,61519,2,2,1201.7720947265625
18,2,1,0,10912,1,1,1160.992919921875
24,1,5,0,14327,1,1,759.8402099609375
69,1,5,6,58849,2,0,1985.962890625
50,2,1,9,62896,1,1,945.186767578125
34,1,1,2,22599,2,1,1126.917724609375
90,1,3,4,41677,1,1,732.6128540039062
55,2,1,5,49423,1,1,1287.3271484375
94,1,5,3,44103,2,2,2078.650390625
70,1,4,5,47530,1,2,617.790283203125
17,1,0,8,54965,2,1,1558.4261474609375
16,1,5,5,42085,2,0,1287.699462890625
32,1,3,7,53023,1,0,791.2105712890625
91,1,3,1,35046,2,1,1623.40625
57,2,2,3,39128,1,2,727.9970703125
42,1,4,4,36163,1,2,586.932861328125
85,1,0,1,28408,2,0,1733.035400390625
72,1,1,9,68510,2,1,1315.8670654296875
42,2,1,4,48042,1,1,1037.13134765625
78,1,3,0,22803,2,1,2215.738037109375
10,2,0,0,13056,2,1,1559.3621826171875
34,2,4,0,8389,2,1,1246.071044921875
52,1,0,7,50650,2,0,1948.641845703125
76,1,5,4,50212,2,2,1195.7122802734375
12,2,2,0,19171,2,0,828.3380737304688
21,1,0,9,59883,2,1,1122.085693359375
79,2,3,9,65630,1,0,878.658203125
8,2,5,0,11725,2,0,1433.2825927734375
59,2,1,1,27327,1,1,607.6903076171875
62,2,0,0,25561,2,1,1595.5491943359375
40,1,5,6,55116,1,1,1058.51171875
92,1,3,8,68505,1,1,961.08251953125
78,2,5,4,48304,1,2,756.0247192382812
12,1,2,2,16808,1,1,896.0531005859375
79,2,2,2,35140,2,0,1232.5611572265625
24,2,2,8,49237,2,0,1599.0010986328125
11,1,5,1,11356,1,0,847.7691650390625
10,1,1,1,15882,1,1,1169.4697265625
49,1,0,0,24738,2,0,1361.1361083984375
52,1,5,8,57324,2,1,1099.0084228515625
80,1,5,1,34305,1,2,976.9666748046875
62,2,0,3,36798,2,0,1803.9420166015625
22,2,2,7,43795,2,1,1156.914306640625
94,1,3,8,76956,1,1,981.8132934570312
93,2,2,5,56216,2,0,1549.0029296875
83,1,4,2,33049,2,0,1279.2047119140625
10,2,2,1,17955,0,2,564.5404052734375
17,1,1,0,7990,1,2,887.8077392578125
48,2,3,1,30045,1,1,1051.7584228515625
36,2,0,7,53680,1,1,963.30322265625
56,2,4,4,38784,2,1,1364.99365234375
17,2,1,7,47776,1,0,525.7469482421875
80,2,1,1,41296,1,1,956.4327392578125
33,2,0,2,21027,1,0,787.85693359375
61,1,5,0,19813,1,1,1128.539794921875
15,2,4,0,18972,1,1,1161.5333251953125
37,2,0,9,58700,1,0,739.8467407226562
10,2,5,1,13778,2,2,1587.012451171875
46,1,2,9,66805,2,1,1581.5606689453125
40,1,4,4,36230,2,1,1633.0614013671875
24,1,0,5,39871,2,1,1192.8519287109375
51,2,5,5,43357,2,2,1389.95166015625
78,1,3,4,47284,2,2,1468.8934326171875
74,1,3,4,45401,1,0,770.7969970703125
36,1,0,8,53996,2,0,1877.506103515625
90,1,4,7,66492,2,1,1610.1572265625
90,2,3,5,55869,2,2,1353.2684326171875
35,2,0,1,20298,2,1,1616.0452880859375
5,1,0,0,19466,1,2,814.47998046875
43,1,3,4,47068,2,0,1278.96728515625
14,2,2,1,15887,1,2,836.9984130859375
41,1,5,5,42143,1,1,864.387939453125
88,2,0,1,27702,2,1,1577.543701171875
26,1,1,2,28874,1,2,883.5663452148438
85,1,2,3,43747,2,2,1799.897705078125
75,2,0,2,41261,2,0,1612.0189208984375
93,1,3,0,36537,2,1,1638.203369140625
48,2,1,6,40502,2,0,1286.62841796875
53,1,3,0,21274,2,1,1568.2747802734375
28,2,3,5,42483,2,0,1711.7525634765625
13,2,5,4,36650,0,2,445.4775390625
72,2,3,9,75031,2,0,1005.3170166015625
63,1,5,3,36371,2,0,1511.6783447265625
71,1,1,7,60248,1,0,980.2094116210938
81,2,4,3,50167,2,2,2072.35205078125
76,1,0,4,33577,1,1,1298.29150390625
76,2,0,5,45462,1,0,717.3739013671875
48,2,5,8,61162,1,1,1077.6485595703125
88,1,4,3,35568,1,2,926.676513671875
26,2,5,0,15989,1,0,890.1624145507812
47,2,3,6,47600,1,1,1103.189697265625
39,2,0,8,56716,1,2,900.5721435546875
9,1,0,0,11070,1,0,969.6705932617188
27,2,4,3,37626,2,0,1450.9759521484375
33,2,0,0,19730,1,1,1009.7127075195312
8,2,4,0,17999,2,0,1632.400146484375
38,1,1,9,67663,2,1,1434.2076416015625
83,1,1,2,35864,2,0,1526.79248046875
54,2,0,1,14924,2,2,1517.9111328125
