SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE
2,6,1,2,6,12,67,1,N,2
2,1,1,1,4,10,79,1,N,2
1,1,1,1,9,10,66,1,N,2
2,5,2,1,4,N,9,1,N,2
2,3,1,1,2,10,19,1,N,2
1,1,1,2,3,4,10,1,N,2
2,6,6,1,0,3,57,1,N,2
2,4,1,1,N,5,73,1,N,2
1,1,9,2,3,5,12,1,N,2
1,4,1,1,3,3,2,1,N,2
2,4,1,1,8,5,66,1,N,2
2,4,1,1,N,7,39,1,N,2
1,1,1,1,N,10,16,1,N,2
2,3,1,2,7,12,70,1,N,2
2,1,1,1,7,3,57,1,N,2
2,1,1,0,2,10,44,1,N,2
1,1,1,2,9,7,28,1,N,2
2,6,1,1,0,3,33,3,N,2
1,1,1,2,8,5,68,1,N,2
1,6,2,1,0,7,80,1,N,2
1,N,2,1,6,7,71,1,N,2
2,1,1,1,5,2,48,1,N,2
1,6,1,2,4,1,59,1,N,2
2,1,1,1,9,10,35,1,N,2
1,2,2,0,9,10,50,1,N,2
1,1,1,0,9,3,63,1,N,2
1,N,1,1,N,11,52,1,N,2
1,6,1,1,9,9,19,1,N,2
2,N,1,2,7,4,35,1,N,2
2,6,2,0,9,9,18,1,N,2
1,1,2,1,9,12,76,1,N,2
1,6,1,2,6,7,70,1,N,2
1,1,1,1,0,3,67,1,N,2
1,6,1,1,0,7,3,1,N,2
2,6,1,2,8,3,20,1,N,2
1,1,2,0,8,7,5,1,N,2
2,6,1,1,3,5,53,2,N,2
1,4,1,1,9,4,58,1,N,2
1,6,1,2,6,7,19,1,N,2
2,N,1,2,N,1,90,1,N,2
1,1,1,1,9,9,70,1,N,2
2,1,6,1,N,6,1,1,N,2
2,1,1,0,3,9,33,1,N,2
2,N,1,1,0,8,28,1,N,2
2,1,2,1,N,5,40,1,N,2
1,1,5,2,3,10,67,1,N,2
2,N,1,1,9,3,67,1,N,2
2,4,1,1,N,3,43,1,N,2
2,6,1,1,3,1,9,1,N,2
2,1,2,2,9,9,62,3,N,2
2,1,1,0,7,2,57,1,N,2
1,6,1,2,N,9,50,1,N,2
2,N,2,1,7,5,4,1,N,2
2,N,2,1,2,5,57,1,N,2
1,6,1,1,3,7,25,1,N,2
1,3,2,1,3,10,39,1,N,2
1,6,2,1,9,9,51,1,N,2
2,1,1,1,4,3,69,1,N,2
1,1,1,1,0,9,31,3,N,2
1,1,1,1,N,3,63,1,N,2
1,6,3,1,5,1,66,1,N,2
1,1,1,2,9,7,77,1,N,2
2,1,6,1,0,9,87,1,N,2
2,1,1,1,3,5,5,1,N,2
1,6,1,2,9,7,54,1,N,2
2,4,1,2,7,9,27,1,N,2
2,6,1,1,N,4,64,1,N,2
1,1,9,2,9,9,75,1,N,2
2,N,1,1,5,5,59,1,N,2
2,1,1,2,4,3,82,1,N,2
2,1,1,1,4,7,5,1,N,2
1,1,1,1,3,3,22,1,N,2
2,1,1,2,9,9,44,1,N,2
1,6,1,1,N,4,46,1,N,2
2,6,1,1,0,4,49,3,N,2
1,6,2,1,0,7,76,1,N,2
2,1,2,0,5,8,45,1,N,2
2,6,1,2,9,5,21,1,N,2
1,N,1,1,0,9,72,1,N,2
1,3,1,1,N,9,44,1,N,2
1,N,1,2,N,5,53,1,N,2
1,6,2,1,4,10,37,1,N,2
1,1,3,1,N,9,46,1,N,2
1,4,1,1,5,3,30,1,N,2
2,6,8,1,1,7,50,1,N,2
1,6,2,1,8,10,5,1,N,2
1,6,6,1,8,5,23,1,N,2
1,3,1,2,9,7,11,1,N,2
1,6,8,2,1,4,31,1,N,2
1,6,2,1,8,9,42,1,N,2
1,1,1,1,2,3,22,1,N,2
2,6,6,2,1,8,67,1,N,2
2,1,1,1,4,1,50,1,N,2
2,N,1,1,N,5,27,1,N,2
2,6,3,2,1,9,71,1,N,2
2,1,3,2,9,9,39,3,N,2
2,6,2,2,N,2,8,1,N,2
2,1,1,1,0,9,77,1,N,2
2,5,2,2,N,9,50,1,N,2
2,1,1,2,7,10,35,1,N,2
2,3,1,1,1,5,12,1,N,2
2,1,2,1,3,4,5,1,N,2
2,1,1,1,8,5,16,3,N,2
1,1,2,1,0,10,4,1,N,2
1,6,1,1,N,7,28,1,N,2
1,5,1,1,8,9,8,1,N,2
2,6,1,1,1,N,6,1,N,2
1,6,1,1,3,7,57,1,N,2
1,6,6,1,1,5,25,1,N,2
2,6,1,2,3,N,44,1,N,2
1,6,1,1,N,9,19,1,N,2
1,1,2,1,8,5,89,1,N,2
2,6,1,2,8,7,24,2,N,2
2,1,1,1,4,10,26,1,N,2
1,1,1,2,N,8,48,1,N,2
1,6,1,1,N,7,53,1,N,2
2,6,1,1,7,N,59,1,N,2
1,1,1,1,8,2,59,1,N,2
1,6,1,1,2,9,83,1,N,2
2,N,5,2,N,3,38,1,N,2
2,N,1,2,3,3,14,1,N,2
2,N,1,2,9,1,77,1,N,2
1,1,1,1,9,10,39,1,N,2
2,6,6,1,3,8,24,1,N,2
2,3,1,1,0,4,65,1,N,2
2,6,2,1,7,7,13,1,N,2
2,1,1,1,2,12,36,1,N,2
1,6,2,1,4,2,73,2,N,2
1,6,1,1,3,7,11,1,N,2
1,4,2,1,6,5,73,1,N,2
2,6,1,1,7,9,5,1,N,2
1,6,6,2,2,7,15,1,N,2
1,1,1,2,0,3,0,1,N,2
1,6,2,1,0,8,57,1,N,2
1,6,1,1,1,7,51,1,N,2
2,N,3,0,1,12,61,1,N,1
2,6,6,2,7,5,59,1,N,2
2,1,8,2,0,9,39,1,N,2
2,1,2,1,7,9,15,1,N,2
2,6,3,1,1,11,53,1,N,2
1,4,1,1,2,2,69,1,N,2
1,N,1,1,0,3,78,2,N,2
2,4,1,1,0,9,12,1,N,2
2,6,2,0,N,9,35,1,N,2
2,N,1,1,1,1,11,1,N,2
2,6,2,2,N,10,60,1,N,2
1,4,1,1,7,6,15,1,N,2
1,1,1,1,9,10,47,1,N,2
2,N,2,2,9,10,31,1,N,2
1,6,6,2,5,7,41,1,N,2
1,1,2,2,2,9,78,1,N,2
1,1,1,1,7,9,40,1,N,2
2,N,1,1,5,11,22,1,N,2
1,N,2,2,N,10,43,1,N,2
2,6,1,2,9,9,65,3,N,2
2,6,3,2,6,5,47,1,N,2
2,1,1,2,7,7,84,1,N,2
2,1,2,2,9,4,52,2,N,2
1,1,1,1,8,9,56,1,N,2
2,6,1,0,9,5,58,1,N,2
2,1,1,1,0,9,34,1,N,2
2,6,2,1,8,7,13,1,N,2
1,1,1,2,N,5,70,1,N,2
1,1,1,2,9,7,10,1,N,2
2,6,2,1,0,10,43,1,N,2
1,1,1,1,3,3,44,1,N,1
2,1,1,1,N,8,76,1,N,1
2,1,2,1,8,11,38,1,N,2
2,6,6,1,0,10,20,1,N,2
2,1,1,2,4,3,57,1,N,2
2,1,2,1,N,10,27,1,N,2
2,3,6,1,4,11,72,1,N,2
1,6,2,1,N,12,15,1,N,2
2,N,1,2,8,1,1,1,N,2
1,1,3,2,9,4,63,1,N,2
2,6,1,2,6,9,9,3,N,2
1,1,1,1,1,2,33,1,N,2
1,1,1,1,3,9,9,1,N,2
2,N,6,0,5,3,26,1,N,2
1,6,2,0,9,9,38,1,N,2
1,6,1,1,6,5,39,1,N,2
1,6,1,2,9,3,51,1,N,2
1,1,1,1,9,7,36,1,N,2
2,4,1,2,2,2,16,1,N,2
1,6,1,1,0,7,81,1,6,2
1,4,1,1,0,3,63,1,N,2
1,6,2,1,N,10,58,1,N,2
1,6,6,2,9,5,53,1,N,2
1,1,1,0,1,2,35,1,N,2
1,6,1,2,9,3,58,1,N,2
2,6,1,1,2,10,45,1,N,2
2,4,1,1,7,3,56,1,N,2
2,4,1,1,N,5,30,1,N,2
2,1,2,1,1,8,59,3,N,2
1,1,1,2,N,5,32,1,N,2
2,6,2,1,0,10,28,1,N,2
1,1,2,1,N,9,38,1,N,2
1,1,2,1,2,7,25,1,N,2
2,6,1,1,1,7,32,1,N,2
2,6,1,1,8,6,39,1,N,2
2,6,2,2,5,3,49,1,N,2
2,1,1,1,9,6,48,3,N,2
1,6,1,2,N,9,82,1,N,2
1,N,1,1,5,4,15,1,N,2
2,6,1,1,3,3,25,1,N,2
1,6,9,1,7,7,33,1,N,2
1,3,1,1,7,4,45,1,N,2
1,6,2,1,4,9,80,1,N,2
2,5,1,2,6,11,9,1,N,2
2,4,2,1,N,3,49,1,N,2
1,2,9,2,3,4,62,1,N,2
2,6,1,2,4,9,58,1,N,2
1,1,1,1,0,5,16,1,N,2
2,6,5,0,9,7,13,1,N,2
1,3,1,1,7,7,49,1,N,2
2,1,2,2,9,N,69,1,N,2
2,1,1,1,6,N,50,1,N,2
2,4,6,1,3,7,55,2,N,2
2,N,1,1,5,9,53,1,N,2
2,2,3,1,5,7,64,1,N,2
1,4,1,1,3,9,3,1,N,2
2,1,2,2,5,2,69,2,N,2
1,1,1,0,2,7,65,1,N,2
2,6,1,1,2,5,64,1,N,2
2,1,2,2,3,9,16,1,N,2
2,1,1,1,9,4,58,1,N,2
1,1,1,1,6,3,61,1,N,2
2,6,1,2,0,5,31,1,N,2
1,N,2,2,N,12,61,1,N,2
2,4,1,2,4,4,12,1,N,2
2,6,2,1,4,3,29,1,N,2
1,1,1,1,5,11,35,1,N,2
2,N,1,1,N,10,9,1,4,2
1,N,2,2,9,12,18,1,N,2
2,6,2,2,4,7,30,1,N,2
1,6,2,2,7,7,70,1,N,2
2,4,1,1,9,3,21,1,N,2
1,N,2,2,N,9,21,1,N,1
1,6,3,1,9,9,5,1,N,2
1,6,2,1,N,10,43,1,N,2
2,6,1,1,9,10,15,1,N,2
1,N,1,2,0,12,69,1,N,2
2,3,2,1,5,2,80,1,N,2
1,4,2,1,2,9,16,1,N,2
1,N,6,1,N,5,2,1,N,2
2,1,1,1,2,10,10,1,N,2
1,N,1,2,9,N,83,1,N,2
2,6,2,1,9,3,29,1,N,2
2,6,2,2,1,10,9,3,N,2
2,1,1,2,8,N,57,1,N,2
1,1,6,1,N,5,19,1,N,2
1,6,6,2,N,4,13,1,N,2
2,6,1,2,9,7,31,1,N,2
2,1,8,2,0,3,27,1,N,2
1,4,6,2,7,3,56,1,N,2
1,1,1,1,5,1,48,1,N,2
2,6,6,1,1,10,44,1,N,2
1,N,2,1,N,10,72,1,N,2
1,6,2,1,8,7,9,1,N,2
1,6,2,1,9,9,7,1,N,2
1,6,2,1,7,10,54,1,N,2
1,N,1,1,4,5,30,1,N,2
1,1,2,1,N,7,29,1,N,2
1,6,1,1,N,9,54,1,N,2
1,4,2,1,9,8,70,1,5,2
2,3,1,1,3,7,75,1,N,2
2,6,1,1,9,3,59,1,N,2
1,N,1,1,3,10,11,1,N,2
1,6,1,1,4,7,26,1,N,2
2,6,1,2,N,7,18,1,N,2
1,1,1,2,1,10,87,1,N,2
1,6,2,1,1,9,50,1,N,2
2,3,1,2,7,3,66,1,N,2
2,1,2,1,2,6,24,1,N,2
1,6,1,1,0,5,35,1,N,2
2,6,1,1,1,8,44,1,N,2
2,N,9,2,N,5,21,1,N,2
2,1,6,1,1,10,12,1,N,2
1,1,1,2,0,7,19,1,N,2
2,6,1,0,0,10,12,1,N,2
1,N,8,1,7,6,84,1,N,2
1,6,1,2,7,9,19,1,N,2
2,6,1,1,5,3,39,1,N,2
2,2,1,0,1,10,20,1,N,2
1,6,2,1,6,9,72,2,N,2
2,2,9,1,0,7,26,1,N,2
1,6,1,1,2,7,47,1,N,2
1,6,6,1,2,2,58,3,N,2
1,N,6,2,N,N,80,1,N,2
2,6,1,2,0,2,19,1,N,2
2,6,6,2,N,11,0,1,N,2
2,6,2,1,8,9,55,1,N,2
2,6,1,1,5,7,0,1,N,1
1,6,6,1,0,8,28,1,N,2
2,1,1,1,9,3,26,1,N,2
1,6,2,1,6,5,16,2,N,2
2,4,1,1,N,7,50,1,N,2
1,3,1,1,0,10,74,1,N,2
1,6,1,0,5,7,9,1,N,2
1,6,2,2,3,N,44,1,N,2
1,N,1,2,N,10,48,1,N,2
1,6,2,1,5,7,53,1,N,2
1,1,1,2,6,1,32,1,N,2
2,6,1,2,0,10,29,1,N,2
1,6,1,2,2,5,38,1,N,2
1,1,6,1,3,4,58,3,N,2
1,N,3,1,7,5,54,1,N,2
2,N,1,2,6,1,1,1,N,2
1,1,1,1,0,7,50,1,N,2
2,6,9,2,7,7,47,1,N,2
1,6,1,2,2,6,70,1,N,2
1,6,1,1,N,11,74,1,N,2
2,6,1,2,0,2,60,1,N,2
2,6,1,1,0,5,62,1,N,2
1,6,2,1,2,10,39,1,N,2
2,1,2,1,N,10,41,1,N,2
1,N,2,1,8,7,32,1,N,2
1,1,1,0,8,5,6,3,N,2
2,1,3,2,3,10,39,1,N,2
2,6,1,1,9,9,63,1,N,2
2,6,1,1,4,9,23,1,N,2
1,6,1,1,9,10,22,1,N,2
2,6,1,2,0,10,54,1,N,2
2,1,1,1,6,10,95,1,N,2
1,6,1,1,N,9,68,1,N,2
2,5,6,2,N,3,21,1,N,2
2,6,1,2,9,9,72,1,N,2
2,1,2,1,6,4,6,1,N,2
1,4,2,1,N,8,76,1,N,2
2,N,3,1,N,7,39,3,N,2
1,6,2,1,1,9,64,1,N,2
2,6,1,1,5,7,61,1,N,2
2,4,1,2,3,5,49,1,N,2
2,1,9,1,N,5,73,1,N,2
1,6,2,1,2,10,10,1,N,2
2,N,1,1,4,9,72,1,N,2
1,6,6,2,4,9,43,1,N,2
1,6,1,1,2,7,71,1,N,2
2,1,2,2,9,6,84,1,N,2
1,1,9,1,8,5,50,1,N,2
2,1,1,2,N,1,86,1,N,2
2,N,2,1,7,3,47,1,N,2
1,N,1,1,6,9,10,1,N,2
2,1,1,1,8,N,22,1,N,2
2,6,2,1,9,10,35,1,N,2
2,6,2,2,8,9,44,1,4,2
2,1,2,1,8,5,7,1,N,2
1,N,6,0,N,9,56,3,N,2
1,5,1,2,4,1,72,1,N,2
2,1,2,1,N,5,2,1,N,2
2,1,1,2,8,6,47,1,N,2
1,6,1,1,2,7,22,1,N,2
1,1,1,2,6,4,41,1,N,2
1,1,6,2,8,10,0,1,N,1
2,1,1,1,7,4,11,1,N,2
2,6,2,2,6,9,34,1,N,2
1,1,1,1,3,5,30,1,N,2
2,6,1,1,6,10,37,1,N,2
1,6,1,1,9,7,44,1,N,2
2,N,1,1,0,10,30,1,N,2
2,6,1,1,1,6,83,1,N,2
1,N,1,1,7,7,46,1,N,2
2,1,1,1,0,4,29,1,N,2
2,N,1,1,3,11,29,1,N,2
1,1,2,2,8,11,56,1,N,2
1,1,8,1,N,9,17,1,N,2
2,6,2,1,9,4,54,1,N,2
1,2,6,2,0,10,40,1,N,1
2,1,1,2,N,11,19,1,N,2
2,6,2,2,6,5,58,1,N,2
1,1,2,2,N,6,21,1,N,2
1,6,1,2,0,5,9,1,N,2
2,5,1,1,9,7,66,1,N,2
1,1,6,1,8,7,15,1,N,2
2,4,1,1,7,7,85,1,N,2
2,1,1,1,4,4,3,1,N,1
2,6,1,1,9,5,36,1,N,2
1,6,1,2,4,8,14,1,N,2
1,N,1,2,N,3,30,1,N,2
2,4,2,2,8,7,29,1,N,2
1,N,1,2,5,9,49,1,N,2
2,1,2,2,4,3,19,1,N,2
2,1,1,1,0,3,14,1,N,2
2,6,1,1,6,7,85,1,N,2
2,6,3,2,6,3,48,1,N,2
1,6,1,2,4,N,81,1,N,2
1,N,1,1,0,10,35,1,N,2
2,N,6,1,9,9,1,1,N,2
1,1,1,2,9,5,56,1,N,2
1,6,1,0,0,7,57,1,N,2
1,1,1,1,1,3,24,3,N,2
2,4,2,1,3,7,67,1,N,2
1,6,1,2,4,10,39,1,N,2
2,6,1,0,N,9,49,1,N,2
2,6,9,2,N,5,65,1,N,2
2,N,1,2,0,8,8,1,N,2
2,N,2,1,N,10,11,1,N,2
2,6,1,2,0,9,70,1,N,2
2,3,1,1,8,7,76,1,N,2
1,6,1,1,0,9,74,1,N,2
2,N,1,0,8,5,69,3,N,2
2,1,1,1,3,7,94,1,N,2
1,6,8,1,3,9,4,1,N,2
2,6,1,0,8,2,4,1,N,1
1,4,2,1,8,9,57,1,N,2
1,1,2,2,3,12,33,1,N,2
2,6,2,2,N,4,84,1,N,2
1,3,1,2,1,9,48,1,N,2
1,N,1,1,8,5,35,1,5,2
2,N,1,1,5,10,73,1,N,2
2,N,3,1,5,5,41,1,N,2
2,1,1,2,0,12,81,1,N,2
1,6,2,2,N,1,70,1,N,2
2,4,2,2,1,9,1,1,N,2
1,N,1,2,0,10,54,1,N,2
2,4,9,2,8,11,31,1,N,1
1,6,2,2,4,N,18,1,N,2
2,1,1,1,5,N,17,2,N,2
2,1,2,1,1,9,69,1,N,2
2,N,2,2,7,10,30,1,N,2
2,1,2,1,2,N,6,1,N,2
2,N,6,1,2,5,33,1,N,2
2,6,2,1,1,5,81,1,N,2
2,6,8,2,1,10,18,3,N,2
1,3,1,2,0,11,58,1,N,2
1,1,1,2,5,9,16,2,N,2
1,N,2,1,7,5,44,1,N,2
2,1,1,2,9,12,37,1,N,2
1,6,1,2,9,7,9,1,N,2
2,N,1,2,7,4,25,1,N,2
1,6,1,1,N,9,56,1,N,2
1,N,1,2,6,10,48,1,N,2
2,6,1,2,9,10,80,1,N,2
1,5,6,1,N,5,0,1,N,2
2,1,1,2,N,10,27,1,N,2
2,1,3,0,5,11,58,1,N,2
1,4,1,1,5,5,8,1,N,2
1,6,2,2,5,3,48,2,N,2
2,5,2,2,1,1,33,1,N,2
2,6,1,1,N,5,81,1,N,2
1,6,1,2,9,6,36,1,N,2
2,1,6,2,5,1,75,1,N,2
2,N,1,0,9,3,37,1,N,2
2,6,1,1,9,3,54,1,N,2
1,1,1,1,N,7,18,1,N,2
2,4,1,1,0,5,5,1,N,2
2,1,2,2,1,3,81,1,N,2
1,N,1,1,0,9,23,1,N,2
2,1,1,1,9,7,75,1,N,2
2,6,2,2,8,7,67,2,N,2
1,N,2,1,8,3,51,1,N,2
2,N,2,1,9,10,34,1,N,2
1,N,1,2,0,9,69,1,N,2
2,1,2,2,8,3,60,1,N,2
2,6,2,2,1,9,82,1,N,2
1,N,1,1,0,9,75,1,N,2
2,1,5,1,9,7,5,1,N,2
1,1,6,1,1,7,24,1,N,2
2,6,2,2,7,3,62,1,N,2
1,N,1,1,N,3,67,1,N,2
2,1,1,2,4,4,52,1,N,2
2,6,2,1,8,9,16,1,N,2
2,1,6,1,3,7,31,1,N,2
2,1,1,1,5,9,42,1,N,2
2,4,8,1,7,6,28,1,N,2
2,6,1,0,3,9,22,1,N,2
2,1,6,2,0,5,46,1,N,1
2,4,2,1,0,4,15,1,N,2
2,6,1,2,5,N,59,1,N,2
2,1,3,1,8,7,2,1,N,2
2,5,1,1,9,7,49,1,N,2
2,1,1,1,3,7,22,2,N,2
2,6,9,2,5,9,66,1,N,2
2,1,1,1,8,1,45,1,N,2
1,6,1,1,4,12,42,1,N,2
2,1,2,1,N,7,45,1,N,2
1,6,1,2,6,9,37,1,N,2
2,3,2,1,8,7,63,1,N,2
1,1,1,2,1,2,53,1,N,2
2,6,1,1,1,9,39,1,N,2
1,N,9,1,3,3,51,1,N,2
2,N,1,1,N,12,67,1,N,2
1,1,2,2,N,3,17,1,N,2
2,4,2,1,0,9,41,2,N,2
1,N,1,2,0,3,10,1,N,2
1,1,1,1,2,7,24,1,N,2
2,1,1,2,6,9,39,1,N,2
1,6,1,1,N,9,28,1,N,2
2,6,2,2,N,10,29,1,N,2
2,6,6,1,6,4,17,1,N,2
2,N,1,2,3,7,5,1,N,2
2,4,2,1,2,6,64,1,N,2
1,4,1,1,N,9,59,1,N,2
2,6,1,2,4,7,4,1,N,2
1,6,2,1,5,4,11,1,N,2
2,1,3,2,2,5,73,1,N,2
1,N,6,2,8,4,14,1,N,2
1,N,1,0,4,5,66,1,N,2
1,6,2,1,7,7,52,1,N,2
2,4,1,1,8,3,64,1,N,1
2,6,1,1,8,4,56,1,N,2
2,N,1,2,5,10,70,1,N,2
2,6,6,1,7,3,67,1,N,2
2,1,6,1,9,2,5,1,N,2
1,N,1,1,5,10,45,1,N,2
1,1,1,1,9,N,32,1,N,2
2,1,1,1,N,1,55,1,N,2
2,2,1,0,7,9,16,1,N,2
2,N,1,1,6,N,52,1,N,2
1,6,2,2,5,7,52,1,N,2
1,1,1,1,9,5,63,1,N,2
1,4,1,2,N,4,59,1,N,2
2,6,1,2,3,9,32,3,N,2
1,3,2,1,N,2,45,1,N,2
2,1,2,1,8,11,44,1,N,2
2,1,2,1,9,1,51,1,N,2
1,1,2,1,9,5,36,1,N,2
1,1,2,1,7,5,4,1,N,2
1,N,1,1,9,4,94,1,N,2
1,1,1,0,9,7,16,1,N,2
1,N,3,1,9,9,55,1,N,2
1,4,1,1,8,5,55,1,N,2
1,1,1,2,3,10,25,1,N,2
1,1,1,1,9,5,74,1,N,2
2,4,1,1,N,9,11,1,N,1
2,6,2,2,7,5,35,1,N,2
2,1,6,1,3,5,2,3,N,2
2,N,1,2,3,4,53,1,N,2
1,1,1,2,0,6,62,1,N,2
1,6,1,1,0,8,51,1,N,2
2,4,2,1,3,3,27,1,N,2
1,2,1,1,6,3,49,1,N,2
2,6,1,1,7,10,32,1,N,2
2,6,1,2,0,10,46,1,N,2
2,6,2,1,9,7,50,1,N,2
1,1,1,2,8,10,48,1,N,2
1,6,2,0,N,9,54,1,N,2
1,1,1,1,5,11,4,1,N,2
1,2,8,1,0,7,24,1,N,2
1,N,2,2,N,10,52,1,N,2
2,4,2,1,9,9,52,3,N,2
2,6,1,1,2,4,50,1,N,2
1,4,1,1,2,5,1,1,N,2
2,1,6,2,8,7,23,1,N,2
1,2,1,1,3,9,8,1,N,2
1,6,6,1,2,10,2,1,N,2
1,6,1,2,N,7,74,1,N,2
1,1,1,0,4,9,36,1,N,2
2,6,1,1,2,10,75,1,N,2
1,N,2,1,N,12,48,1,N,2
2,6,1,2,8,6,28,1,N,2
1,6,1,1,0,4,57,1,N,2
2,6,2,1,7,5,23,3,N,2
1,1,2,2,4,3,56,1,N,2
1,6,1,2,0,12,20,1,N,2
1,N,2,1,5,9,82,2,N,2
2,1,1,2,N,11,25,1,N,2
1,1,2,1,N,7,45,1,N,2
2,6,2,0,9,7,56,1,N,2
2,4,6,1,8,11,55,1,N,2
2,6,1,1,9,N,42,3,N,2
2,6,9,1,8,12,20,1,N,2
2,4,6,1,9,9,19,1,N,2
2,4,1,1,8,8,41,3,N,2
1,N,6,2,7,3,32,1,N,2
1,6,2,1,5,12,20,1,N,2
1,N,1,2,1,3,66,3,5,2
2,N,1,1,N,11,36,1,N,2
1,N,1,1,N,3,35,1,N,2
2,1,1,1,0,9,57,1,N,2
2,6,1,1,7,9,10,1,N,2
2,4,1,1,0,5,12,1,N,2
1,1,1,2,N,4,49,1,N,2
2,6,1,1,6,10,68,1,N,2
1,6,1,2,9,12,14,1,N,2
2,1,1,0,8,5,72,1,N,2
1,1,1,1,2,5,50,1,N,2
1,1,9,2,3,10,17,1,N,2
1,N,6,2,7,9,35,1,N,2
1,2,2,1,0,4,35,1,N,2
1,1,1,1,8,1,56,1,N,2
1,6,1,1,6,8,53,1,N,2
1,N,6,2,8,9,79,1,N,2
1,1,2,2,3,4,64,1,N,2
1,1,1,1,6,7,12,1,N,2
2,1,6,2,1,5,14,3,N,2
2,6,1,1,0,5,32,3,N,2
1,6,1,1,2,9,33,1,N,2
1,6,1,2,3,5,29,1,N,2
1,N,1,1,9,5,37,1,N,2
2,6,1,0,9,5,19,3,N,2
2,1,1,1,7,1,13,1,N,2
2,1,1,1,0,12,25,1,N,1
1,1,1,1,1,9,59,1,N,2
2,N,1,1,0,4,28,1,N,2
1,1,2,1,0,9,40,1,N,2
2,1,2,1,6,4,62,1,N,2
2,6,6,1,4,5,65,1,N,2
2,1,1,1,7,8,25,1,N,2
2,1,1,2,7,5,21,1,N,2
2,N,2,1,6,5,35,3,N,2
1,6,2,1,N,3,20,1,N,2
2,6,1,1,7,7,56,1,N,2
2,1,2,1,9,8,27,1,N,2
1,2,1,1,N,10,43,1,N,2
2,6,2,1,4,2,45,1,N,2
2,6,2,2,1,8,17,1,N,2
1,6,1,1,4,5,3,1,N,2
1,N,1,1,4,5,6,1,N,2
2,4,1,1,1,7,15,1,N,2
1,1,1,2,9,7,39,1,N,2
1,N,1,1,0,4,62,1,N,2
1,1,1,1,9,8,45,1,6,2
1,3,9,1,2,8,7,1,N,2
2,1,1,0,3,9,18,1,N,2
2,N,1,2,8,9,59,1,N,2
1,1,2,1,3,11,25,1,N,2
2,6,1,1,2,8,63,1,N,2
2,1,9,2,N,3,18,1,N,2
1,4,2,1,0,7,55,3,N,2
2,1,1,1,3,7,59,1,N,2
2,N,1,1,1,9,15,1,N,2
2,3,1,2,7,3,7,1,N,2
2,1,1,1,1,9,77,1,N,2
1,6,2,1,2,9,66,1,N,2
1,1,9,1,6,7,12,1,N,2
2,N,6,1,N,10,77,1,N,2
2,6,1,1,3,5,64,1,N,2
1,1,1,1,3,9,0,1,N,2
1,1,1,1,7,8,70,1,N,2
2,1,1,2,7,7,16,1,N,2
1,6,2,1,8,10,57,1,N,2
2,3,1,1,8,3,80,1,N,2
1,3,1,1,6,7,47,1,N,2
1,6,1,1,2,7,52,1,N,2
2,6,1,1,7,10,41,1,N,2
2,1,6,1,6,10,37,1,N,2
2,6,2,0,9,5,3,1,N,2
1,6,6,2,6,9,94,3,N,2
2,4,3,1,0,10,37,1,N,2
2,1,2,2,0,5,28,1,N,2
2,6,1,2,9,12,27,1,N,2
2,2,1,1,3,10,80,3,N,2
2,6,1,0,N,10,23,1,N,2
2,6,3,2,7,11,46,1,N,2
1,1,2,0,7,7,57,1,N,2
2,1,3,1,4,9,14,1,N,2
2,6,1,2,N,N,54,1,N,2
2,N,6,1,6,7,34,1,N,2
2,4,1,1,9,5,18,1,N,2
1,6,1,1,N,2,80,1,N,1
1,4,2,2,1,6,46,1,N,2
1,6,1,0,3,11,66,1,N,2
1,6,1,1,0,9,13,1,N,2
2,6,1,1,N,5,21,1,N,2
1,1,1,1,5,9,37,1,N,2
1,1,3,1,N,N,93,1,N,2
2,6,1,2,0,9,69,1,N,2
1,6,1,1,5,7,22,1,N,2
1,6,2,0,2,10,4,1,N,2
1,6,1,2,4,10,60,1,N,2
1,2,2,2,3,5,32,1,N,2
2,6,6,1,0,12,65,1,N,2
2,6,1,2,6,10,6,1,N,2
1,1,2,2,3,10,55,1,N,2
1,1,1,1,N,9,72,1,N,2
1,6,6,1,9,8,61,1,N,2
2,6,2,1,3,8,54,1,N,2
1,1,1,1,8,4,84,1,N,2
1,6,9,1,N,10,60,1,N,2
1,6,1,1,0,7,67,1,N,2
2,3,2,1,9,1,12,1,N,2
2,4,1,1,5,9,79,1,N,2
1,1,1,0,3,10,23,1,N,2
1,1,1,0,9,5,61,1,N,2
1,1,2,2,7,2,58,1,N,2
2,6,1,2,1,2,22,1,N,2
1,1,2,1,7,12,54,1,N,2
1,1,2,1,6,8,68,1,N,2
2,6,1,2,7,8,18,1,N,2
1,6,1,2,9,5,89,1,N,2
2,1,1,1,0,4,27,1,N,2
2,4,2,1,6,5,3,1,N,2
2,1,2,1,1,9,52,1,N,2
1,6,2,0,7,3,55,1,N,2
1,6,1,1,N,9,75,1,N,2
1,6,2,1,2,10,6,1,N,2
2,1,1,1,5,10,63,1,N,2
2,6,6,1,4,10,19,1,5,2
2,N,1,1,2,9,49,1,N,2
1,6,8,0,2,N,36,1,N,2
1,1,1,2,6,9,42,1,N,2
2,1,3,2,5,7,41,1,N,2
2,6,1,2,2,10,10,1,N,2
2,1,1,1,1,5,21,1,N,2
1,5,2,2,2,N,11,1,N,2
