,RAC1P,SEX,EDU,MSP,PINCP_DECILE,HOUSING_TYPE,OWN_RENT
2926,2,2,2,2,0,1,1
2927,5,2,5,3,3,3,1
2928,2,2,5,5,1,2,2
2929,1,2,8,4,1,2,1
2930,1,2,4,1,3,2,1
2931,1,2,3,1,4,1,0
2932,1,1,5,6,1,2,0
2933,2,2,9,2,0,2,0
2934,2,2,8,6,0,1,0
2935,1,2,4,1,3,3,1
2936,2,2,2,1,0,1,1
2937,1,1,7,1,1,1,1
2938,5,1,5,1,0,2,0
2939,1,2,7,1,1,1,1
2940,1,2,4,6,5,1,1
2941,2,1,2,6,5,1,0
2942,1,1,3,6,2,3,1
2943,1,1,7,6,1,1,0
2944,7,1,6,2,3,1,1
2945,1,1,7,6,3,1,0
2946,1,2,2,4,1,3,0
2947,1,1,3,2,3,2,0
2948,1,2,6,4,2,1,1
2949,1,1,7,6,2,1,0
2950,8,1,6,1,4,1,2
2951,1,2,6,5,1,1,2
2952,2,2,3,1,0,3,0
2953,1,2,3,3,1,2,2
2954,1,2,6,3,2,3,1
2955,6,1,3,6,3,1,0
2956,1,2,12,1,5,1,1
2957,8,2,9,1,0,1,1
2958,1,1,9,2,5,2,2
2959,7,2,2,3,0,2,1
2960,5,1,11,1,2,1,2
2961,3,1,6,1,2,1,1
2962,1,1,6,3,2,1,1
2963,1,2,7,6,8,3,1
2964,7,2,4,3,1,3,0
2965,1,2,5,1,2,1,1
2966,1,1,6,1,1,1,2
2967,1,1,4,1,0,1,0
2968,5,2,5,6,2,1,0
2969,1,1,5,1,4,3,1
2970,1,2,5,6,2,3,1
2971,5,2,2,6,9,3,1
2972,1,2,7,2,1,1,1
2973,1,1,6,4,0,3,2
2974,8,2,6,1,2,1,2
2975,1,2,3,1,7,2,0
2976,1,1,11,1,4,1,1
2977,8,2,8,1,0,1,2
2978,3,1,3,6,2,2,0
2979,2,1,9,2,4,1,2
2980,2,1,6,3,3,1,1
2981,1,2,6,1,2,1,1
2982,1,1,4,3,0,2,0
2983,1,1,8,1,3,1,2
2984,2,1,3,6,5,1,1
2985,1,1,5,1,2,1,1
2986,1,2,9,1,2,1,2
2987,1,1,7,4,1,2,0
2988,1,2,4,3,2,1,0
2989,1,1,3,4,1,3,1
2990,7,1,4,3,1,1,0
2991,2,1,3,4,3,2,0
2992,7,1,6,1,3,3,2
2993,1,1,4,1,5,1,0
2994,1,1,6,1,0,1,1
2995,1,1,5,5,2,2,1
2996,1,2,7,6,5,3,1
2997,2,2,10,4,1,2,0
2998,7,1,7,4,4,1,1
2999,2,2,8,6,1,1,0
3000,6,1,1,4,0,2,1
3001,1,1,5,2,1,2,1
3002,2,2,9,1,1,1,1
3003,2,2,9,1,3,1,2
3004,1,1,9,2,4,2,0
3005,1,1,7,6,3,1,0
3006,1,2,6,4,3,2,0
3007,2,2,5,1,3,1,1
3008,4,2,5,2,2,1,1
3009,1,1,6,5,3,2,0
3010,2,1,3,6,3,1,0
3011,1,2,7,3,3,1,1
3012,2,1,5,6,0,3,1
3013,1,2,7,1,4,3,0
3014,2,2,6,2,3,1,1
3015,1,2,3,2,6,3,0
3016,1,1,4,1,0,2,1
3017,1,1,5,4,3,1,1
3018,2,2,2,6,1,3,1
3019,1,2,3,1,1,2,0
3020,1,1,6,1,2,3,1
3021,2,1,9,1,1,1,2
3022,1,2,9,2,7,3,0
3023,1,1,7,4,2,2,0
3024,8,2,3,1,1,2,1
3025,7,2,2,6,1,1,0
3026,2,2,12,4,2,2,1
3027,2,2,6,3,4,2,0
3028,7,2,6,4,2,1,2
3029,1,2,7,1,3,3,1
3030,6,2,5,6,2,3,1
3031,1,2,3,3,3,3,1
3032,1,2,4,4,1,2,1
3033,7,2,1,6,5,3,1
3034,7,2,8,1,2,3,2
3035,1,1,3,1,5,2,0
3036,2,2,5,2,0,1,1
3037,2,2,7,3,2,2,1
3038,1,2,6,5,2,3,0
3039,1,2,7,1,3,1,1
3040,1,2,2,1,5,2,1
3041,1,1,4,1,4,3,0
3042,1,1,5,5,1,1,1
3043,8,2,1,2,1,2,1
3044,1,2,7,5,2,2,2
3045,1,2,10,1,3,1,1
3046,2,2,7,6,5,1,1
3047,2,2,7,3,2,1,1
3048,1,1,2,3,5,2,0
3049,6,1,6,1,2,1,1
3050,5,1,7,4,2,3,1
3051,1,1,2,1,2,1,0
3052,2,1,6,6,1,1,1
3053,1,2,6,1,2,1,2
3054,1,2,3,1,4,3,0
3055,4,2,7,1,4,1,1
3056,1,2,6,1,2,1,1
3057,2,1,4,2,2,1,1
3058,1,1,5,1,1,2,1
3059,7,2,7,3,5,2,1
3060,4,2,7,6,1,3,1
3061,1,2,8,2,3,2,0
3062,1,1,7,6,2,1,0
3063,8,2,5,6,1,1,1
3064,1,2,7,3,3,3,1
3065,1,1,7,3,3,3,1
3066,1,2,5,1,0,1,1
3067,1,1,5,6,5,3,1
3068,1,2,9,1,1,2,0
3069,1,1,6,1,5,3,1
3070,1,1,5,6,4,3,1
3071,1,1,2,2,4,3,1
3072,6,1,10,1,1,2,0
3073,1,1,4,3,2,2,1
3074,3,1,3,6,4,1,0
3075,1,2,8,1,2,1,2
3076,1,2,3,1,5,1,0
3077,6,1,8,1,4,1,1
3078,4,2,5,6,3,1,1
3079,2,1,4,4,2,1,1
3080,1,1,5,2,4,2,0
3081,1,2,7,1,2,1,2
3082,3,2,3,2,0,1,0
3083,6,2,7,5,1,1,1
3084,9,2,4,6,0,1,1
3085,1,1,2,3,0,2,0
3086,1,2,4,1,2,2,0
3087,4,1,1,6,1,1,0
3088,1,2,6,5,3,1,1
3089,1,1,5,3,0,2,1
3090,1,1,6,1,1,1,2
3091,2,2,6,1,4,1,2
3092,1,2,7,5,2,2,1
3093,1,1,6,3,1,2,0
3094,7,2,11,6,6,1,0
3095,1,2,6,1,1,1,1
3096,2,2,8,6,1,1,1
3097,1,1,5,1,1,2,0
3098,1,2,8,1,2,1,1
3099,7,1,4,1,3,1,1
3100,1,1,5,6,5,1,0
3101,6,1,6,3,3,1,1
3102,5,2,10,6,8,3,1
3103,7,1,8,6,6,1,0
3104,8,1,3,3,1,1,0
3105,1,2,3,1,3,2,1
3106,1,1,6,4,2,1,1
3107,1,2,6,4,3,3,1
3108,1,2,7,5,1,1,1
3109,1,1,4,2,0,1,2
3110,1,1,6,1,3,1,1
3111,1,2,4,1,3,3,1
3112,7,1,8,6,1,3,1
3113,1,1,6,1,5,1,1
3114,4,2,3,4,2,3,1
3115,1,2,5,2,2,2,0
3116,1,2,3,2,0,3,0
3117,2,2,8,6,5,1,0
3118,3,2,11,6,5,1,0
3119,3,1,2,6,3,1,1
3120,1,2,8,6,1,1,0
3121,5,2,6,4,1,1,2
3122,1,2,7,1,2,1,2
3123,1,1,7,1,2,1,1
3124,1,2,2,2,0,1,2
3125,1,2,4,1,2,1,0
3126,1,2,3,1,5,1,0
3127,1,2,3,5,0,1,1
3128,1,2,2,5,0,2,1
3129,1,1,2,1,1,2,0
3130,1,2,5,5,3,1,1
3131,6,1,6,3,2,1,1
3132,7,2,10,5,0,2,1
3133,8,1,4,2,2,2,0
3134,2,1,7,6,2,1,0
3135,1,1,7,3,6,3,1
3136,2,2,6,1,3,1,1
3137,1,2,3,2,1,3,1
3138,1,1,7,6,2,1,0
3139,1,2,6,4,2,1,1
3140,2,1,3,6,1,2,0
3141,4,2,5,5,0,3,1
3142,1,1,7,5,3,1,1
3143,7,2,5,6,5,3,1
3144,9,2,6,6,2,1,0
3145,1,2,6,1,3,2,0
3146,1,2,6,3,1,1,1
3147,1,1,7,1,0,3,2
3148,4,1,6,1,2,2,0
3149,7,1,5,3,3,1,1
3150,5,1,3,6,0,1,1
3151,1,2,3,1,2,3,0
3152,2,1,10,2,1,2,0
3153,1,1,3,6,3,1,0
3154,1,2,5,3,1,1,1
3155,2,1,6,1,3,1,1
3156,1,2,4,5,0,1,1
3157,1,1,9,4,1,3,0
3158,6,1,3,4,4,3,1
3159,1,1,3,2,5,2,1
3160,4,1,3,6,1,1,1
3161,1,2,5,1,3,3,1
3162,1,1,9,1,5,3,1
3163,6,1,5,3,1,3,0
3164,1,2,12,1,1,1,2
3165,1,1,7,5,3,1,1
3166,1,2,7,3,1,3,1
3167,1,1,3,4,2,1,0
3168,1,2,12,5,5,1,1
3169,1,1,3,1,1,3,0
3170,1,1,6,2,5,2,0
3171,2,1,2,1,1,2,1
3172,1,1,9,1,2,1,2
3173,1,1,4,2,1,1,0
3174,7,2,7,5,1,2,0
3175,8,1,7,6,5,1,0
3176,7,1,7,1,1,2,1
3177,7,1,9,6,5,1,0
3178,1,2,9,1,4,3,0
3179,5,2,7,6,1,2,0
3180,1,2,3,5,0,1,0
3181,1,2,6,3,1,2,1
3182,4,1,6,3,3,1,1
3183,1,1,7,6,2,1,1
3184,2,2,2,1,4,1,0
3185,1,1,4,5,2,1,0
3186,1,1,6,3,2,1,1
3187,1,2,3,1,1,2,1
3188,1,2,4,2,2,2,1
3189,1,1,1,6,0,1,0
3190,1,2,6,1,3,1,1
3191,2,1,7,6,4,1,1
3192,1,2,3,1,5,1,0
3193,1,2,3,2,1,2,1
3194,1,2,3,6,0,2,1
3195,7,2,6,1,3,2,2
3196,2,2,3,4,1,3,0
3197,1,1,7,5,3,2,1
3198,7,1,3,3,2,3,1
3199,1,2,3,1,8,3,1
3200,1,2,3,3,1,2,2
3201,1,1,8,6,2,1,0
3202,1,1,9,4,2,3,0
3203,1,2,5,5,3,2,0
3204,1,1,5,1,2,1,1
3205,1,2,7,5,2,1,1
3206,1,2,7,3,4,1,1
3207,1,1,3,5,1,3,2
3208,1,2,4,1,1,3,1
3209,1,1,3,2,1,2,0
3210,1,2,7,2,0,2,2
3211,5,1,1,5,0,2,1
3212,1,2,7,1,2,1,2
3213,1,1,3,1,4,2,0
3214,1,2,3,1,2,1,0
3215,2,2,4,6,4,1,0
3216,1,2,7,5,3,1,1
3217,4,2,5,6,4,1,0
3218,2,1,7,1,3,3,1
3219,1,2,2,6,6,1,1
3220,1,1,3,2,1,2,1
3221,6,1,5,2,4,3,0
3222,1,2,4,5,2,1,0
3223,1,1,6,4,1,3,1
3224,3,2,1,6,4,1,0
3225,2,1,6,1,3,1,1
3226,2,2,3,6,0,1,0
3227,1,1,4,2,4,3,1
3228,1,2,6,1,5,1,1
3229,1,1,7,1,4,1,1
3230,1,1,7,2,2,1,1
3231,1,2,7,5,3,1,2
3232,1,2,5,2,0,3,0
3233,6,1,7,1,5,3,0
3234,1,2,3,1,5,3,1
3235,5,1,1,6,6,1,0
3236,1,2,3,1,1,3,0
3237,1,1,2,1,5,1,0
3238,1,1,6,1,0,1,2
3239,1,1,2,1,4,2,1
3240,1,2,7,6,7,3,1
3241,2,1,5,6,1,3,1
3242,6,2,5,4,0,2,1
3243,8,2,5,1,7,1,1
3244,2,2,4,2,2,3,1
3245,1,1,7,5,3,3,1
3246,1,2,2,4,2,3,1
3247,7,2,7,4,3,1,1
3248,1,1,5,2,0,2,0
3249,4,2,6,3,2,2,0
3250,4,2,5,3,1,2,1
3251,1,2,8,1,7,1,1
3252,1,1,3,1,1,3,0
3253,2,2,3,6,2,1,0
3254,1,1,3,1,0,1,0
3255,2,2,7,5,4,1,1
3256,3,2,6,6,4,1,0
3257,8,1,12,1,3,3,2
3258,1,2,12,1,1,1,1
3259,2,2,2,2,1,3,0
3260,1,2,5,3,1,1,2
3261,8,2,2,6,3,1,1
3262,1,2,3,1,3,2,0
3263,6,2,7,1,0,2,0
3264,1,2,9,1,1,1,1
3265,3,1,6,3,3,2,1
3266,6,1,5,2,1,1,1
3267,1,2,6,1,2,1,2
3268,2,2,4,2,1,2,2
3269,2,2,4,4,3,1,0
3270,7,2,7,6,2,3,1
3271,8,1,7,1,2,1,1
3272,4,1,4,6,4,1,1
3273,1,2,2,3,4,1,0
3274,7,2,7,4,6,3,0
3275,1,2,6,1,3,3,1
3276,1,2,8,4,6,3,1
3277,1,2,4,2,3,3,1
3278,1,1,6,4,1,3,2
3279,5,1,1,2,3,3,1
3280,2,2,6,1,2,1,2
3281,1,2,4,2,1,1,1
3282,5,2,11,6,9,1,1
3283,1,1,3,3,3,2,1
3284,2,1,2,2,2,1,0
3285,1,2,4,6,3,3,1
3286,1,1,5,6,1,1,1
3287,1,2,7,6,1,1,1
3288,1,2,4,1,4,1,1
3289,2,2,3,1,1,2,0
3290,7,2,4,6,4,1,1
3291,1,1,2,2,0,2,2
3292,1,1,5,6,5,1,0
3293,4,1,2,1,3,1,0
3294,1,1,5,5,3,2,1
3295,1,1,6,2,5,2,0
3296,1,2,7,5,1,1,1
3297,1,2,9,4,1,3,1
3298,1,1,7,6,2,1,0
3299,7,2,6,6,7,1,1
3300,1,1,7,5,2,2,0
3301,8,2,6,1,2,1,1
3302,1,2,7,3,2,2,0
3303,1,1,5,1,2,1,1
3304,1,1,5,1,2,2,1
3305,5,1,6,6,3,3,1
3306,4,2,7,6,0,1,1
3307,7,2,7,1,2,1,1
3308,7,1,2,3,2,2,1
3309,8,2,2,1,2,3,1
3310,7,1,6,6,5,1,0
3311,1,2,6,1,2,1,1
3312,1,2,5,3,1,1,2
3313,1,2,4,3,7,1,1
3314,4,1,2,4,1,3,0
3315,1,2,3,2,4,1,0
3316,4,1,5,2,2,1,1
3317,2,1,1,4,2,3,1
3318,1,2,6,1,1,1,1
3319,6,2,6,4,1,2,0
3320,1,1,7,5,1,1,1
3321,2,2,7,1,1,3,0
3322,1,1,4,2,3,1,0
3323,1,1,12,1,4,1,1
3324,6,2,7,6,3,1,0
3325,1,2,5,1,2,2,1
3326,2,2,6,1,1,1,2
3327,1,1,5,1,3,1,1
3328,2,1,6,4,5,3,1
3329,1,1,6,1,1,1,1
3330,5,1,6,5,2,1,1
3331,1,1,3,6,4,3,1
3332,7,1,5,1,2,1,1
3333,1,1,3,5,2,2,1
3334,8,1,5,1,2,3,1
3335,1,2,5,2,4,3,2
3336,8,1,4,1,2,3,1
3337,1,1,6,5,3,3,0
3338,1,1,2,2,0,1,0
3339,1,2,5,1,2,1,1
3340,1,2,7,2,2,1,1
3341,1,1,9,6,9,1,0
3342,5,1,6,1,2,3,2
3343,4,1,6,4,3,1,1
3344,1,2,8,1,1,1,1
3345,5,1,3,2,2,3,0
3346,5,1,3,5,1,2,0
3347,5,1,11,6,5,1,1
3348,2,1,7,6,4,1,0
3349,1,1,6,5,2,2,0
3350,1,2,6,5,2,3,1
3351,1,2,3,2,3,1,0
3352,1,1,5,3,3,1,1
3353,2,2,8,6,3,3,1
3354,6,2,5,3,0,1,1
3355,2,2,8,6,1,1,0
3356,2,2,4,1,2,3,1
3357,6,1,3,2,0,1,2
3358,2,1,5,6,2,1,0
3359,1,1,8,1,2,1,2
3360,1,2,5,3,1,1,1
3361,1,2,3,2,0,1,0
3362,1,1,6,1,2,1,1
3363,3,2,11,6,9,1,0
3364,1,1,4,3,1,3,0
3365,1,1,3,1,1,1,1
3366,2,1,6,1,1,1,2
3367,1,2,4,3,0,3,1
3368,8,2,1,6,2,2,1
3369,1,2,5,1,1,3,1
3370,2,2,8,6,3,1,1
3371,5,2,11,6,8,3,1
3372,1,1,5,6,2,3,1
3373,3,2,7,1,1,3,1
3374,1,1,4,5,2,3,1
3375,1,2,6,1,2,1,2
3376,9,2,1,6,3,1,0
3377,1,1,6,1,2,1,2
3378,1,2,2,3,0,2,1
3379,2,1,3,6,0,1,1
3380,1,1,5,1,3,1,1
3381,1,1,7,2,0,2,0
3382,1,1,4,2,3,2,1
3383,1,2,7,4,3,1,1
3384,1,2,6,1,2,1,1
3385,2,1,7,6,3,1,0
3386,1,1,6,1,3,1,1
3387,7,2,6,1,1,1,2
3388,1,1,3,2,2,1,0
3389,1,1,6,1,5,3,0
3390,6,2,6,1,5,1,1
3391,8,1,3,4,0,1,1
3392,1,2,4,2,0,1,0
3393,2,1,2,2,6,1,0
3394,2,1,5,1,6,3,1
3395,1,1,3,6,0,1,0
3396,7,1,3,1,6,1,0
3397,1,2,4,2,1,3,1
3398,1,2,8,4,3,3,1
3399,2,2,3,2,0,2,2
3400,1,1,5,1,0,3,1
3401,1,2,4,2,1,2,2
3402,3,1,5,1,0,3,0
3403,1,1,6,1,1,1,1
3404,4,2,6,1,4,1,1
3405,2,1,7,1,3,1,1
3406,1,1,8,1,2,1,2
3407,9,1,6,6,4,3,1
3408,1,2,7,5,2,1,1
3409,1,2,7,1,2,3,0
3410,6,1,6,1,1,3,1
3411,1,1,5,1,3,2,0
3412,2,2,7,6,4,3,1
3413,1,2,6,4,1,2,1
3414,1,2,3,1,2,2,0
3415,1,1,7,5,1,1,1
3416,6,1,4,6,2,1,0
3417,8,1,3,2,0,2,1
3418,1,1,1,4,0,3,1
3419,1,2,4,4,1,1,1
3420,1,1,3,1,2,3,0
3421,1,1,7,6,0,1,1
3422,1,1,3,2,5,2,0
3423,1,1,5,1,2,1,1
3424,7,2,5,4,3,1,1
3425,7,2,7,4,2,1,1
3426,1,2,5,4,1,1,1
3427,1,1,3,4,2,2,0
3428,4,1,7,3,1,1,1
3429,1,2,2,6,4,3,1
3430,8,2,6,6,8,3,1
3431,1,2,3,2,1,3,1
3432,2,1,4,2,8,1,2
3433,7,2,4,2,3,1,1
3434,1,2,4,6,3,3,1
3435,2,1,8,1,5,2,0
3436,1,2,6,1,3,1,1
3437,1,2,7,4,3,3,1
3438,2,1,10,1,5,3,0
3439,1,1,6,1,1,2,0
3440,7,1,4,1,3,1,0
3441,2,1,4,6,3,1,1
3442,7,2,5,5,3,3,1
3443,8,2,6,1,0,1,2
3444,5,1,6,1,2,1,2
3445,1,1,7,1,0,3,1
3446,1,1,7,6,2,1,1
3447,5,2,6,1,5,3,1
3448,7,1,5,6,1,1,0
3449,1,2,5,2,0,2,0
3450,1,1,11,4,1,1,1
3451,1,1,4,4,0,2,1
3452,8,1,6,6,4,3,1
3453,1,1,4,1,3,3,1
3454,2,1,8,4,0,2,0
3455,1,1,6,1,2,1,2
3456,5,1,7,6,4,1,0
3457,3,1,2,6,5,1,0
3458,1,2,6,4,4,3,1
3459,2,1,5,1,3,3,1
3460,4,2,1,5,0,3,0
3461,1,1,7,1,0,1,2
3462,1,1,6,5,3,2,0
3463,7,2,12,1,2,1,2
3464,8,2,9,5,2,3,2
3465,1,2,6,1,3,1,1
3466,1,1,7,6,3,1,0
3467,2,1,4,1,0,2,0
3468,1,2,8,1,2,1,1
3469,1,1,3,2,6,1,2
3470,1,2,5,1,0,2,0
3471,2,2,2,6,0,1,0
3472,8,2,3,3,1,1,0
3473,1,1,2,4,2,3,1
3474,1,1,9,1,5,3,0
3475,3,1,6,2,2,1,1
3476,1,1,5,6,4,3,1
3477,6,2,5,5,2,3,2
3478,1,2,3,2,1,1,0
3479,1,1,4,1,3,1,1
3480,1,1,4,3,3,1,0
3481,1,2,7,1,4,1,1
3482,2,2,12,1,3,2,2
3483,1,1,5,1,1,1,1
3484,2,1,3,3,0,3,1
3485,7,2,7,4,0,1,2
3486,1,2,1,2,1,2,1
3487,1,2,5,6,3,1,0
3488,1,2,5,1,4,3,1
3489,1,2,2,4,2,1,2
3490,2,2,3,6,9,3,1
3491,1,1,4,1,1,1,1
3492,1,1,7,6,3,3,1
3493,4,2,3,6,4,3,1
3494,1,2,7,6,1,1,0
3495,2,2,6,3,3,1,1
3496,1,2,5,3,3,1,1
3497,2,1,5,1,4,3,1
3498,8,1,7,5,1,1,1
3499,1,1,6,4,1,3,1
3500,1,1,7,2,0,2,0
3501,1,2,9,3,1,2,2
3502,6,2,9,2,3,1,2
3503,1,1,4,1,1,2,0
3504,1,1,3,6,3,2,0
3505,1,2,6,5,2,1,1
3506,6,1,7,3,3,1,1
3507,1,1,5,2,3,2,2
3508,1,1,9,1,3,1,1
3509,6,2,6,1,3,1,1
3510,8,1,10,1,4,1,1
3511,1,1,4,2,1,1,1
3512,1,2,7,4,1,2,0
3513,2,1,7,1,2,3,1
3514,6,1,7,2,4,1,1
3515,1,1,5,2,0,1,1
3516,1,2,4,2,1,2,0
3517,7,2,1,2,1,2,1
3518,1,2,7,1,5,1,1
3519,1,2,6,1,3,1,2
3520,1,1,6,1,0,1,1
3521,8,2,6,1,3,1,1
3522,1,2,9,3,1,2,0
3523,1,1,8,4,1,2,2
3524,1,2,5,2,0,1,1
3525,1,1,4,1,0,1,0
3526,2,1,8,6,4,1,1
3527,1,2,6,1,2,1,1
3528,6,2,7,2,1,1,1
3529,1,2,3,2,2,3,1
3530,6,1,9,5,4,2,2
3531,1,2,9,2,8,1,2
3532,1,1,6,1,3,1,2
3533,7,2,8,6,4,1,0
3534,1,2,8,6,2,1,0
3535,1,1,3,1,4,3,0
3536,6,2,5,3,3,3,0
3537,5,1,3,3,1,2,1
3538,8,1,10,5,4,3,2
3539,1,2,6,1,2,1,1
3540,2,2,4,2,2,2,1
3541,5,2,5,6,0,3,1
3542,1,1,6,2,2,1,1
3543,1,2,6,3,2,1,1
3544,1,2,7,4,2,1,1
3545,2,1,7,1,3,3,1
3546,4,2,6,6,6,3,1
3547,2,2,6,4,1,2,2
3548,1,2,4,4,2,1,1
3549,6,2,8,6,4,1,0
3550,2,1,6,4,2,2,2
3551,1,1,7,6,3,1,0
3552,6,1,7,2,1,2,2
3553,1,1,5,6,5,3,1
3554,1,1,4,1,3,3,1
3555,6,1,3,6,4,1,0
3556,7,1,7,3,4,1,1
3557,1,1,3,3,2,1,1
3558,1,1,12,1,2,1,2
3559,7,2,6,1,2,1,2
3560,9,1,7,2,1,3,0
3561,1,2,7,4,1,3,1
3562,1,2,4,1,3,2,1
3563,7,1,6,6,7,1,1
3564,4,2,5,1,4,3,1
3565,5,1,6,1,3,1,1
3566,8,1,6,1,2,3,1
3567,1,2,9,1,4,3,0
3568,1,1,8,1,2,1,2
3569,5,1,6,4,8,1,2
3570,6,1,1,6,2,1,1
3571,1,1,8,4,6,1,1
3572,4,2,3,1,5,1,1
3573,5,2,4,6,3,1,0
3574,5,2,5,6,4,1,0
3575,2,1,6,4,1,1,1
3576,2,2,5,5,1,3,1
3577,1,1,8,4,3,1,2
3578,1,2,6,1,1,1,1
3579,2,2,3,3,2,2,1
3580,2,1,5,6,1,1,0
3581,1,1,3,6,4,1,0
3582,2,2,6,1,1,3,0
3583,1,1,6,1,3,1,1
3584,2,1,7,4,2,1,1
3585,1,2,5,1,0,3,0
3586,1,2,4,6,2,1,0
3587,6,1,9,1,2,1,2
3588,2,1,3,5,1,1,0
3589,2,1,11,1,3,1,1
3590,5,2,2,6,3,1,1
3591,2,2,7,6,4,1,0
3592,1,2,7,2,3,3,0
3593,7,2,4,6,2,3,1
3594,1,2,6,1,2,1,1
3595,4,1,5,4,2,2,0
3596,1,2,6,1,3,1,1
3597,1,2,5,1,6,3,0
3598,1,2,7,6,3,1,1
3599,1,2,3,1,1,2,1
3600,1,1,7,6,1,3,1
3601,5,1,5,4,1,2,1
3602,2,1,6,4,3,1,1
3603,1,1,3,1,4,2,0
3604,2,2,5,4,2,1,1
3605,1,2,2,4,1,3,1
3606,1,2,6,4,2,3,1
3607,2,1,7,4,2,1,1
3608,2,1,5,6,4,1,0
3609,1,1,4,3,1,3,1
3610,8,2,6,1,1,1,1
3611,1,1,5,6,3,1,0
3612,1,1,2,1,4,2,0
3613,1,2,7,6,3,1,1
3614,1,1,3,1,2,2,1
3615,8,2,8,1,2,1,1
3616,9,2,12,6,9,1,0
3617,4,1,6,3,2,1,1
3618,5,1,7,6,4,1,0
3619,1,2,4,2,1,3,0
3620,1,2,5,5,0,2,1
3621,4,2,7,3,3,2,0
3622,1,2,3,6,0,2,0
3623,1,2,6,1,0,1,1
3624,1,1,6,5,1,2,1
3625,1,2,12,1,2,1,1
3626,1,2,5,5,3,2,1
3627,1,1,6,5,3,3,0
3628,1,1,7,6,6,1,1
3629,5,1,5,4,2,1,1
3630,1,2,2,5,2,3,1
3631,6,1,5,4,2,2,1
3632,8,2,3,4,3,1,1
3633,4,2,2,6,9,3,1
3634,1,2,10,1,2,2,1
3635,1,2,7,1,3,1,1
3636,2,1,5,2,2,3,0
3637,1,1,2,3,1,2,0
3638,7,2,5,6,4,3,1
3639,5,2,3,2,1,3,1
3640,1,1,7,6,4,1,0
3641,9,2,5,3,0,2,0
3642,2,2,2,4,2,2,0
3643,1,1,5,1,1,2,0
3644,1,1,6,1,1,1,2
3645,1,1,6,1,3,2,1
3646,1,2,4,3,1,3,0
3647,2,2,6,1,3,1,2
3648,1,1,7,4,1,3,1
3649,1,1,3,6,1,3,1
3650,1,1,6,4,1,3,2
3651,1,1,6,1,1,3,0
3652,1,2,5,1,0,2,0
3653,1,2,5,5,1,1,1
3654,1,2,5,6,4,1,0
3655,3,1,3,3,2,1,0
3656,1,2,7,4,5,2,0
3657,1,1,1,1,4,3,1
3658,7,2,3,1,1,1,1
3659,5,2,5,6,4,1,0
3660,1,2,6,1,5,1,1
3661,1,1,4,1,5,2,0
3662,1,1,7,1,2,1,2
3663,6,2,5,5,6,3,0
3664,2,2,8,6,2,1,0
3665,2,2,4,2,0,1,0
3666,9,1,7,6,5,1,1
3667,1,2,2,3,2,1,0
3668,2,2,5,6,4,1,1
3669,1,1,6,4,2,2,2
3670,2,2,10,6,7,1,1
3671,1,2,4,3,2,2,1
3672,2,1,5,2,6,2,2
3673,1,2,12,1,2,1,1
3674,1,2,4,3,3,1,0
3675,6,2,7,3,2,1,1
3676,1,2,4,1,2,2,0
3677,1,2,7,6,3,3,1
3678,1,1,6,1,3,1,1
3679,1,2,7,1,2,1,1
3680,1,1,5,1,1,3,0
3681,1,1,5,1,5,3,1
3682,1,2,6,1,2,3,2
3683,1,2,7,3,5,1,1
3684,7,2,3,2,3,1,1
3685,1,1,5,1,1,3,0
3686,3,2,7,1,3,1,1
3687,5,1,8,6,4,1,0
3688,1,1,4,4,1,1,0
3689,1,2,7,3,2,1,1
3690,1,2,6,1,4,1,1
3691,1,1,7,3,2,2,0
3692,5,2,3,2,2,1,0
3693,1,1,8,1,1,1,2
3694,1,1,9,6,5,3,1
3695,1,1,4,5,4,1,0
3696,1,1,5,2,2,2,2
3697,1,2,2,4,1,3,1
3698,1,2,3,4,5,2,0
3699,2,2,6,1,3,2,2
3700,1,1,6,3,3,2,0
3701,1,2,4,1,0,2,1
3702,1,1,3,4,3,2,0
3703,1,2,4,6,1,1,0
3704,1,2,7,2,4,1,1
3705,5,2,5,1,4,1,1
3706,1,1,10,4,2,3,1
3707,8,2,12,1,1,3,1
3708,5,2,8,6,3,1,0
3709,1,1,4,1,6,3,0
3710,1,2,5,6,4,1,0
3711,2,2,8,1,5,2,1
3712,1,2,6,5,5,2,1
3713,1,1,9,1,8,1,1
3714,1,1,1,6,4,1,0
3715,1,1,6,4,2,1,1
3716,1,2,4,2,6,1,2
3717,1,2,4,4,2,2,0
3718,2,2,6,1,4,3,0
3719,2,1,6,5,3,1,1
3720,1,1,4,3,1,3,1
3721,7,1,7,6,9,1,0
3722,1,2,5,3,1,2,0
3723,1,2,7,2,1,2,1
3724,1,1,7,2,1,3,0
3725,6,1,7,1,5,1,1
3726,1,2,7,4,2,1,1
3727,1,1,5,1,8,1,1
3728,1,2,7,2,2,1,1
3729,1,1,5,3,2,3,1
3730,7,1,1,1,3,3,1
3731,1,2,2,3,2,2,0
3732,1,1,6,1,1,1,2
3733,1,1,6,1,1,1,1
3734,1,1,7,6,1,3,1
3735,5,2,5,1,8,2,1
3736,1,2,7,3,3,1,1
3737,1,1,5,1,1,1,1
3738,4,2,5,3,2,1,1
3739,8,1,5,6,0,1,0
3740,7,1,7,1,9,1,1
3741,1,1,8,6,5,1,1
3742,1,1,4,2,1,3,2
3743,2,1,6,6,6,3,1
3744,5,2,1,6,9,1,0
3745,1,2,7,6,2,1,0
